hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999999114115923e+01 1.461923625003359854e-08 1.662959404304594908e-11 9.241333440135107626e-05 3.878967536378848225e-09 1.278856905512045131e-12 9.241333440135107626e-05 3.878967536378848225e-09 1.278856905512045131e-12
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407969887984431523e+01 1.091914957999994636e-04 9.136840726863715723e-04 2.375969255177215120e-02 8.205988721322915892e-04 1.401985114835894303e-02 2.375969255177215120e-02 8.205988721322915892e-04 1.401985114835894303e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431936164008708090e+01 1.065881032919671840e-03 1.054957248695874983e-01 4.895952291002125811e-02 8.458498192489233378e-04 1.545829811592187158e-02 4.895952291002125811e-02 8.458498192489233378e-04 1.545829811592187158e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.466691409061301954e+01 2.853302661192456263e-02 1.219987291173830535e+00 7.652437448867482894e-02 8.830460776974034852e-04 1.617643303436900465e-02 7.652437448867482894e-02 8.830460776974034852e-04 1.617643303436900465e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.487091991571190874e+01 3.432878004434150414e-03 9.247082695766029037e-01 8.651881933865085417e-02 9.177645268209175689e-04 1.790230966011036040e-02 8.651881933865085417e-02 9.177645268209175689e-04 1.790230966011036040e-02
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.492771806472975982e+01 2.566569157557703745e-03 4.730765984429468052e-01 8.885632495440251577e-02 8.914875371291499121e-04 1.679778823404085367e-02 8.885632495440251577e-02 8.914875371291499121e-04 1.679778823404085367e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498222237005883528e+01 3.491898448924978145e-03 8.059931762321179693e-01 8.956279017192575465e-02 8.755440841577251864e-04 1.673974126113234734e-02 8.956279017192575465e-02 8.755440841577251864e-04 1.673974126113234734e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.509714350253770476e+01 3.557638417906942244e-03 7.543332878123560903e-01 9.396011233282916542e-02 8.801135074469132328e-04 1.610036584484894617e-02 9.396011233282916542e-02 8.801135074469132328e-04 1.610036584484894617e-02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.516196159455560633e+01 3.972385555087577617e-03 8.882406244043548060e-01 9.751445621740303937e-02 8.679500202186021113e-04 1.676076813487080430e-02 9.751445621740303937e-02 8.679500202186021113e-04 1.676076813487080430e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.523195571703281814e+01 3.956770576872522920e-03 1.102047013916854334e+00 1.024202853874086883e-01 9.145036619223548139e-04 1.775719304988972527e-02 1.024202853874086883e-01 9.145036619223548139e-04 1.775719304988972527e-02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.528452999680526148e+01 4.336907205022231052e-03 1.268229329916167103e+00 1.039993859596394093e-01 9.225302483088953284e-04 1.783194276161175623e-02 1.039993859596394093e-01 9.225302483088953284e-04 1.783194276161175623e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.535216280597164484e+01 4.496626093521033027e-03 1.385565979487009214e+00 1.098837277252992239e-01 1.031394533033192168e-03 1.907055165108470160e-02 1.098837277252992239e-01 1.031394533033192168e-03 1.907055165108470160e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.542782385119313915e+01 4.488794317870843306e-03 1.300760450868138740e+00 1.158481490221314331e-01 1.105045604767775601e-03 2.025538767183783853e-02 1.158481490221314331e-01 1.105045604767775601e-03 2.025538767183783853e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.550574522719612958e+01 5.077813078643757770e-03 1.963727834203091493e+00 1.514105392055423993e-01 2.036499161375778400e-03 3.981505185582371459e-02 1.514105392055423993e-01 2.036499161375778400e-03 3.981505185582371459e-02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.562781325959531387e+01 5.059565351479921799e-03 2.136017115202112127e+00 2.273358152025257706e-01 3.658537762138687130e-03 7.983754665082884450e-02 2.273358152025257706e-01 3.658537762138687130e-03 7.983754665082884450e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.582857918445095891e+01 5.022841140409611133e-03 1.961418894549759706e+00 4.650966546476152930e-01 5.131796775242197794e-03 1.357551519044669364e-01 4.650966546476152930e-01 5.131796775242197794e-03 1.357551519044669364e-01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.824516366877149665e+01 1.780869601561590933e-03 2.511233226548437725e-01 8.410035321483942949e-01 8.796770036771792622e-04 3.866674672382993533e-02 8.410035321483942949e-01 8.796770036771792622e-04 3.866674672382993533e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385328904441165321e+01 1.152407320182832328e-03 1.077515061731338375e-01 9.019437751712736651e-01 5.287728324027402135e-04 2.332083379235160014e-02 9.019437751712736651e-01 5.287728324027402135e-04 2.332083379235160014e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.972911934032021009e+01 8.954621155941043563e-04 6.512436339522065243e-02 9.298076800021348731e-01 4.633306926160352416e-04 1.661125382833053207e-02 9.298076800021348731e-01 4.633306926160352416e-04 1.661125382833053207e-02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574786386408040073e+01 7.330230909902865589e-04 4.458949210970345606e-02 9.485742408018540406e-01 3.942954866697948686e-04 1.252656018164680085e-02 9.485742408018540406e-01 3.942954866697948686e-04 1.252656018164680085e-02
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.185497401691019093e+01 6.587745785208846180e-04 3.311774475913321220e-02 9.595285313010892825e-01 3.406278169076149887e-04 9.759659689695804330e-03 9.595285313010892825e-01 3.406278169076149887e-04 9.759659689695804330e-03
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.504507540602629945e+01 3.565985305980589638e-03 6.174860278947549297e-01 9.183370324901861392e-02 8.567525756683056805e-04 1.628839756117290635e-02 9.183370324901861392e-02 8.567525756683056805e-04 1.628839756117290635e-02
