hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399995931193470255e+01 4.066965628762873387e-05 3.255102810405920491e-04 2.913645664344726880e-04 1.701598060111344038e-04 2.272397567288043929e-02 2.913645664344726880e-04 1.701598060111344038e-04 2.272397567288043929e-02
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407892633597610654e+01 3.390351552057487613e-04 1.155347658733073442e-02 2.484543730218349150e-02 2.905868909340532705e-04 1.551613666596269800e-02 2.484543730218349150e-02 2.905868909340532705e-04 1.551613666596269800e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431782923411516606e+01 3.862980628145702569e-04 8.178961510563555193e-02 4.960874308691416018e-02 2.732604471237548463e-04 1.547572890354085087e-02 4.960874308691416018e-02 2.732604471237548463e-04 1.547572890354085087e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.470149128227160418e+01 4.553813725191325698e-03 4.406053894155347317e-01 7.621775485137693984e-02 2.816625770971913924e-04 1.567094586929363570e-02 7.621775485137693984e-02 2.816625770971913924e-04 1.567094586929363570e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.486800007816430025e+01 1.781994468703851408e-03 6.274125723069694516e-01 8.470616734925523472e-02 2.785157022004427162e-04 1.656452352292155789e-02 8.470616734925523472e-02 2.785157022004427162e-04 1.656452352292155789e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498434111790160728e+01 1.210172875090701318e-03 7.304995853707302311e-01 9.073454108072533109e-02 2.853154482469418040e-04 1.700528061470978070e-02 9.073454108072533109e-02 2.853154482469418040e-04 1.700528061470978070e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.510184511269559948e+01 1.368486527259575548e-03 9.601912956047109482e-01 9.618108908118327971e-02 2.821776246985375201e-04 1.719978132961716769e-02 9.618108908118327971e-02 2.821776246985375201e-04 1.719978132961716769e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.523293296313676137e+01 1.457207564166007174e-03 1.146663566163447889e+00 1.027091842119517845e-01 3.064739973699877914e-04 1.793524217789227090e-02 1.027091842119517845e-01 3.064739973699877914e-04 1.793524217789227090e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.534813692066967405e+01 1.577266524915904708e-03 1.517061992443319962e+00 1.130222298205214027e-01 3.544040897013170160e-04 2.080300937908593356e-02 1.130222298205214027e-01 3.544040897013170160e-04 2.080300937908593356e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.551139100456930464e+01 1.681452153861050149e-03 2.149532708727558195e+00 1.549463708236223369e-01 7.267127843808146581e-04 4.309224829048526051e-02 1.549463708236223369e-01 7.267127843808146581e-04 4.309224829048526051e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.582549060154198628e+01 1.627469777617007339e-03 1.861902156621813909e+00 4.589961296058790996e-01 1.740663242806151419e-03 1.368717247099919543e-01 4.589961296058790996e-01 1.740663242806151419e-03 1.368717247099919543e-01
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667400609332608497e+01 8.166460197893277021e-04 5.213658445621925930e-01 7.856381011344866216e-01 5.695081365575909013e-04 5.908340966690965590e-02 7.856381011344866216e-01 5.695081365575909013e-04 5.908340966690965590e-02
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.771160810358054505e+01 6.278087977947876880e-04 2.981763041552427662e-01 8.283371752150882061e-01 3.217830862441802193e-04 4.285466980203068987e-02 8.283371752150882061e-01 3.217830862441802193e-04 4.285466980203068987e-02
5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.878397869933742470e+01 5.253297206946780330e-04 2.285776607630460033e-01 8.518896459530942433e-01 2.471163691846630620e-04 3.519354912201533292e-02 8.518896459530942433e-01 2.471163691846630620e-04 3.519354912201533292e-02
5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.988466879553513422e+01 4.814868464032428944e-04 1.851834781916014139e-01 8.675053258752734031e-01 2.219258581202260413e-04 3.142001743714560591e-02 8.675053258752734031e-01 2.219258581202260413e-04 3.142001743714560591e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100350669024264505e+01 4.418361760017886939e-04 1.514954493469454211e-01 8.794987538991345666e-01 2.000897872433636527e-04 2.845262182550691021e-02 8.794987538991345666e-01 2.000897872433636527e-04 2.845262182550691021e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385616820723855369e+01 3.686006081582288152e-04 1.071705361438105297e-01 9.023485465972393982e-01 1.852075945832970983e-04 2.319972771209922319e-02 9.023485465972393982e-01 1.852075945832970983e-04 2.319972771209922319e-02
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.677103477464405046e+01 3.195336826189868265e-04 8.082473427539665911e-02 9.185061799589833154e-01 1.583225578231463640e-04 1.945894589011911216e-02 9.185061799589833154e-01 1.583225578231463640e-04 1.945894589011911216e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973053779626093274e+01 2.794482582106886282e-04 6.462852753296202679e-02 9.310676048982461372e-01 1.486314940928366662e-04 1.662066955698086185e-02 9.310676048982461372e-01 1.486314940928366662e-04 1.662066955698086185e-02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574746434974501597e+01 2.438853284854958030e-04 4.470392479966746324e-02 9.482255921485475136e-01 1.283350767796168817e-04 1.255564149707666388e-02 9.482255921485475136e-01 1.283350767796168817e-04 1.255564149707666388e-02
