hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407966936035649042e+01 7.032157785496553090e-05 3.339372852054473917e-04 2.452222583043878884e-02 8.984439710193354309e-04 1.496701821262719743e-02 2.452222583043878884e-02 8.984439710193354309e-04 1.496701821262719743e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431983824698613716e+01 1.080952281795032228e-03 4.513193506790925957e-02 4.992139958746361766e-02 9.592699869355232221e-04 1.567349447351092800e-02 4.992139958746361766e-02 9.592699869355232221e-04 1.567349447351092800e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.471968415740175828e+01 3.504145210396232731e-03 3.529308201326597505e-01 7.537267065150508871e-02 9.763913468042224484e-04 1.573961224247252128e-02 7.537267065150508871e-02 9.763913468042224484e-04 1.573961224247252128e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.487376428399589656e+01 4.564218026761340634e-03 6.292760456575801076e-01 8.419223574360931717e-02 9.286120221029893528e-04 1.638855670037825743e-02 8.419223574360931717e-02 9.286120221029893528e-04 1.638855670037825743e-02
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.493806120585054487e+01 3.403720062235936292e-03 5.822479506762858747e-01 8.762997506509916101e-02 1.032254087280940532e-03 1.696447554107411576e-02 8.762997506509916101e-02 1.032254087280940532e-03 1.696447554107411576e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498573173098264988e+01 3.548198825359836269e-03 5.464752437166134902e-01 8.992668805982817481e-02 9.937774438370282695e-04 1.627238695032859339e-02 8.992668805982817481e-02 9.937774438370282695e-04 1.627238695032859339e-02
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.504860354300359404e+01 6.615039773423836769e-03 2.403994092738055421e+00 9.496809176084716753e-02 1.033242749588264044e-03 2.030431849806393560e-02 9.496809176084716753e-02 1.033242749588264044e-03 2.030431849806393560e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.510197621898176124e+01 3.935153159933839004e-03 6.733804264171445730e-01 9.450802609977634883e-02 9.317492415959877355e-04 1.611201991594241392e-02 9.450802609977634883e-02 9.317492415959877355e-04 1.611201991594241392e-02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.516873425025985966e+01 4.604729352568281107e-03 1.295438415886573491e+00 9.887630101931070559e-02 1.077947047676095166e-03 1.770639780514988298e-02 9.887630101931070559e-02 1.077947047676095166e-03 1.770639780514988298e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.523643085669667130e+01 3.289789078681370008e-03 5.553356408670094835e-01 9.987680351055813754e-02 9.233055216022177138e-04 1.593108058326557844e-02 9.987680351055813754e-02 9.233055216022177138e-04 1.593108058326557844e-02
