hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000407726475e+01 5.225505597021338666e-09 1.802538117437227851e-12 1.186904597082783246e-04 6.018614463682284016e-09 2.410244324070857371e-12 1.186904597082783246e-04 6.018614463682284016e-09 2.410244324070857371e-12
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407984876192730894e+01 1.803728986685908915e-04 2.237279218912820167e-03 2.409211518712451455e-02 9.103786094301253868e-04 1.478559746065383554e-02 2.409211518712451455e-02 9.103786094301253868e-04 1.478559746065383554e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.430972882299539606e+01 4.635705629681785393e-03 8.320405574952097205e-02 4.891248957953739374e-02 9.301721383594988230e-04 1.485028697556010219e-02 4.891248957953739374e-02 9.301721383594988230e-04 1.485028697556010219e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.469200714160827204e+01 5.096872092076607311e-03 5.000640349798912698e-01 7.256534825413019085e-02 9.586440527239798370e-04 1.548017080166202812e-02 7.256534825413019085e-02 9.586440527239798370e-04 1.548017080166202812e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.485318530007069171e+01 5.323256194519241161e-03 2.895623913636357627e-01 7.876616310543076149e-02 9.282656192694856839e-04 1.430840540849744567e-02 7.876616310543076149e-02 9.282656192694856839e-04 1.430840540849744567e-02
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.487641602723769552e+01 1.853388683610727311e-02 8.229294940465696762e-01 8.358442115392027139e-02 9.856915724667989192e-04 1.514834527070266224e-02 8.358442115392027139e-02 9.856915724667989192e-04 1.514834527070266224e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.495502226628039466e+01 5.451612777632347182e-03 7.944569757121535680e-01 8.387119318025834658e-02 9.009401472160287862e-04 1.533164577898522320e-02 8.387119318025834658e-02 9.009401472160287862e-04 1.533164577898522320e-02
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.503672293196453325e+01 4.193671205304479524e-03 5.802153985640077227e-01 9.213245391788403571e-02 9.711937543946405843e-04 1.609519222749309850e-02 9.213245391788403571e-02 9.711937543946405843e-04 1.609519222749309850e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.507303504769419078e+01 9.716265473544228107e-03 1.100347621162404810e+00 9.452998687220887097e-02 9.666695637886614512e-04 1.632103168613279268e-02 9.452998687220887097e-02 9.666695637886614512e-04 1.632103168613279268e-02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.514636513609272583e+01 6.003719906157854724e-03 9.320459249419950076e-01 1.001598530431552780e-01 9.764821573817289392e-04 1.691229579021592475e-02 1.001598530431552780e-01 9.764821573817289392e-04 1.691229579021592475e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.520628639620713329e+01 5.709997474444309870e-03 9.634180371452949476e-01 1.007743928989709020e-01 9.720078608890318208e-04 1.612985316215151399e-02 1.007743928989709020e-01 9.720078608890318208e-04 1.612985316215151399e-02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.526373641472089560e+01 7.887724125436390912e-03 1.171140194004735680e+00 1.017161975555278264e-01 9.182221713026196639e-04 1.602942431127848955e-02 1.017161975555278264e-01 9.182221713026196639e-04 1.602942431127848955e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.534875405694040751e+01 6.971744152767095186e-03 1.050376514483949197e+00 1.048539593989520347e-01 9.492059362188062050e-04 1.602521922834663354e-02 1.048539593989520347e-01 9.492059362188062050e-04 1.602521922834663354e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.540089494262156222e+01 7.466348223051824662e-03 1.621932665740188462e+00 1.095639486526324147e-01 1.030673460970226796e-03 1.713396242231493907e-02 1.095639486526324147e-01 1.030673460970226796e-03 1.713396242231493907e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.547890879514054063e+01 6.644995668628858772e-03 1.649095818738480546e+00 1.096619495986083659e-01 9.855094860881604725e-04 1.653153775149408811e-02 1.096619495986083659e-01 9.855094860881604725e-04 1.653153775149408811e-02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.555197522200469962e+01 7.300281876127636196e-03 1.922781459423430039e+00 1.147219020115908122e-01 1.026992758717057723e-03 1.750293737913926478e-02 1.147219020115908122e-01 1.026992758717057723e-03 1.750293737913926478e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.564592627275447967e+01 6.195992600477063898e-03 1.939466148104151966e+00 1.171851873243527631e-01 1.021227691464467700e-03 1.766094330242107616e-02 1.171851873243527631e-01 1.021227691464467700e-03 1.766094330242107616e-02
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.570469170407214676e+01 7.079409428556295535e-03 2.146983100968821834e+00 1.207546147822624732e-01 1.004048544148583404e-03 1.782523663400499211e-02 1.207546147822624732e-01 1.004048544148583404e-03 1.782523663400499211e-02
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.583791930544953175e+01 7.571419347946148695e-03 2.709377847895039437e+00 1.289410999094204591e-01 1.116449335372758254e-03 2.054781599103785994e-02 1.289410999094204591e-01 1.116449335372758254e-03 2.054781599103785994e-02
4.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.688193321645090350e+01 9.321318779938589719e-03 2.376523686465627616e+00 5.898408086120747740e-01 5.369743858121688029e-03 1.343196490495646156e-01 5.898408086120747740e-01 5.369743858121688029e-03 1.343196490495646156e-01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.824417400570985137e+01 1.924169242312317877e-03 2.475548540465476732e-01 8.423580742410448075e-01 9.779179545354630635e-04 3.821111829828532924e-02 8.423580742410448075e-01 9.779179545354630635e-04 3.821111829828532924e-02
5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.933489013836256731e+01 1.663772047886679425e-03 1.897007785409942637e-01 8.589376028533599605e-01 8.430460910550208013e-04 3.409938226949566636e-02 8.589376028533599605e-01 8.430460910550208013e-04 3.409938226949566636e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100250491037652978e+01 1.486279927925111821e-03 1.471636301490844290e-01 8.772957952537426829e-01 7.196078492802489204e-04 2.853950632828578318e-02 8.772957952537426829e-01 7.196078492802489204e-04 2.853950632828578318e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385340884714807430e+01 1.314624732903537903e-03 1.077583361360562875e-01 9.005309463428552430e-01 6.147568249732383167e-04 2.352238033573567089e-02 9.005309463428552430e-01 6.147568249732383167e-04 2.352238033573567089e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973164191218582175e+01 1.071420735246557876e-03 6.854963883872797203e-02 9.321679600859503756e-01 5.207896676968982227e-04 1.688275432665674314e-02 9.321679600859503756e-01 5.207896676968982227e-04 1.688275432665674314e-02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574812361472622513e+01 8.572388050967085600e-04 4.959456537823900280e-02 9.482377251747622360e-01 4.421924754996042609e-04 1.250114285144552327e-02 9.482377251747622360e-01 4.421924754996042609e-04 1.250114285144552327e-02
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.185489448385365563e+01 7.756381360835262187e-04 3.788800873887514242e-02 9.602467946434057877e-01 3.822609642986241757e-04 9.817231446699319075e-03 9.602467946434057877e-01 3.822609642986241757e-04 9.817231446699319075e-03
