hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.185618468034152784e+01 6.391631532563983413e-04 3.312666212725950965e-02 9.595927964621339123e-01 3.471489015222103220e-04 9.885824536813130059e-03 9.595927964621339123e-01 3.471489015222103220e-04 9.885824536813130059e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574847598328618403e+01 7.106851734297360296e-04 4.487760969302530961e-02 9.483335558095641327e-01 3.890666371050422031e-04 1.262070533664886966e-02 9.483335558095641327e-01 3.890666371050422031e-04 1.262070533664886966e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973132064368661531e+01 8.975225803184363072e-04 6.445144096709987114e-02 9.308343500350663158e-01 4.517860721347153295e-04 1.662516611150806692e-02 9.308343500350663158e-01 4.517860721347153295e-04 1.662516611150806692e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385645151264496633e+01 1.120119035322895583e-03 1.062150704807825474e-01 9.028577887591109352e-01 5.510945257210330241e-04 2.327081182275047080e-02 9.028577887591109352e-01 5.510945257210330241e-04 2.327081182275047080e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100631660753887786e+01 1.547336808160348605e-03 1.523675074268858176e-01 8.806462588153098903e-01 7.085058976753777233e-04 2.855386754478576872e-02 8.806462588153098903e-01 7.085058976753777233e-04 2.855386754478576872e-02
5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.933542061186076921e+01 1.755831899737240673e-03 2.026249442853183536e-01 8.618504498437542516e-01 7.725578840039647524e-04 3.258044924571908141e-02 8.618504498437542516e-01 7.725578840039647524e-04 3.258044924571908141e-02
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.824885426218261841e+01 1.959245457247992591e-03 2.507764786735721674e-01 8.396407259941898182e-01 1.016240034878021113e-03 3.877090084624353061e-02 8.396407259941898182e-01 1.016240034878021113e-03 3.877090084624353061e-02
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.771292818656368695e+01 2.099886134694337308e-03 2.968102155370620499e-01 8.283872126476101716e-01 1.073482171256787349e-03 4.185502247177316781e-02 8.283872126476101716e-01 1.073482171256787349e-03 4.185502247177316781e-02
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667564896829225063e+01 3.032190935961604807e-03 5.454158574128482595e-01 7.796433477314212990e-01 2.028337855828854681e-03 6.128569681815189407e-02 7.796433477314212990e-01 2.028337855828854681e-03 6.128569681815189407e-02
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.619988333089241905e+01 4.034643278252053426e-03 1.009100358882758064e+00 6.938132335293024644e-01 3.773335428462330776e-03 9.857703756028475539e-02 6.938132335293024644e-01 3.773335428462330776e-03 9.857703756028475539e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.583365438004587133e+01 5.353173873196870845e-03 1.907830501400317402e+00 4.525714040239506297e-01 5.643206571671396422e-03 1.371661791204926428e-01 4.525714040239506297e-01 5.643206571671396422e-03 1.371661791204926428e-01
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.562540130122400228e+01 6.111092221531443623e-03 2.192535466662241195e+00 2.314551592937172109e-01 3.976524141646529086e-03 8.027684463930448433e-02 2.314551592937172109e-01 3.976524141646529086e-03 8.027684463930448433e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.551642346459732380e+01 5.529177779942622342e-03 1.981536442835821310e+00 1.505080755781995072e-01 2.286465304062576444e-03 3.997098404623159601e-02 1.505080755781995072e-01 2.286465304062576444e-03 3.997098404623159601e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.542863796574482649e+01 6.354124334020189169e-03 2.269815684399270506e+00 1.292355801602565468e-01 1.665069187984523705e-03 2.941326846946538259e-02 1.292355801602565468e-01 1.665069187984523705e-03 2.941326846946538259e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.534427371495229409e+01 5.112180549078026125e-03 1.506379209313740919e+00 1.102922909205243246e-01 1.187733504343504738e-03 1.993455038328829920e-02 1.102922909205243246e-01 1.187733504343504738e-03 1.993455038328829920e-02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.528374677336275056e+01 4.261337368759918892e-03 8.308949010915127609e-01 1.045100330075567630e-01 9.777290412968028810e-04 1.630778446802527010e-02 1.045100330075567630e-01 9.777290412968028810e-04 1.630778446802527010e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.523523743230848027e+01 7.036188099011798404e-03 1.315560128018986141e+00 1.048281320592407001e-01 1.056206902273235148e-03 1.868801849898565903e-02 1.048281320592407001e-01 1.056206902273235148e-03 1.868801849898565903e-02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.517050718259986297e+01 4.599212145816164790e-03 9.653840907162611895e-01 9.911736777035098922e-02 9.943331516755475781e-04 1.751712425454892558e-02 9.911736777035098922e-02 9.943331516755475781e-04 1.751712425454892558e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.511136897788220779e+01 4.769935224160884620e-03 1.230755208579675131e+00 9.597891452890083830e-02 1.007493273416556470e-03 1.813703213703099157e-02 9.597891452890083830e-02 1.007493273416556470e-03 1.813703213703099157e-02
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.497655877273584224e+01 3.292530355796108310e-02 2.034519451436172410e+00 9.389540966282164391e-02 1.002938812954845896e-03 1.742055119346684264e-02 9.389540966282164391e-02 1.002938812954845896e-03 1.742055119346684264e-02
