hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.185432325060857295e+01 7.153560266130080210e-04 3.268505475231577029e-02 9.597621124185835573e-01 4.011831916263883116e-04 9.871734452840607091e-03 9.597621124185835573e-01 4.011831916263883116e-04 9.871734452840607091e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574927297226648193e+01 8.375284581740444212e-04 4.420698834803837851e-02 9.479764727642768785e-01 4.360735617947656935e-04 1.252390231760622773e-02 9.479764727642768785e-01 4.360735617947656935e-04 1.252390231760622773e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973107872536252216e+01 9.489436117979477498e-04 6.433030926665059268e-02 9.318335182554500218e-01 5.113819080817552870e-04 1.654205657856504252e-02 9.318335182554500218e-01 5.113819080817552870e-04 1.654205657856504252e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385664682133965186e+01 1.320907626796734811e-03 1.070615824096096541e-01 9.024800922575342277e-01 6.335865931154802339e-04 2.317975592587596598e-02 9.024800922575342277e-01 6.335865931154802339e-04 2.317975592587596598e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100422180398447836e+01 1.524065195181842922e-03 1.520227958609371988e-01 8.794947698728884378e-01 6.943560058782727263e-04 2.864560236757648579e-02 8.794947698728884378e-01 6.943560058782727263e-04 2.864560236757648579e-02
5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.933247987224189046e+01 1.761571412776972078e-03 2.072699685127888103e-01 8.613094377256313994e-01 7.539901199613121066e-04 3.295241642880077093e-02 8.613094377256313994e-01 7.539901199613121066e-04 3.295241642880077093e-02
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.824366359592721665e+01 2.020822562131790578e-03 2.720029303373999729e-01 8.417814562657293109e-01 9.835519837171960694e-04 3.868615700142351288e-02 8.417814562657293109e-01 9.835519837171960694e-04 3.868615700142351288e-02
4.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.718527870401072732e+01 2.407214933149694636e-03 3.710117974651727657e-01 8.138821727297635977e-01 1.320395605989500582e-03 4.754334976413861213e-02 8.138821727297635977e-01 1.320395605989500582e-03 4.754334976413861213e-02
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667048896289786342e+01 2.783199169952659240e-03 5.129584471449801786e-01 7.856759767652146120e-01 1.916460433433802560e-03 5.900656213531216276e-02 7.856759767652146120e-01 1.916460433433802560e-03 5.900656213531216276e-02
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.619297973415767444e+01 3.925565636576678306e-03 9.328285481868360263e-01 7.188841808271257960e-01 3.212581163241934670e-03 8.765711575852092041e-02 7.188841808271257960e-01 3.212581163241934670e-03 8.765711575852092041e-02
