hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -6.440873982715072543e+01 3.837086396995353227e-02 6.276917752874351208e+01 1.797478277304416505e-02 1.709614831877215421e-04 1.650053983614742370e-02 1.797478277304416505e-02 1.709614831877215421e-04 1.650053983614742370e-02
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -6.442579987380881335e+01 6.737103586623154061e-03 3.242064492862636627e+01 1.565097643434556346e-02 1.450899814428629803e-04 1.157274555071513729e-02 1.565097643434556346e-02 1.450899814428629803e-04 1.157274555071513729e-02
0.000000000000000000e+00 8.599999999999999867e-01 0.000000000000000000e+00 -6.447670023088127778e+01 3.551714272763248272e-03 8.806616654563679703e+00 1.688864697486323896e-02 1.272468375573821678e-04 5.259331588582110036e-03 1.688864697486323896e-02 1.272468375573821678e-04 5.259331588582110036e-03
0.000000000000000000e+00 8.399999999999999689e-01 0.000000000000000000e+00 -6.454262299266517289e+01 2.016485949917204944e-03 2.984061812044435769e+00 1.952223105185152061e-02 1.194117546242013690e-04 3.737408643173647377e-03 1.952223105185152061e-02 1.194117546242013690e-04 3.737408643173647377e-03
0.000000000000000000e+00 8.199999999999999512e-01 0.000000000000000000e+00 -6.455512628518874862e+01 1.641290227100375507e-03 2.019267434937907613e+00 2.041289220303742213e-02 1.224220039495409315e-04 3.535972996650470993e-03 2.041289220303742213e-02 1.224220039495409315e-04 3.535972996650470993e-03
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -6.453074260607857582e+01 1.578502960997543551e-03 1.910973456606045229e+00 2.020658089025246379e-02 1.231965951332549100e-04 3.612584452646208991e-03 2.020658089025246379e-02 1.231965951332549100e-04 3.612584452646208991e-03
0.000000000000000000e+00 7.800000000000000266e-01 0.000000000000000000e+00 -6.450557689545473750e+01 1.530697684754895064e-03 1.847705977162587221e+00 1.979937670980516651e-02 1.287715054435788274e-04 3.650416613481062035e-03 1.979937670980516651e-02 1.287715054435788274e-04 3.650416613481062035e-03
0.000000000000000000e+00 7.600000000000000089e-01 0.000000000000000000e+00 -6.448080675280044716e+01 1.526192464318963269e-03 1.720269339564509226e+00 1.927381912479240664e-02 1.298924894672805587e-04 3.624276562455591710e-03 1.927381912479240664e-02 1.298924894672805587e-04 3.624276562455591710e-03
0.000000000000000000e+00 7.399999999999999911e-01 0.000000000000000000e+00 -6.445666884050622514e+01 1.449742357989121594e-03 1.659661258433369202e+00 1.891892759433071863e-02 1.244784040505692035e-04 3.695394538680549668e-03 1.891892759433071863e-02 1.244784040505692035e-04 3.695394538680549668e-03
0.000000000000000000e+00 7.199999999999999734e-01 0.000000000000000000e+00 -6.443409350262732005e+01 1.327459123439858396e-03 1.453921741029941650e+00 1.855518584844380314e-02 1.307504890678762917e-04 3.707400071659845177e-03 1.855518584844380314e-02 1.307504890678762917e-04 3.707400071659845177e-03
