hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 1.199999999999999956e+00 0.000000000000000000e+00 -6.459825444314165566e+01 7.613611714428003552e-02 8.054172760688780386e+01 2.037389596116307225e-02 5.437897491738143824e-04 1.456817852013254574e-02 2.037389596116307225e-02 5.437897491738143824e-04 1.456817852013254574e-02
0.000000000000000000e+00 1.149999999999999911e+00 0.000000000000000000e+00 -6.478040400571723012e+01 4.271533395982966830e-02 2.207065354999765461e+01 2.246428145183735486e-02 4.347898362346592506e-04 5.949039855861463014e-03 2.246428145183735486e-02 4.347898362346592506e-04 5.949039855861463014e-03
0.000000000000000000e+00 1.100000000000000089e+00 0.000000000000000000e+00 -6.501029079971397096e+01 2.429470522468209215e-02 3.898005241046791980e+01 2.802836819678318492e-02 5.356710290756250877e-04 1.048350125372910641e-02 2.802836819678318492e-02 5.356710290756250877e-04 1.048350125372910641e-02
0.000000000000000000e+00 1.050000000000000044e+00 0.000000000000000000e+00 -6.495616494125930274e+01 7.149247355643231945e-03 3.120636459372271965e+00 2.649300684893587596e-02 4.173115579788222343e-04 3.388596474269256476e-03 2.649300684893587596e-02 4.173115579788222343e-04 3.388596474269256476e-03
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -6.487686328773875744e+01 7.486385083598548137e-03 1.807397332087531838e+00 2.614675109551231613e-02 4.193321052921582010e-04 3.335187782034976147e-03 2.614675109551231613e-02 4.193321052921582010e-04 3.335187782034976147e-03
0.000000000000000000e+00 9.499999999999999556e-01 0.000000000000000000e+00 -6.480001587870913227e+01 4.448546298423092064e-03 1.295323691456434778e+00 2.542247184638361107e-02 4.215808473983728385e-04 3.461371606895957947e-03 2.542247184638361107e-02 4.215808473983728385e-04 3.461371606895957947e-03
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -6.471873682135597505e+01 5.789952905865681197e-03 2.180082564226428321e+00 2.355373349699745739e-02 4.053165400326820046e-04 3.521383794289054125e-03 2.355373349699745739e-02 4.053165400326820046e-04 3.521383794289054125e-03
0.000000000000000000e+00 8.499999999999999778e-01 0.000000000000000000e+00 -6.464672833965589405e+01 3.836497231513696145e-03 1.032477268080826738e+00 2.215305205463287408e-02 3.858943344642013049e-04 3.253340356058769239e-03 2.215305205463287408e-02 3.858943344642013049e-04 3.253340356058769239e-03
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -6.458021626284715921e+01 4.122197537879455573e-03 1.000091973112264387e+00 2.261703856677823102e-02 4.681440957466924033e-04 3.817625484555257302e-03 2.261703856677823102e-02 4.681440957466924033e-04 3.817625484555257302e-03
0.000000000000000000e+00 7.500000000000000000e-01 0.000000000000000000e+00 -6.451153996549690817e+01 6.210650041269592629e-03 2.028134693425895474e+00 2.041187028378636803e-02 4.322397504186706232e-04 4.008963345887956234e-03 2.041187028378636803e-02 4.322397504186706232e-04 4.008963345887956234e-03
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -6.444784181584769556e+01 2.848780034066252832e-03 5.101008321440122506e-01 1.877988947548924967e-02 4.054137914672395417e-04 3.305059732180024024e-03 1.877988947548924967e-02 4.054137914672395417e-04 3.305059732180024024e-03
0.000000000000000000e+00 6.500000000000000222e-01 0.000000000000000000e+00 -6.439028453586183787e+01 2.613694667747080026e-03 4.350264801623939248e-01 1.782723647881368639e-02 4.347316017044897227e-04 3.443531336292460568e-03 1.782723647881368639e-02 4.347316017044897227e-04 3.443531336292460568e-03
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -6.433003759651744247e+01 4.498311829614625758e-03 1.581954198104804643e+00 1.648437145262288128e-02 4.364252465742411106e-04 4.120093252180302701e-03 1.648437145262288128e-02 4.364252465742411106e-04 4.120093252180302701e-03
0.000000000000000000e+00 5.500000000000000444e-01 0.000000000000000000e+00 -6.428227991217812587e+01 2.143853230213279247e-03 2.857161598633980448e-01 1.578918797128872620e-02 4.387844504109682936e-04 3.716957545548799612e-03 1.578918797128872620e-02 4.387844504109682936e-04 3.716957545548799612e-03
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -6.423519166471832875e+01 2.172529464278557740e-03 2.862030693844465068e-01 1.493278366778561309e-02 5.126342165138288772e-04 4.068151830516729059e-03 1.493278366778561309e-02 5.126342165138288772e-04 4.068151830516729059e-03
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 -6.418099635080830012e+01 6.947263400143652116e-03 1.969096256817465695e+00 1.296293579794335210e-02 4.802348843823976200e-04 5.453049483833636094e-03 1.296293579794335210e-02 4.802348843823976200e-04 5.453049483833636094e-03
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -6.414955441834705141e+01 1.813675597041004579e-03 1.935664012139041712e-01 1.180338886603674031e-02 4.786995525725872610e-04 3.950637424690826675e-03 1.180338886603674031e-02 4.786995525725872610e-04 3.950637424690826675e-03
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -6.411298563176127630e+01 1.932657030725563538e-03 1.671981420624989723e-01 1.027394899430625168e-02 4.660458093212421315e-04 3.841062925165823413e-03 1.027394899430625168e-02 4.660458093212421315e-04 3.841062925165823413e-03
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -6.408507184650994759e+01 1.271134300531683243e-03 8.775800418219406596e-02 7.790303152411288609e-03 4.170889005570702968e-04 3.075862785345391103e-03 7.790303152411288609e-03 4.170889005570702968e-04 3.075862785345391103e-03
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 -6.405972055195205428e+01 8.845805860197150042e-04 5.307972495602733543e-02 6.629696756359940851e-03 3.728603778094892376e-04 3.250077129721529613e-03 6.629696756359940851e-03 3.728603778094892376e-04 3.250077129721529613e-03
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -6.403648146061753721e+01 1.639763354623482083e-03 1.012377700945161219e-01 5.939236863721844562e-03 4.719790487527157066e-04 4.139075483749093606e-03 5.939236863721844562e-03 4.719790487527157066e-04 4.139075483749093606e-03
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 -6.402114515659587823e+01 8.743350411687776528e-04 4.735364578411446063e-02 4.121738108449583306e-03 3.990740628557461829e-04 3.665007408327589696e-03 4.121738108449583306e-03 3.990740628557461829e-04 3.665007408327589696e-03
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -6.400935957538140997e+01 3.638524234086478902e-04 1.091896859554796970e-02 2.437529857730386627e-03 4.225340196872174768e-04 3.129933683496342531e-03 2.437529857730386627e-03 4.225340196872174768e-04 3.129933683496342531e-03
0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 -6.400210366478385993e+01 1.831239907306278416e-04 8.244333647351692173e-04 8.877773385967134600e-04 2.664125768296993452e-04 1.555382693202634519e-03 8.877773385967134600e-04 2.664125768296993452e-04 1.555382693202634519e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999421253914988e+01 1.506567936980015776e-05 1.460585135065783471e-05 9.178550894396072233e-05 2.799122214342984616e-08 5.069435968793452499e-11 9.178550894396072233e-05 2.799122214342984616e-08 5.069435968793452499e-11
