hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000886896601e+01 1.339737348223633678e-08 1.509979386323887750e-11 1.440100464735360639e-04 6.643092489744029981e-09 3.674985306219911902e-12 1.440100464735360639e-04 6.643092489744029981e-09 3.674985306219911902e-12
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972536532911955476e+01 2.032296373482632684e-03 2.392559054993195766e-01 5.476865176435200358e-05 5.726052555837185113e-08 5.514162331744109004e-11 5.476865176435200358e-05 5.726052555837185113e-08 5.514162331744109004e-11
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -3.604532496868248614e+01 3.336964013917945865e-02 1.022149281528679410e+01 -2.467510607524922122e-06 6.349920006462202547e-08 1.695811953220810494e-11 -2.467510607524922122e-06 6.349920006462202547e-08 1.695811953220810494e-11
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.610151233819264860e+01 8.596675965871103820e-04 6.132169263321796127e-02 1.138120993841478033e-04 5.231880292735965244e-08 1.938804784291512909e-10 1.138120993841478033e-04 5.231880292735965244e-08 1.938804784291512909e-10
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568073045170456226e+01 6.660993339478182580e-04 3.454624212374803049e-02 1.262305181955584467e-04 3.994704782961928532e-08 1.220640554330698519e-10 1.262305181955584467e-04 3.994704782961928532e-08 1.220640554330698519e-10
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.560305325724593217e+01 5.900156533154189567e-04 3.100352485511956302e-02 1.201082698822517964e-04 4.881347399490118654e-08 1.841117594995650153e-10 1.201082698822517964e-04 4.881347399490118654e-08 1.841117594995650153e-10
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.552800213185903999e+01 5.932555818603122083e-04 3.137784574937654142e-02 1.218554233868701913e-04 2.195833389050103112e-08 3.582380631962086841e-11 1.218554233868701913e-04 2.195833389050103112e-08 3.582380631962086841e-11
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.545632261624692205e+01 5.745201346014488239e-04 2.635460006364339844e-02 8.932404985409529924e-05 1.712475406799512034e-08 2.111173364393704019e-11 8.932404985409529924e-05 1.712475406799512034e-08 2.111173364393704019e-11
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538482175389803785e+01 5.519566997013585245e-04 2.493282615075837622e-02 1.866132374851057693e-04 1.591653539796472904e-08 1.930009585261603558e-11 1.866132374851057693e-04 1.591653539796472904e-08 1.930009585261603558e-11
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531677577633891474e+01 5.361648188760187493e-04 2.251385100564724448e-02 7.922206068726617438e-05 1.463155097575852162e-08 1.574182134991725128e-11 7.922206068726617438e-05 1.463155097575852162e-08 1.574182134991725128e-11
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.524979114816487424e+01 4.680937516067765918e-04 1.740411548628721314e-02 8.044915330101039686e-05 2.086337838454030318e-08 3.453183875898246988e-11 8.044915330101039686e-05 2.086337838454030318e-08 3.453183875898246988e-11
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.518434685670509054e+01 4.237187196866614054e-04 1.555114913293426798e-02 1.270775080169689222e-04 3.129858839139541816e-08 7.804083894819110211e-11 1.270775080169689222e-04 3.129858839139541816e-08 7.804083894819110211e-11
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512066559971226809e+01 3.941606221394258671e-04 1.401353679107860198e-02 6.880527330056826864e-05 6.912571696916750822e-09 3.912974230791440892e-12 6.880527330056826864e-05 6.912571696916750822e-09 3.912974230791440892e-12
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.506014656249600137e+01 3.831347416184752706e-04 1.234656106797735187e-02 1.100818013839796893e-04 8.884055091535443955e-09 6.567291454554899132e-12 1.100818013839796893e-04 8.884055091535443955e-09 6.567291454554899132e-12
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.499944210668343203e+01 4.095650314954382286e-04 1.383773006895252025e-02 9.517769653406148069e-05 8.313623669100774119e-09 5.066850239019304299e-12 9.517769653406148069e-05 8.313623669100774119e-09 5.066850239019304299e-12
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.494295063475446739e+01 3.593710302836440129e-04 1.075861701411504924e-02 1.141868236930160778e-04 1.481256489414983159e-08 1.748741467127701231e-11 1.141868236930160778e-04 1.481256489414983159e-08 1.748741467127701231e-11
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488708073640712826e+01 3.755295692606636072e-04 1.114444108045340408e-02 1.676600092492867519e-04 2.869351967623015063e-08 6.509155574903524865e-11 1.676600092492867519e-04 2.869351967623015063e-08 6.509155574903524865e-11
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.472273965430304088e+01 7.822623451095779556e-03 7.032957079651175336e-02 2.704290597664699443e-07 1.461354435078587439e-07 2.188384350983034868e-11 2.704290597664699443e-07 1.461354435078587439e-07 2.188384350983034868e-11
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432193404362693911e+01 1.711220321188283006e-04 2.541475026704936076e-03 1.309718501466174546e-04 7.627986655014332900e-09 4.696921360132285285e-12 1.309718501466174546e-04 7.627986655014332900e-09 4.696921360132285285e-12
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408010130438434260e+01 5.014443568143873411e-05 1.938059869715494290e-04 1.087634695407576767e-04 4.254299536585189258e-09 1.476974002028114791e-12 1.087634695407576767e-04 4.254299536585189258e-09 1.476974002028114791e-12
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574121978521878873e+01 2.308398568416450761e-03 2.183701219170732510e-01 5.379398123631050490e-05 1.782463514112167309e-07 5.036188409369620242e-10 5.379398123631050490e-05 1.782463514112167309e-07 5.036188409369620242e-10
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.185350001056519886e+01 1.098841829488091419e-03 7.004286645100231412e-02 1.428482902050346706e-04 1.505363340814599123e-07 3.076942278710561236e-10 1.428482902050346706e-04 1.505363340814599123e-07 3.076942278710561236e-10
