hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999999670065876e+01 5.196122049978712377e-09 2.107222248148564759e-11 1.138051350911458288e-04 1.447415575414667051e-04 1.562948719907176695e-02 9.774128595987954804e-02 8.483361793897267506e-05 6.076141169589593417e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408010793728256260e+01 1.508513660607018072e-05 1.978158543874582458e-04 2.515363693237304688e-02 1.410403497639196955e-04 1.561159674239812924e-02 9.981727600097656250e-02 9.131064771083180584e-05 6.280813605068638963e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432198049201213053e+01 6.376503855852269100e-05 3.060850314115614538e-03 5.041241645812988281e-02 1.416963187137886438e-04 1.574111599175390813e-02 1.063253879547119141e-01 9.370552136205390970e-05 6.977439601181837162e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473039651700550223e+01 1.117835269980246567e-04 9.786949205255166678e-03 7.727201779683430527e-02 1.486915679517269659e-04 1.602319389120844539e-02 1.177319685618082590e-01 1.049199738493560854e-04 8.133342204164110967e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488726057758667309e+01 1.223864570361409920e-04 1.124355196499611000e-02 8.556214968363443085e-02 1.409755141775421213e-04 1.618179125352349479e-02 1.221377849578857422e-01 1.038051571475581632e-04 8.585034197589417118e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.500026255521294161e+01 1.300519246952779550e-04 1.414239579029805474e-02 9.147938092549641464e-02 1.403382027762787026e-04 1.626960445582249434e-02 1.254953543345133371e-01 1.045595654970747580e-04 8.888997630789515284e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512091658789223914e+01 1.574718697618906127e-04 1.881534210039480584e-02 9.701617558797200058e-02 1.502780587798636263e-04 1.634009812002861634e-02 1.286892890930175781e-01 1.115637552392917213e-04 9.191303318478578205e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.524937599399791566e+01 1.511429907390174614e-04 1.863681453269373789e-02 1.028063297271728516e-01 1.464663955704072847e-04 1.647938179540157227e-02 1.323519547780354633e-01 1.130512548041943580e-04 9.531483293806609566e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531541436813751034e+01 2.083077806311047571e-04 2.188986172956969983e-02 1.058383385340372629e-01 1.497090017961508603e-04 1.648800726809282816e-02 1.341259082158406390e-01 1.167747444074843072e-04 9.700001917014193509e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538604227390507617e+01 1.647862322383306620e-04 2.285281856520176430e-02 1.092010339101155553e-01 1.473630756131389513e-04 1.663084033634100456e-02 1.364610195159912109e-01 1.149090832537615038e-04 9.934096296035477280e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.552743286942886414e+01 1.826748263052130209e-04 2.810036540834631724e-02 1.149654388427734375e-01 1.514574014324177942e-04 1.668519744634977542e-02 1.402331988016764230e-01 1.164762741369337217e-04 1.023689952851074975e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568220589149100874e+01 2.109993437891642004e-04 3.583420743729804486e-02 1.219077905019124303e-01 1.534109260616932954e-04 1.694872957234691557e-02 1.451102097829182758e-01 1.248452514420333472e-04 1.075326597416253332e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.584582463891055681e+01 2.339009896405464526e-04 4.582568169890161025e-02 1.288161277770996094e-01 1.619864749249530196e-04 1.718569852323525993e-02 1.500352223714192523e-01 1.293663872111342579e-04 1.126872534668008248e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.899999999999999911e-01 -6.601425824775665774e+01 2.956122775957804026e-04 5.660877881687144397e-02 1.359315315882364816e-01 1.640118816064804850e-04 1.749630544497746479e-02 1.554220914840698242e-01 1.349687948827950693e-04 1.181766020361862957e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.100000000000000089e-01 -6.619094525434707066e+01 3.008758335775970662e-04 6.909089854440420009e-02 1.427523295084635324e-01 1.594819272999853875e-04 1.756551310568789381e-02 1.604725519816080637e-01 1.340528083919563041e-04 1.219230074629093843e-02
