hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399990234430620717e+01 9.760856079819492804e-05 7.812403926999729031e-04 1.987457275390625054e-04 4.179362409645267520e-04 1.561805828227079418e-02 9.782218933105468750e-02 2.688071326834328475e-04 6.048917056614300930e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408011812115505279e+01 5.063769849550629092e-05 1.974142727810640713e-04 2.489624023437500208e-02 4.341949609256039503e-04 1.560513373464345738e-02 9.983215332031250555e-02 2.817537924669603639e-04 6.258497675880789722e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432174436865052769e+01 1.962294683565819460e-04 2.923911677537697779e-03 5.055313110351562778e-02 4.333574632389220935e-04 1.574915808101650869e-02 1.063255310058593833e-01 2.925108557000239166e-04 6.999658601707778836e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473050031031350215e+01 3.127122340558540544e-04 8.961790402250136706e-03 7.747116088867188333e-02 4.615801123268929132e-04 1.613819763937499388e-02 1.180335998535156361e-01 3.185251149875963257e-04 8.208047714433633346e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488752772652890144e+01 3.971219383000964827e-04 1.312041653850343041e-02 8.582229614257813610e-02 4.556011832416101762e-04 1.602916582429315603e-02 1.219932556152343861e-01 3.230735899565922065e-04 8.512277923873627292e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.494354365893001102e+01 3.519397140033447900e-04 9.642298210532203318e-03 8.770904541015625555e-02 4.536499087141637916e-04 1.632760446285828893e-02 1.236434936523437556e-01 3.362900101089321856e-04 8.732767587061970871e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.500191512837533026e+01 3.590705252677347061e-04 1.096977535365749670e-02 9.225616455078125555e-02 4.684237558328680114e-04 1.645971303572877839e-02 1.261581420898437444e-01 3.404246471682095712e-04 9.055036117788404712e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.506172551149181515e+01 3.914684563076770954e-04 1.235788310676168983e-02 9.398651123046875000e-02 4.534442258241331062e-04 1.646961340447887848e-02 1.271423339843749944e-01 3.348634496482888402e-04 9.137904606759549367e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512328983054533182e+01 4.246907974551933796e-04 1.396617860567186432e-02 9.755401611328125278e-02 4.522824928326015827e-04 1.641867307713255550e-02 1.289199829101562444e-01 3.355057656855135219e-04 9.315097143407911895e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.518854215838112509e+01 4.262769346927972373e-04 1.597109764121699624e-02 1.012504577636718778e-01 4.560678475871222286e-04 1.662055053689982798e-02 1.311698913574218806e-01 3.599313801885561676e-04 9.666665335535071582e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.525437760368620843e+01 4.752009283222762047e-04 1.804839338721738948e-02 1.042205810546875111e-01 4.846919185121201885e-04 1.671880855225026802e-02 1.330551147460937444e-01 3.647865936904788587e-04 9.877074507530779132e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.532376258532727320e+01 5.209475348318420200e-04 2.062471983825390348e-02 1.074600219726562500e-01 4.664147581920015970e-04 1.679430458461865852e-02 1.350112915039062556e-01 3.561748710745432883e-04 1.011391207342967474e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.539675061346125062e+01 5.353320318670756186e-04 2.426219917268309517e-02 1.113830566406250056e-01 4.816722257151373823e-04 1.711661513894796247e-02 1.375640869140624944e-01 3.719086149987065331e-04 1.059892243705689956e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.547410988573255963e+01 6.161807012233103467e-04 3.004993529965508531e-02 1.149841308593750056e-01 5.046029504439038553e-04 1.760970052331686103e-02 1.402328491210937667e-01 4.043953328314611696e-04 1.116579890018329184e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.556297765399469313e+01 8.138106649552629334e-04 4.544071630070190687e-02 1.228088378906250083e-01 5.794478372933797817e-04 1.885162886232137971e-02 1.451232910156250167e-01 4.952822518603282667e-04 1.287286993116140178e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.569664956417753388e+01 1.734301134441343416e-03 1.470671767419335363e-01 1.547599792480468806e-01 1.611634822492135407e-03 3.402478408010211480e-02 1.734764099121093861e-01 1.534774117397620955e-03 2.788137046096380786e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.594114321048463978e+01 2.880575540486793578e-03 5.073933180740978210e-01 3.074790954589843861e-01 4.464275295215289902e-03 9.922782510926481114e-02 3.189277648925781250e-01 4.350995873942945652e-03 9.205630003416445661e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.822806354024015718e+01 3.194251330494774291e-03 6.473937032095749000e-01 8.385192871093750666e-01 1.875529409695394925e-03 3.957224901765585279e-02 8.385864257812500888e-01 1.871229628661851821e-03 3.945965036749840560e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384212687145031850e+01 3.091481869337777636e-03 4.420333023600291344e-01 9.004928588867188166e-01 1.407006904607259684e-03 2.390093354275450374e-02 9.005111694335937722e-01 1.406017228962889087e-03 2.386795617407187764e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972003513700765609e+01 3.438947645404565653e-03 3.114181132045482636e-01 9.302658081054687722e-01 1.188400813882380591e-03 1.704971724888310058e-02 9.302810668945312722e-01 1.185922299275105627e-03 1.702132755657657925e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574616290133019447e+01 1.601377905658378335e-03 1.091633041145285282e-01 9.473892211914063388e-01 1.088310164198594927e-03 1.288132928078994204e-02 9.473892211914063388e-01 1.088310164198594927e-03 1.288132928078994204e-02
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.185389779681575817e+01 1.323473494677104541e-03 9.336145369144448203e-02 9.604873657226562500e-01 9.128939771677870236e-04 9.646904503460973848e-03 9.604873657226562500e-01 9.128939771677870236e-04 9.646904503460973848e-03
