hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000247183607e+01 1.924834467322922962e-08 2.499917340732001400e-11 -2.460479736328125000e-04 4.974424071616253369e-04 1.569539215051918291e-02 9.784889221191406250e-02 3.088699982251481304e-04 6.121046983025735244e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408014566116504795e+01 5.466809069292606177e-05 1.977121552421251787e-04 2.575016021728515625e-02 4.989259110717540616e-04 1.569619886777218198e-02 1.000051498413085938e-01 3.073093391512216142e-04 6.358239624205452856e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432170456914353451e+01 2.091970239009474609e-04 2.961639234920288369e-03 5.029487609863281250e-02 4.935464957161848779e-04 1.559703237944631837e-02 1.057968139648437500e-01 3.260484559315723961e-04 6.933641096111387014e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.472952462038934129e+01 3.914039042994625346e-04 1.051662153403237418e-02 7.717037200927734375e-02 5.042317756041757781e-04 1.614452664125565207e-02 1.180276870727539062e-01 3.447384656647721826e-04 8.169258041561988648e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488758993544529119e+01 3.435531097157215564e-04 8.539981129141234473e-03 8.650875091552734375e-02 4.969188715137567254e-04 1.634015292711410439e-02 1.230764389038085938e-01 3.614237706516811813e-04 8.676107098835927900e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.494284858432138208e+01 3.764800079224847715e-04 9.656276767110387460e-03 8.785629272460937500e-02 5.088875625461759507e-04 1.614852131751831621e-02 1.234149932861328125e-01 3.720998342027858176e-04 8.635988921014359221e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.500063848040015557e+01 3.954953322367505287e-04 1.076505741888205726e-02 9.165000915527343750e-02 5.140020046284404830e-04 1.611495096221915446e-02 1.252174377441406250e-01 3.793481413567783883e-04 8.835268425173126161e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.506032084868911625e+01 4.231853076777712490e-04 1.223417429399811102e-02 9.479427337646484375e-02 5.062709047939993427e-04 1.618145134034421062e-02 1.271352767944335938e-01 3.755338588390442589e-04 9.004026999718917068e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512095828488440930e+01 4.385782612820406687e-04 1.372356090095009154e-02 9.767150878906250000e-02 4.931831086931767576e-04 1.642346358858048916e-02 1.291732788085937500e-01 3.609143092017170129e-04 9.277451259549707174e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.518395895003662588e+01 5.100700244084322528e-04 1.549756756835370813e-02 1.007385253906250000e-01 5.297049187512461793e-04 1.639930065721273422e-02 1.312007904052734375e-01 3.925164535580323664e-04 9.333903752121841535e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.525071048986994526e+01 5.229312567953440204e-04 1.776581154450626587e-02 1.019506454467773438e-01 5.014542829871131537e-04 1.640258564930263674e-02 1.315832138061523438e-01 3.758716147687957729e-04 9.482377600761537906e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531685397427585826e+01 5.574986008536083172e-04 1.969712748608921579e-02 1.045875549316406250e-01 5.141571560903797746e-04 1.651641562057193369e-02 1.334266662597656250e-01 3.894507282446749651e-04 9.652296997956000268e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538696803945101976e+01 5.763010334219220059e-04 2.220511289187042381e-02 1.091585159301757812e-01 5.359468751539945555e-04 1.655296765147795668e-02 1.360940933227539062e-01 4.154453478966633182e-04 9.946947014213947114e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.545787105561146291e+01 6.187294893955954918e-04 2.506504706909057356e-02 1.125755310058593750e-01 5.282109543737271680e-04 1.671827699465211481e-02 1.384792327880859375e-01 4.114197339734606759e-04 1.021502926232642494e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.553232577282946636e+01 6.630274661884564972e-04 2.814444524592035757e-02 1.149244308471679688e-01 5.071089538107143675e-04 1.704608355703385314e-02 1.406946182250976562e-01 4.157011494888770975e-04 1.045873276507336413e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.560891597953397536e+01 6.946920459550228908e-04 3.191944197631074731e-02 1.196212768554687500e-01 5.318441993442934177e-04 1.693025970598682761e-02 1.433391571044921875e-01 4.156664980718686076e-04 1.069339562309323810e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568792479849702204e+01 7.295591655812680562e-04 3.587623878076644929e-02 1.222915649414062500e-01 5.199873135741978243e-04 1.709037594264373183e-02 1.455669403076171875e-01 4.085492754610306346e-04 1.085586868794052862e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -6.576941586385521532e+01 8.213552606860824879e-04 4.064019502979868137e-02 1.264009475708007812e-01 5.491538073798164646e-04 1.734292937089776387e-02 1.483392715454101562e-01 4.497468214797789490e-04 1.131558943507116055e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.585292423548769136e+01 8.235909638540578944e-04 4.672082316904444671e-02 1.288223266601562500e-01 5.807010835880028208e-04 1.747565757250413299e-02 1.502475738525390625e-01 4.721988415441601031e-04 1.149651597006595694e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.799999999999999822e-01 -6.594210311952539882e+01 1.128885027822154998e-03 7.572059126802739570e-02 1.355657577514648438e-01 9.339922155051659297e-04 1.893163153636123752e-02 1.551866531372070312e-01 8.556084670161213023e-04 1.322680889916227898e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.817766708345595816e+01 1.007047823627885835e-02 8.237750745716138079e-01 8.238153457641601562e-01 3.567219547262013429e-03 4.915612308741401648e-02 8.242349624633789062e-01 3.506049833357672597e-03 4.846457365692913299e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.200000000000000178e-01 -6.931599949324602505e+01 3.544256031071805688e-03 5.507193665405509808e-01 8.588180541992187500e-01 1.761296513398213567e-03 3.365080332150682807e-02 8.588409423828125000e-01 1.759993419535426208e-03 3.361148922704160213e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.099020451718237723e+01 3.200703705182070778e-03 4.516055443013086146e-01 8.762378692626953125e-01 1.698287703847668447e-03 2.934898685998632573e-02 8.762607574462890625e-01 1.696693894483361498e-03 2.930887534967041574e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384592007447341189e+01 3.253861013580638603e-03 4.048059807480066108e-01 8.991527557373046875e-01 1.477693867609412457e-03 2.417236071414663456e-02 8.991603851318359375e-01 1.476744555995437727e-03 2.415864067370421253e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972132093102139550e+01 3.111313366655751866e-03 2.304627875097970402e-01 9.317169189453125000e-01 1.205218628232431876e-03 1.653950824402272701e-02 9.317169189453125000e-01 1.205218628232431876e-03 1.653950824402272701e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574578058932907254e+01 1.433769300329869583e-03 8.224891953814862655e-02 9.471721649169921875e-01 1.073873961846026149e-03 1.285830011693178676e-02 9.471759796142578125e-01 1.073596450966350646e-03 1.285107375224470161e-02
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.185344101210792189e+01 1.502983027480174656e-03 8.390936277951330236e-02 9.587936401367187500e-01 9.923351027525267615e-04 9.950690844561904669e-03 9.587936401367187500e-01 9.923351027525267615e-04 9.950690844561904669e-03
