hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.185191633804666367e+01 1.505085439973698289e-03 1.316400850670259581e-01 9.587524414062500444e-01 9.254772404139641976e-04 9.987634271383286078e-03 9.587524414062500444e-01 9.254772404139641976e-04 9.987634271383286078e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574536623336615548e+01 1.404451499371771718e-03 1.468983097246789604e-01 9.471405029296875444e-01 1.015367146910702663e-03 1.274847610853612270e-02 9.471435546875000000e-01 1.014714922209138809e-03 1.274269521236419747e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.963165983085502830e+01 6.578629472596565775e-02 4.657800194294130058e+00 9.316421508789063388e-01 1.630074731316415648e-03 1.763917803531512771e-02 9.316421508789063388e-01 1.630074731316415648e-03 1.763917803531512771e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.383710238378438362e+01 4.001174487995772834e-03 4.576089098862646809e-01 9.006134033203125888e-01 1.413771218319206328e-03 2.376869722269475682e-02 9.006164550781250444e-01 1.413196692327113417e-03 2.376320030540228154e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.822489108041844474e+01 3.215935066487118823e-03 6.380470896899262945e-01 8.481674194335937500e-01 1.653077239264132137e-03 3.601993418997153501e-02 8.482070922851563388e-01 1.651510511451202484e-03 3.595263417577370529e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.596100861148386230e+01 2.716259963953328131e-03 4.581470199213013017e-01 3.328392028808593861e-01 4.506377931233299453e-03 1.074298350833123722e-01 3.440116882324218972e-01 4.378976985280645835e-03 9.986772841715720050e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.579073427678930841e+01 1.737909697988047723e-03 2.315412411515062330e-01 2.162353515625000111e-01 2.803522420376380539e-03 6.396614968776703769e-02 2.311981201171875167e-01 2.710960337541007403e-03 5.727130620740353978e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566700299929266293e+01 1.342464187707525548e-03 1.383528264627252313e-01 1.674621582031250167e-01 1.722958759433635030e-03 4.060724344104528483e-02 1.850189208984375222e-01 1.642376051721510617e-03 3.441881678067148370e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.556709778642425590e+01 1.057035812721312780e-03 8.921620840239002925e-02 1.459945678710937444e-01 1.202980976130320432e-03 3.132478445535525485e-02 1.655441284179687556e-01 1.127935484706068517e-03 2.523433984955773118e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547687917128256174e+01 8.959779934222105455e-04 6.112611262615477714e-02 1.352935791015625056e-01 1.004431843289148871e-03 2.718438646756113006e-02 1.557708740234375056e-01 9.437406408743957481e-04 2.122417381964623873e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.539443424980829889e+01 7.605294642350075547e-04 4.494095022533724226e-02 1.246841430664062528e-01 7.734583024538771358e-04 2.349862612551078742e-02 1.468276977539062500e-01 6.728521506279213108e-04 1.748638883000239869e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.531645879163734492e+01 6.512896420083081608e-04 3.393883093935980144e-02 1.182540893554687583e-01 7.278072109215800263e-04 2.226761067053302859e-02 1.412185668945312444e-01 6.361528526127119493e-04 1.630895668407901858e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.524045798120027939e+01 5.736530372743555090e-04 2.685147467322548595e-02 1.129104614257812611e-01 6.388611625315739279e-04 2.097372373333200937e-02 1.365432739257812500e-01 5.470038265689940301e-04 1.507843037834391033e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.517062691686957976e+01 5.176466561785144889e-04 2.172933594804182106e-02 1.083160400390625056e-01 6.086739417328671485e-04 1.990520871244371229e-02 1.329772949218750167e-01 5.199925979279385437e-04 1.395461227744817546e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.510301356104390891e+01 4.644056206479341793e-04 1.744033997810057190e-02 1.034896850585937528e-01 5.953689673205884124e-04 1.958220533793791907e-02 1.299636840820312667e-01 5.008487027859810214e-04 1.340176107129081862e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.503866815908268961e+01 4.421544698367756003e-04 1.460107608197686035e-02 9.991760253906251110e-02 5.791934688736274060e-04 1.907340324483812119e-02 1.272949218749999944e-01 4.646670823206825937e-04 1.285293340682983065e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.497631952127797206e+01 3.836199297202134420e-04 1.205889342232241770e-02 9.518585205078125555e-02 5.497449103431066835e-04 1.863836114993319346e-02 1.239761352539062583e-01 4.390802696395481610e-04 1.232862546807154958e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.491496469819389858e+01 3.600043210740879753e-04 9.936724783586120546e-03 9.104156494140625000e-02 5.446815306212705399e-04 1.827679447596892645e-02 1.210708618164062500e-01 4.343900957113000440e-04 1.190720744198188290e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.474874669695047658e+01 2.581674200710436066e-04 6.009909454293659026e-03 8.252105712890625555e-02 5.011795062863285419e-04 1.770180314546451403e-02 1.160995483398437611e-01 3.980425447266044622e-04 1.103242289042100262e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432529936193901676e+01 1.059873986429160951e-04 9.019036787025335334e-04 5.206451416015625555e-02 4.801048821384042305e-04 1.627904008841142211e-02 1.000534057617187556e-01 3.420481565729916753e-04 8.979069718625396282e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408030747734606791e+01 2.468126869576908809e-05 5.326111559838276477e-05 2.486572265625000208e-02 4.768522641650222620e-04 1.575552091002464447e-02 9.194335937500000555e-02 3.073083750444267816e-04 7.920243740081787942e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999740190409625e+01 6.527810376437796542e-06 2.318817546288944167e-06 3.158569335937500434e-04 4.636793139450624281e-04 1.560067690676078533e-02 8.893585205078125000e-02 3.010210362578792979e-04 7.691190892364830126e-03
