hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574067172362042299e+01 8.483270404761436611e-04 2.655208355837674339e-01 9.482711156209309156e-01 4.881706080448591561e-04 1.257222248376718698e-02 9.482711156209309156e-01 4.881706080448591561e-04 1.257222248376718698e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972248036829066109e+01 8.832318488711983235e-04 2.755272585514348394e-01 9.314778645833332593e-01 4.663392646881997115e-04 1.662120554182264578e-02 9.314794540405273438e-01 4.663250680824583094e-04 1.661824445091042435e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.500000000000000222e-01 -7.676360981335294298e+01 8.982120744962988988e-04 2.595886443288045742e-01 9.188695748647053296e-01 6.112713373602119598e-04 1.949421317081916766e-02 9.188740253448486328e-01 6.111424014049943784e-04 1.948603432941808933e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384259677803851218e+01 1.182902998476367340e-03 4.313836717968704826e-01 9.015392065048217773e-01 6.007472478151874243e-04 2.371966091673982646e-02 9.015465180079141883e-01 6.005165107413522546e-04 2.370647764988909750e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.098695738704631708e+01 1.131887474773363243e-03 5.404864335518669849e-01 8.799578348795572547e-01 6.254645624013025580e-04 2.854495926132787770e-02 8.799651463826496656e-01 6.253632416047017221e-04 2.853209157900790660e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.300000000000000266e-01 -6.986710692489806718e+01 1.151931845917827891e-03 5.799779861553734372e-01 8.675009409586588172e-01 6.300698607397789593e-04 3.127446880252035544e-02 8.675117492675781250e-01 6.297250463332706950e-04 3.125571624938553589e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.100000000000000089e-01 -6.876136576519073174e+01 1.158362551787917895e-03 6.740355660679783201e-01 8.544078667958576734e-01 5.977819484077079738e-04 3.441397740106645620e-02 8.544358412424722937e-01 5.973739786684889152e-04 3.436617344398326668e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.899999999999999911e-01 -6.768067957333286699e+01 1.166234519058116734e-03 8.110526949057093038e-01 8.351904551188150672e-01 6.471169575595007561e-04 3.935294173384641658e-02 8.352327346801757812e-01 6.464426254138719513e-04 3.928231697409501066e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.665893048736793958e+01 1.324852345791452607e-03 1.100416151401423015e+00 7.490854263305664062e-01 1.189009679004944054e-03 7.594879270285066764e-02 7.500740687052408484e-01 1.175425119974487934e-03 7.446666009966268485e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.596075842785859322e+01 7.750326840809864531e-04 4.419734408490270106e-01 3.378753662109375000e-01 1.543183329365956655e-03 1.088889636254558868e-01 3.486388524373372211e-01 1.501826153687523804e-03 1.014996772888076271e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566778836751005599e+01 4.304994618046523386e-04 1.387971958967623709e-01 1.691856384277343750e-01 5.756577615629442524e-04 4.133148924544608610e-02 1.865717569986979074e-01 5.500185598903619289e-04 3.514624898606497072e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547733361284653597e+01 2.994273302475072970e-04 6.139227881964590822e-02 1.346003214518229074e-01 3.100179824765320383e-04 2.662903318155763338e-02 1.550270716349283762e-01 2.838231990295074980e-04 2.071288677679048243e-02
