hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.185405270650991838e+01 3.047702722481297234e-03 2.281094916491666624e-01 9.575653076171875000e-01 9.610641981519424176e-04 1.035387604497373104e-02 9.575691223144531250e-01 9.607819621827896764e-04 1.034657038690056652e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.573667070711323390e+01 3.248308352853593230e-03 2.373996125875419139e-01 9.473018646240234375e-01 1.048754995274127485e-03 1.286531108416966163e-02 9.473018646240234375e-01 1.048754995274127485e-03 1.286531108416966163e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.971179278681253777e+01 3.697011654616458743e-03 3.544219364761023172e-01 9.297103881835937500e-01 1.267263243753802759e-03 1.700246281689032912e-02 9.297103881835937500e-01 1.267263243753802759e-03 1.700246281689032912e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.382978863763271704e+01 4.532764509041678491e-03 6.049822477242785546e-01 8.993415832519531250e-01 1.540030882038127824e-03 2.437038939388003200e-02 8.993530273437500000e-01 1.538175862196434606e-03 2.434980496764183044e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.097659559616153047e+01 5.855706899112958150e-03 8.684038070714370505e-01 8.795223236083984375e-01 1.656006081294133766e-03 2.832680238861939870e-02 8.795299530029296875e-01 1.655273779862316075e-03 2.831338188480003737e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.200000000000000178e-01 -6.931613518752840264e+01 3.735568824262635017e-03 6.564585429600104938e-01 8.644466400146484375e-01 1.649666294207369341e-03 3.152462627258501016e-02 8.644504547119140625e-01 1.649588676804586776e-03 3.151803105356520973e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.817483700891678211e+01 3.585082786172028024e-02 2.061135305405632945e+00 8.462924957275390625e-01 2.074646313390074610e-03 3.669891043318784796e-02 8.463344573974609375e-01 2.071826675007283711e-03 3.662788497967994772e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.799999999999999822e-01 -6.715281613659149684e+01 4.025222745643389222e-03 8.583012698116462280e-01 8.189067840576171875e-01 2.128374232510085555e-03 4.406066820592968725e-02 8.189792633056640625e-01 2.124176631829317787e-03 4.394195545683032833e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.665300958936137476e+01 4.291212692228398712e-03 1.074196148903280523e+00 7.624015808105468750e-01 3.442229464428128109e-03 7.046435341180767864e-02 7.631645202636718750e-01 3.412376720294747843e-03 6.930043884494807571e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -6.623776784979308729e+01 4.118777321237998557e-03 9.944657641940567450e-01 6.115436553955078125e-01 5.487606273613046190e-03 1.186159906173998024e-01 6.150531768798828125e-01 5.397823652639061227e-03 1.143112226818630006e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.595118705381200641e+01 3.179982348687123914e-03 6.098856700674596398e-01 3.637466430664062500e-01 5.274371092170811702e-03 1.154782394296489656e-01 3.732948303222656250e-01 5.146422309484610137e-03 1.084408294263994321e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.578612078529933171e+01 2.176299962952046689e-03 2.768795320916779823e-01 2.214641571044921875e-01 3.283160112096194551e-03 6.617250491035520099e-02 2.358379364013671875e-01 3.183160012457140337e-03 5.959934554630308412e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566497314483069658e+01 1.568289273823986977e-03 1.572021889892069035e-01 1.672210693359375000e-01 1.978300252660617365e-03 3.960446245037019253e-02 1.838569641113281250e-01 1.891675836837294553e-03 3.376396522799041122e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.556475080215587070e+01 1.272097819771133382e-03 1.072081010826013009e-01 1.480274200439453125e-01 1.419359426285974864e-03 3.189585677682771347e-02 1.670169830322265625e-01 1.328169226897430236e-03 2.591330124050728045e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547519309253907238e+01 1.109488662210010622e-03 7.792749351253275281e-02 1.340618133544921875e-01 1.078413011452465133e-03 2.670111145926057361e-02 1.546421051025390625e-01 9.863722234031036418e-04 2.075950058861053549e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.539444599207001829e+01 8.431490727946341045e-04 4.619944842120109196e-02 1.251773834228515625e-01 8.785210403360654884e-04 2.366420460384688340e-02 1.473903656005859375e-01 7.844761993204267970e-04 1.760966205256409012e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.531525229054861370e+01 7.405122852348528005e-04 3.595981839432250277e-02 1.195697784423828125e-01 7.692069149565378692e-04 2.211220771641819738e-02 1.421794891357421875e-01 6.792473741395592965e-04 1.619413250227808021e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.524140819806666514e+01 6.924395532347182251e-04 2.802247868906894424e-02 1.133956909179687500e-01 7.529039406919060687e-04 2.100686909398064017e-02 1.375694274902343750e-01 6.572130735939664490e-04 1.494010443275328726e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.517103968551880655e+01 6.034110326373418173e-04 2.286470331003224998e-02 1.083660125732421875e-01 6.479870455670068072e-04 2.028095244531868957e-02 1.338977813720703125e-01 5.584944369561036610e-04 1.409552926998003386e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.510343865280827913e+01 5.199526412484013413e-04 1.889805786586981270e-02 1.030578613281250000e-01 6.676203846442683217e-04 1.970830466598272324e-02 1.298332214355468750e-01 5.294716661352527522e-04 1.347256205917801708e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.503770376208572657e+01 5.090876435175793659e-04 1.551396259909339735e-02 1.003971099853515625e-01 6.411427774000201529e-04 1.921324219074449502e-02 1.275386810302734375e-01 5.331404847839092860e-04 1.302670672521344386e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.497544814897314325e+01 4.376297027296605210e-04 1.231003396166347255e-02 9.694290161132812500e-02 6.196664335170647478e-04 1.877170578518416733e-02 1.249237060546875000e-01 5.004398592197884009e-04 1.256369962356984615e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.491497592239156234e+01 4.018124026297836609e-04 1.018257137443052615e-02 9.179878234863281250e-02 5.849344110885039026e-04 1.829469948643236421e-02 1.215419769287109375e-01 4.921442545457745642e-04 1.194926377138472162e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.474892097465655638e+01 2.998945556651156849e-04 5.976182157302643155e-03 8.220291137695312500e-02 5.915305608955073909e-04 1.767247948737349361e-02 1.159553527832031250e-01 4.565479699497345355e-04 1.098415428714361042e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432494425192690812e+01 1.146327259441008896e-04 9.088736580296922964e-04 5.196571350097656250e-02 5.121378388974509284e-04 1.632083727963618003e-02 1.000843048095703125e-01 3.839149883723568966e-04 9.004404590086778626e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408032056513712860e+01 2.901986465506981751e-05 5.204031496347146510e-05 2.510261535644531250e-02 5.129623760543283555e-04 1.574945350512280129e-02 9.174537658691406250e-02 3.658645108215167379e-04 7.962380677781766281e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000013544928379e+01 4.376161349035987891e-06 4.212647893701340844e-07 -4.482269287109375000e-04 5.008055003515646513e-04 1.568941052755690180e-02 8.952140808105468750e-02 3.442281250522718941e-04 7.675528930121799931e-03
