hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000095280939e+01 2.558724120263322795e-09 5.177113071243939343e-12 1.205810693494139098e-04 1.798565198218068752e-09 2.564484213694807063e-12 1.205810693494139098e-04 1.798565198218068752e-09 2.564484213694807063e-12
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407943640745912717e+01 1.594506060448596958e-04 6.261754545855366567e-03 2.476161478922171352e-02 2.789692798387832817e-04 1.534885196217669091e-02 2.476161478922171352e-02 2.789692798387832817e-04 1.534885196217669091e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431696529542611529e+01 5.788685950758937953e-04 1.104675605721573001e-01 4.991291403711209385e-02 2.719351026915204392e-04 1.586861242247491338e-02 4.991291403711209385e-02 2.719351026915204392e-04 1.586861242247491338e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.469043683201377348e+01 1.905981684783239136e-02 8.809802309612193572e-01 7.669850756082613463e-02 2.898035607381602673e-04 1.625726705223808771e-02 7.669850756082613463e-02 2.898035607381602673e-04 1.625726705223808771e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.486740133539336739e+01 3.163403165460466036e-03 6.165711435964894571e-01 8.385383137941064546e-02 2.766023495024100103e-04 1.625635168797520333e-02 8.385383137941064546e-02 2.766023495024100103e-04 1.625635168797520333e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498024030737944656e+01 2.194605804517598020e-03 8.404288040355784029e-01 8.931710154085367726e-02 2.897074517960234949e-04 1.655870385962601721e-02 8.931710154085367726e-02 2.897074517960234949e-04 1.655870385962601721e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.508885343200913098e+01 4.077015064186804115e-03 9.909110457504245462e-01 9.315007342755210473e-02 2.746347721657823779e-04 1.602604104575386726e-02 9.315007342755210473e-02 2.746347721657823779e-04 1.602604104575386726e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.520712712950417256e+01 4.433957412371436133e-03 1.348246066324293668e+00 9.889908789666496114e-02 2.870091888072880170e-04 1.655239625442890203e-02 9.889908789666496114e-02 2.870091888072880170e-04 1.655239625442890203e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.532747076150954513e+01 7.794640880277071970e-03 1.706612588370042261e+00 1.037526464588024305e-01 2.766672492095650113e-04 1.656187334708848075e-02 1.037526464588024305e-01 2.766672492095650113e-04 1.656187334708848075e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.545674307694825700e+01 8.354405817431319325e-03 1.852004490781595791e+00 1.076461960548139724e-01 2.897840343254865880e-04 1.606953555977300510e-02 1.076461960548139724e-01 2.897840343254865880e-04 1.606953555977300510e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.561897787603248844e+01 4.387650136811446604e-03 2.036966946881975549e+00 1.124444223470992821e-01 2.859257579627595843e-04 1.637648517828771064e-02 1.124444223470992821e-01 2.859257579627595843e-04 1.637648517828771064e-02
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.575164890778577842e+01 5.641172034925232698e-03 2.684103477688687178e+00 1.173151574082469117e-01 2.843980339940434710e-04 1.649876095823089861e-02 1.173151574082469117e-01 2.843980339940434710e-04 1.649876095823089861e-02
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.590578472505538343e+01 5.162660967107093532e-03 3.483294983238592657e+00 1.222082875671594432e-01 2.774650138471939135e-04 1.696369954005100961e-02 1.222082875671594432e-01 2.774650138471939135e-04 1.696369954005100961e-02
5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.605418488989529635e+01 3.744951731079044794e-03 3.948434316474461525e+00 1.280652899394783828e-01 2.856619173485702495e-04 1.754960912203686399e-02 1.280652899394783828e-01 2.856619173485702495e-04 1.754960912203686399e-02
5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.985809788815350885e+01 8.194357866050068018e-04 5.416093280076400562e-01 8.697380842565962666e-01 2.302780852676880314e-04 3.074319612528041493e-02 8.697380842565962666e-01 2.302780852676880314e-04 3.074319612528041493e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.097879940200184024e+01 8.004732774544645732e-04 4.875463509911768800e-01 8.818774433762349707e-01 1.962790138044535069e-04 2.805271746962598872e-02 8.818774433762349707e-01 1.962790138044535069e-04 2.805271746962598872e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.383803258445925621e+01 7.222688946536777238e-04 3.925524931358649328e-01 9.034883226698303682e-01 1.709403772859147900e-04 2.283158447841574651e-02 9.034883226698303682e-01 1.709403772859147900e-04 2.283158447841574651e-02
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.675651359450336031e+01 6.418087943148619370e-04 3.255116325380263964e-01 9.196320812616970430e-01 1.541465820509808969e-04 1.911886881959165216e-02 9.196320812616970430e-01 1.541465820509808969e-04 1.911886881959165216e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.971900172229956638e+01 5.854026081143457209e-04 2.777902814942057597e-01 9.313023991164870452e-01 1.463274075202290389e-04 1.634079484132265961e-02 9.313023991164870452e-01 1.463274075202290389e-04 1.634079484132265961e-02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574002851926726976e+01 5.043582621061004937e-04 2.091702012950905076e-01 9.486901985497890877e-01 1.249365193179871028e-04 1.237883341634945025e-02 9.486901985497890877e-01 1.249365193179871028e-04 1.237883341634945025e-02
