hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000508364906e+01 4.064241531152966948e-09 1.295827876237650864e-11 -4.720687866210937500e-05 1.425334036782718253e-04 1.559408282908710322e-02 9.765974680582681366e-02 8.416352607036509971e-05 6.056658911398294862e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408010394502451845e+01 1.567955663226166965e-05 1.975848790103389065e-04 2.495535214742024624e-02 1.397051169178021592e-04 1.563706456953974089e-02 9.979430834452310273e-02 9.099725668047723012e-05 6.300930192379735131e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432172882761942390e+01 1.088838155890635645e-04 3.782406660358918898e-03 5.052638053894042969e-02 1.432819447768656136e-04 1.573592075277474578e-02 1.063853104909261021e-01 9.647423620103110376e-05 6.971001594889811998e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473012065864935494e+01 1.141120993745688302e-04 1.029887314298929407e-02 7.720859845479328964e-02 1.481274202238721247e-04 1.606308136175332163e-02 1.178688208262125559e-01 1.044699455557673298e-04 8.131190114145030179e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488710840070450558e+01 1.122990276890692348e-04 1.017667257679228526e-02 8.567126592000325058e-02 1.463421992715613449e-04 1.613943889664268619e-02 1.221407254536946568e-01 1.098053642320303294e-04 8.560647886623782427e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.500048987338797701e+01 1.244867167011866663e-04 1.284767513816210960e-02 9.107637405395507812e-02 1.445319661003286859e-04 1.630126864718780058e-02 1.253542900085449219e-01 1.062788394752753871e-04 8.882476534457357104e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512172195041452483e+01 1.453416494580684368e-04 1.651154545507806798e-02 9.706815083821614121e-02 1.467549674230215996e-04 1.640848998754841290e-02 1.288479169209797992e-01 1.115746836262022500e-04 9.228930199823378103e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.525131883552658962e+01 1.571065631377085937e-04 1.818763108049764252e-02 1.034748554229736328e-01 1.525464514713149357e-04 1.650992024870371472e-02 1.326154867808023996e-01 1.115509547899278263e-04 9.630098619399833637e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531966801406090894e+01 1.585775011759426754e-04 2.011598152823310462e-02 1.065265337626139230e-01 1.495156346258011502e-04 1.671021920626319240e-02 1.347711881001790180e-01 1.134776490372561885e-04 9.894848459806680069e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.539052379721043451e+01 1.715609889984019091e-04 2.292623482234266985e-02 1.098450819651285715e-01 1.513532975235259027e-04 1.686104144375930383e-02 1.369326114654541016e-01 1.176602932250257982e-04 1.017644339293610756e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.553882451471314141e+01 1.977819344388721280e-04 2.964287216234384736e-02 1.172498067220052037e-01 1.603959551179396249e-04 1.714113959880907839e-02 1.417733828226725168e-01 1.243809237669426312e-04 1.078896469817259771e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.569980878494104104e+01 2.629631246122855065e-04 4.708403106948401418e-02 1.257966359456380023e-01 1.895041702610656971e-04 1.797916607231147407e-02 1.478535334269205637e-01 1.599240860542368249e-04 1.194329234072534496e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.665888566792845893e+01 2.313605398020374734e-03 9.569380111976741876e-01 7.226237456003824500e-01 1.610757652829044283e-03 8.782265043403310323e-02 7.242643833160400391e-01 1.579129546664781881e-03 8.544883119939564176e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.899999999999999911e-01 -6.769205497968218310e+01 1.042058237204586272e-03 6.989596590390638742e-01 8.224118550618488843e-01 7.317736538840938047e-04 4.534163422876089783e-02 8.225889205932617188e-01 7.288731796346916694e-04 4.505036129224511410e-02
