# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999999683695506e+01 1.272786886121061901e-11 1.170677271188177613e-04 1.630485927115959837e-12 1.170677271188177613e-04 1.630485927115959837e-12
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407867820825534011e+01 1.213917525386119106e-02 2.521226644471948747e-02 1.592706590358737920e-02 2.521226644471948747e-02 1.592706590358737920e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431793001227696038e+01 6.404701789043337756e-02 4.982416488042139963e-02 1.558276042227194937e-02 4.982416488042139963e-02 1.558276042227194937e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.470838981242837917e+01 6.202414013103775270e-01 7.787660405624441395e-02 1.702463979962730647e-02 7.787660405624441395e-02 1.702463979962730647e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.485595594124957586e+01 8.350001893811227482e-01 8.547120469547810073e-02 1.665257953613694802e-02 8.547120469547810073e-02 1.665257953613694802e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498495458476540421e+01 7.134319560317357034e-01 8.996872804280957314e-02 1.667879600413020580e-02 8.996872804280957314e-02 1.667879600413020580e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.509949515899234029e+01 8.473756194718659041e-01 9.536845837806348647e-02 1.663837289345866319e-02 9.536845837806348647e-02 1.663837289345866319e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.521652413282720318e+01 1.124032181693936039e+00 1.031685419794735326e-01 1.801936168679674558e-02 1.031685419794735326e-01 1.801936168679674558e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.535022090277141160e+01 1.526005242639654202e+00 1.102829333800956352e-01 1.939551176316631903e-02 1.102829333800956352e-01 1.939551176316631903e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.551386517832331435e+01 2.173573996246382922e+00 1.539035985761503522e-01 4.222627962740083812e-02 1.539035985761503522e-01 4.222627962740083812e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.582952063137061316e+01 1.909367341510036287e+00 4.604533202080959287e-01 1.370614578885590851e-01 4.604533202080959287e-01 1.370614578885590851e-01
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667393424028148274e+01 5.276161840265755076e-01 7.861514143294523471e-01 5.876573138422631903e-02 7.861514143294523471e-01 5.876573138422631903e-02
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.771251627734773137e+01 2.862590463954597375e-01 8.282810865319798488e-01 4.286366418215104696e-02 8.282810865319798488e-01 4.286366418215104696e-02
5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.878509470908525714e+01 2.346265546208615160e-01 8.519759634509809221e-01 3.520569833753361966e-02 8.519759634509809221e-01 3.520569833753361966e-02
5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.988478705796876511e+01 1.837090881322585578e-01 8.674798799470677668e-01 3.133101751649661204e-02 8.674798799470677668e-01 3.133101751649661204e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100331413360358113e+01 1.519645083847827594e-01 8.796635378460678778e-01 2.845050963700002100e-02 8.796635378460678778e-01 2.845050963700002100e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385634046641777672e+01 1.068178883252737937e-01 9.020662982096365745e-01 2.317693151221654826e-02 9.020662982096365745e-01 2.317693151221654826e-02
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.677027179589845218e+01 8.089650686957378101e-02 9.186739412009108374e-01 1.945543169649489867e-02 9.186739412009108374e-01 1.945543169649489867e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973047645500086844e+01 6.466518403842377860e-02 9.310186531800110910e-01 1.656677575264953531e-02 9.310186531800110910e-01 1.656677575264953531e-02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574693418980288584e+01 4.462286349440769406e-02 9.481856660295743255e-01 1.256520511374855688e-02 9.481856660295743255e-01 1.256520511374855688e-02
