hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399986775682737061e+01 1.061237231040444565e-04 1.057923494763206209e-03 -8.460267538085961036e-06 4.003226130875010076e-04 1.262841539718430606e-01 -8.460267538085961036e-06 4.003226130875010076e-04 1.262841539718430606e-01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -6.400000005173970408e+01 3.805920098555598862e-08 1.074246092853338680e-09 9.328412226678588037e-09 5.988467246705893473e-09 2.660550374580846563e-11 9.328412226678588037e-09 5.988467246705893473e-09 2.660550374580846563e-11
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -6.398437499989313437e+01 1.103774857516037593e-02 1.247558590629079256e-01 -1.600594236521278537e-11 2.698440730124542520e-11 9.608556344181385578e-16 -1.600594236521278537e-11 2.698440730124542520e-11 9.608556344181385578e-16
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 nan nan nan 6.780229729788602923e-43 6.898139383884986881e-43 4.872635080653326028e-82 6.780229729788602923e-43 6.898139383884986881e-43 4.872635080653326028e-82
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -6.399999971088379169e+01 5.717247808915008686e-07 2.469603778366759315e-07 2.628738500748248764e-10 1.408149028657403368e-11 1.530619394797678646e-16 2.628738500748248764e-10 1.408149028657403368e-11 1.530619394797678646e-16
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -6.191726587955008654e+01 1.438935529481391584e-01 3.658804268673472393e+01 3.761789101314000783e-03 1.242403912545413688e-04 1.113894721255430549e-02 3.761789101314000783e-03 1.242403912545413688e-04 1.113894721255430549e-02
0.000000000000000000e+00 5.500000000000000444e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 nan nan nan 2.720309258979378842e-17 2.906186585105141275e-16 8.648622558663767695e-29 2.720309258979378842e-17 2.906186585105141275e-16 8.648622558663767695e-29
0.000000000000000000e+00 6.500000000000000222e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 6.700000000000000400e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -8.550582225091827144e+207 nan inf -2.956518136406126527e-15 2.729283192985724718e-14 7.627762429768508966e-25 -2.956518136406126527e-15 2.729283192985724718e-14 7.627762429768508966e-25
0.000000000000000000e+00 7.199999999999999734e-01 0.000000000000000000e+00 nan nan nan 1.068333848999643617e-311 nan 0.000000000000000000e+00 1.068333848999643617e-311 nan 0.000000000000000000e+00
0.000000000000000000e+00 7.399999999999999911e-01 0.000000000000000000e+00 -6.426900678280134116e+01 1.581502290669344697e-04 3.110400251673284613e-02 1.121222673186537955e-02 9.452507870691553111e-05 1.849884246082018251e-03 1.121222673186537955e-02 9.452507870691553111e-05 1.849884246082018251e-03
0.000000000000000000e+00 7.600000000000000089e-01 0.000000000000000000e+00 nan nan nan -5.443378492706164274e-271 nan 0.000000000000000000e+00 -5.443378492706164274e-271 nan 0.000000000000000000e+00
0.000000000000000000e+00 7.800000000000000266e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 8.199999999999999512e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 8.399999999999999689e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 8.599999999999999867e-01 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 nan nan nan -2.383841899699619841e-60 1.953289229495572599e-59 3.906906945600931752e-115 -2.383841899699619841e-60 1.953289229495572599e-59 3.906906945600931752e-115
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 nan nan nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00
