# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000153283963e+01 5.396909927317728804e-12 -1.125335693359375000e-04 1.562076534052418177e-02 9.778277079264321991e-02 6.059307740441808449e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.200000000000000261e-02 -6.401411584340438310e+01 6.105226006829291108e-06 1.047221819559733015e-02 1.563085141469224004e-02 9.809279441833496094e-02 6.118322451830711557e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.400000000000000522e-02 -6.405650933996797392e+01 9.758575451580014828e-05 2.099585533142089844e-02 1.562474675781307457e-02 9.919953346252441406e-02 6.225025259728529832e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.260000000000000009e-01 -6.412725631007822358e+01 8.138081900961801826e-04 3.147606054941812920e-02 1.563264907167491446e-02 1.010223627090454102e-01 6.417873692067624716e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.680000000000000104e-01 -6.422671941161019049e+01 1.430000228324413911e-03 4.263222217559814453e-02 1.572776778075516552e-02 1.039820114771524973e-01 6.733015437550053661e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.109999999999999931e-01 -6.435854408439874419e+01 2.949135748948639515e-03 5.359458923339843750e-02 1.581156017709872685e-02 1.076297760009765625e-01 7.099771490175044164e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.530000000000000027e-01 -6.451724406602886575e+01 5.039908531770712595e-03 6.443460782368977402e-02 1.591979212297979507e-02 1.118711630503336496e-01 7.556453686138158744e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.949999999999999845e-01 -6.470595083007219728e+01 7.773051476044260007e-03 7.591923077901203964e-02 1.603324444097450896e-02 1.171085834503173828e-01 8.082553725311450790e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473045408903034570e+01 7.121640938627958606e-03 7.713770866394042969e-02 1.602626968461132867e-02 1.177121003468831334e-01 8.120357214459597572e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.370000000000000218e-01 -6.492559756744572041e+01 1.155673265841568667e-02 8.742356300354003906e-02 1.618015837533448575e-02 1.231067180633544922e-01 8.667773711238169199e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.790000000000000036e-01 -6.517752626917508962e+01 1.578597913448733653e-02 9.965920448303222656e-02 1.637854396110090607e-02 1.302692890167236328e-01 9.340413338369064206e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531560983192545677e+01 2.057187113474875234e-02 1.058852672576904297e-01 1.652368504568357821e-02 1.342936356862385883e-01 9.700594282087927553e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.545569561075920717e+01 2.667549526319432790e-02 1.120295524597167969e-01 1.659837525198781805e-02 1.381301879882812500e-01 1.006904704263433814e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.209999999999999853e-01 -6.546250200599700975e+01 2.497458029477352473e-02 1.123275756835937500e-01 1.656693664457027995e-02 1.382217407226562500e-01 1.007917129512255275e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.630000000000000226e-01 -6.578276969845430244e+01 4.258459196745954106e-02 1.255981127421061105e-01 1.691164561935288788e-02 1.475733121236165180e-01 1.090864909259734242e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.050000000000000044e-01 -6.614115733246589457e+01 6.276210638405314846e-02 1.402842203776041574e-01 1.746052811439666175e-02 1.586537361145019531e-01 1.196918261825885565e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.470000000000000417e-01 -7.081205652879452828e+01 6.424828314165468290e-01 8.785227139790852124e-01 2.887106753827437672e-02 8.785297075907388953e-01 2.885877939598281705e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.889999999999999680e-01 -7.319847030660710629e+01 5.775558471854260745e-01 8.968771298726398999e-01 2.493500371320402087e-02 8.968847592671711499e-01 2.492131839605665061e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384285878361814071e+01 3.950353476682831877e-01 9.012010892232258374e-01 2.387886188017141614e-02 9.012074470520019531e-01 2.386740247531330544e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.320000000000000062e-01 -7.570419674418015177e+01 3.656177856013768102e-01 9.130449295043945312e-01 2.090802061775320908e-02 9.130462010701496656e-01 2.090569862280568236e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.740000000000000435e-01 -7.817446253895113273e+01 3.980938134005614359e-01 9.247504075368244703e-01 1.815575082142433655e-02 9.247523148854572828e-01 1.815222317493534257e-02
0.000000000000000000e+00 0.000000000000000000e+00 7.159999999999999698e-01 -8.067638167345704403e+01 2.680244122818782326e-01 9.332470893859863281e-01 1.605736492009176078e-02 9.332480430603027344e-01 1.605558489162224947e-02
0.000000000000000000e+00 0.000000000000000000e+00 7.580000000000000071e-01 -8.319783952244129921e+01 2.749696159943959550e-01 9.421191215515136719e-01 1.401198128201031068e-02 9.421197573343912390e-01 1.401078331519379529e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574330742065831146e+01 1.650805041112545224e-01 9.477636019388834265e-01 1.267031803639737282e-02 9.477636019388834265e-01 1.267031803639737282e-02
