# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000578077675e+01 1.953376209118453564e-11 1.408259073893229076e-04 1.564567291390833031e-02 9.782266616821289062e-02 6.076418729586899672e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408011157456492413e+01 1.975892089917961946e-04 2.524717648824055874e-02 1.566951185319314516e-02 9.999759991963703964e-02 6.307411784133719508e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432178584193201232e+01 2.749419776274959152e-03 5.048843224843342636e-02 1.575453728590364005e-02 1.063301960627237863e-01 6.997508482071009353e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473046056608490062e+01 1.090070946239366997e-02 7.732478777567544648e-02 1.603258938893582786e-02 1.177720228830973215e-01 8.141462819512272631e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488697014393622453e+01 1.462706332367763595e-02 8.567595481872558594e-02 1.620430488425957452e-02 1.222571531931559152e-01 8.597862611465088151e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.505956018256263462e+01 1.386325811049180304e-02 9.409169356028238007e-02 1.626168064383964190e-02 1.269487937291463031e-01 8.998931211596387925e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.511998452248901970e+01 2.440357482674285206e-02 9.678335984547932480e-02 1.636620009579164287e-02 1.285945971806843890e-01 9.196648414708696179e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.518398387174060815e+01 1.695393832372233539e-02 1.000113089879353795e-01 1.644157342241056932e-02 1.305922269821166992e-01 9.389505599742165032e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.524912984485061429e+01 1.837308372971338880e-02 1.030391852060953684e-01 1.646454005139554033e-02 1.323905785878499164e-01 9.554348440505892881e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531632894842162784e+01 2.221951241753413256e-02 1.060179074605305943e-01 1.654776948268792819e-02 1.344003677368164062e-01 9.724107337206078228e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538409224635046257e+01 2.943301405030458034e-02 1.089457670847574777e-01 1.655277315481700623e-02 1.361327966054280414e-01 9.889815008888389741e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.545614663530852795e+01 2.587582117003384488e-02 1.122814416885375977e-01 1.666450904351771817e-02 1.384607553482055664e-01 1.010025041957855231e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.552878728506439643e+01 2.814030996999609957e-02 1.153007348378499303e-01 1.671051507658047677e-02 1.404008070627848215e-01 1.029238790684732646e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.560539414631185196e+01 3.202916361738426809e-02 1.184988816579182896e-01 1.682385814319155293e-02 1.425848801930745258e-01 1.053539503769545561e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568177631687302664e+01 3.839674916860708748e-02 1.218538284301757812e-01 1.692979132015655711e-02 1.450053850809732980e-01 1.075158512076591910e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.610046447667653524e+01 6.160594761375330630e-02 1.388476689656575336e-01 1.744312062015119721e-02 1.575586001078287668e-01 1.189708332940932201e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.383646527717353081e+01 5.480490372278603584e-01 9.013085365295410156e-01 2.374359962815712072e-02 9.013145764668781812e-01 2.373271189751196414e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972129379693478768e+01 3.109144340683025476e-01 9.308620691299438477e-01 1.658086166922601024e-02 9.308627049128214148e-01 1.657967801649186043e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574487455288300453e+01 1.373007434006926764e-01 9.487433433532714844e-01 1.240749035218868812e-02 9.487433433532714844e-01 1.240749035218868812e-02
