# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000002798790888e+01 3.505175669052391126e-10 -9.330113728841144026e-05 1.564786954438406735e-02 9.780820210774739121e-02 6.081433849936324250e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408004929790800475e+01 8.467078913452558879e-04 2.509717146555582451e-02 1.564602091419291935e-02 9.987731774648030136e-02 6.300410329533039956e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432197989971962215e+01 3.117970137099801854e-03 5.067030588785807060e-02 1.574177554226076359e-02 1.064244906107584543e-01 6.983083239270449112e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473030082739776958e+01 1.163380677093088685e-02 7.730905214945474335e-02 1.607048492935644890e-02 1.179038683573404855e-01 8.145852299978488531e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488657852565040685e+01 1.450763234118436495e-02 8.570512135823567246e-02 1.619873508015087782e-02 1.223270098368326730e-01 8.580205571560226702e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.499997058789450932e+01 1.107811697190978772e-02 9.134586652119953964e-02 1.622577687566540902e-02 1.253209908803303851e-01 8.864493450946357711e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512038833573534191e+01 1.557821463180831568e-02 9.689025084177652070e-02 1.631998237557120632e-02 1.286135117212931223e-01 9.166267686470381051e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.524863237924454040e+01 1.971085294793734066e-02 1.025426387786865234e-01 1.641500910706857400e-02 1.320470968882242746e-01 9.493566078156670529e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538519865515047513e+01 2.503669431028849104e-02 1.092756589253743443e-01 1.660929378459109415e-02 1.364842255910237445e-01 9.922519582984377223e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.552879191398372427e+01 2.832313781606610528e-02 1.154114405314127512e-01 1.675596802417405468e-02 1.406071980794270648e-01 1.030538447796263551e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568062933235648870e+01 3.477656576149375234e-02 1.214422384897867746e-01 1.686968741341211830e-02 1.446646849314371652e-01 1.069003363651038242e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.584077156525447094e+01 4.399530966742629806e-02 1.279884179433186664e-01 1.701522382259983840e-02 1.493534247080484934e-01 1.108981347821074749e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.899999999999999911e-01 -6.601232813755800066e+01 5.473016692820373980e-02 1.354805628458658762e-01 1.731639029933123436e-02 1.549406051635742188e-01 1.166478207990924790e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.100000000000000089e-01 -6.619071296354340461e+01 7.020235733545186763e-02 1.428296566009521484e-01 1.760992382933560668e-02 1.605962912241617746e-01 1.221906587912573866e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.300000000000000266e-01 -6.638637328290150208e+01 9.430398897768857425e-02 1.510487397511799945e-01 1.810801769260528965e-02 1.671736240386962891e-01 1.297671889879362973e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.096837354561624522e+01 6.584098855947908557e-01 8.772887388865152625e-01 3.001829179992732827e-02 8.773181438446044922e-01 2.996669765807761371e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384218499666555147e+01 4.060433408819760226e-01 9.017488161722818640e-01 2.356101568145479302e-02 9.017567634582519531e-01 2.354668270686488540e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.500000000000000222e-01 -7.671024840879836404e+01 1.633687466989379944e+00 9.169946511586506421e-01 2.031870356464398480e-02 9.170011679331461218e-01 2.030675182746537535e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.972177926358307332e+01 3.197408396666612251e-01 9.301339785257974890e-01 1.684834742018715900e-02 9.301352500915527344e-01 1.684598196554058097e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574287453458180153e+01 1.674052551576873937e-01 9.472080866495767859e-01 1.280795824267342078e-02 9.472090403238931922e-01 1.280615158571486722e-02
