# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.970745719569401899e+01 1.057799305518337674e+00 9.302024841308593750e-01 1.715134882154719168e-02 9.302037556966145093e-01 1.714898319268184923e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.384617051991932613e+01 3.414639613463276158e-01 9.024887084960937500e-01 2.325598284369334579e-02 9.024918874104816968e-01 2.325024496490692150e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.821390397263323280e+01 8.340329450781409637e-01 8.423891067504882812e-01 3.788629738998375990e-02 8.424317042032877234e-01 3.781452831501357775e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.594704234218008310e+01 5.759514833775687404e-01 3.222948710123697547e-01 1.046952249000444035e-01 3.335545857747395648e-01 9.731054708956635158e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.578240570225165129e+01 2.785761970219998718e-01 2.100461324055989398e-01 6.055607417591899605e-02 2.251186370849609375e-01 5.399705115147904882e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566658967101398048e+01 1.523235712981193535e-01 1.682729721069335938e-01 4.122585985563394229e-02 1.856330235799153461e-01 3.508203355391338596e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.556471030664931732e+01 1.078235655530451476e-01 1.478989919026692523e-01 3.187815158121844183e-02 1.668675740559895648e-01 2.590747611571310449e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547591550055528842e+01 8.207871028699585680e-02 1.346308390299479074e-01 2.681723407133378492e-02 1.549282073974609375e-01 2.093994744185086535e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.539242037856035950e+01 6.509631543760102668e-02 1.255426406860351562e-01 2.365341145590112507e-02 1.469678878784179688e-01 1.781480601888081952e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.531480466890610614e+01 4.494714161960017274e-02 1.183729171752929688e-01 2.185105330287721165e-02 1.410188674926757812e-01 1.597687983454913058e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.524189623010229866e+01 2.880236188322000263e-02 1.132532755533854074e-01 2.092462699834464479e-02 1.374505360921223773e-01 1.485828154990384911e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.517096747850291649e+01 2.328438506460416696e-02 1.084032058715820312e-01 2.014640902689279756e-02 1.335554122924804688e-01 1.406061591751495143e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.510219097973271118e+01 1.920628116189282072e-02 1.033792495727539062e-01 1.943664007224773019e-02 1.299009323120117188e-01 1.324965709894361868e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.491535379515285342e+01 1.116473509587792914e-02 9.228006998697915741e-02 1.833365855014158774e-02 1.222883860270182199e-01 1.189482050985033249e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.474891104160369082e+01 6.749291186330598664e-03 8.199310302734375000e-02 1.768173628564303004e-02 1.155872344970703125e-01 1.104419645101491557e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432533168532432910e+01 1.077421974974901659e-03 5.160140991210937500e-02 1.633917577661728876e-02 1.002120971679687500e-01 8.959416862732419787e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408030497443314744e+01 6.917743559941458991e-05 2.533562978108723843e-02 1.572009742802846222e-02 9.167385101318359375e-02 7.957896604845396751e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999994547691529e+01 2.458288291123622678e-07 1.494089762369791576e-04 1.565525683650371633e-02 8.936882019042968750e-02 7.668493137316545472e-03
