# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574074778162463417e+01 2.601087925835888215e-01 9.470038414001464844e-01 1.288525053837474843e-02 9.470038414001464844e-01 1.288525053837474843e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.971809967339686409e+01 3.888272548030805020e-01 9.305071830749511719e-01 1.678802188545584079e-02 9.305081367492675781e-01 1.678624708294288587e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.500000000000000222e-01 -7.674760254533610748e+01 6.311131478162093078e-01 9.179226557413736609e-01 1.968716120841741690e-02 9.179258346557617188e-01 1.968132520323706558e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.382847957161790475e+01 7.280859619749323608e-01 9.015841484069824219e-01 2.359177214725605154e-02 9.015901883443195874e-01 2.358088108725395204e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.097252565157253912e+01 8.233750404387408794e-01 8.798419634501138953e-01 2.856419472176538812e-02 8.798613548278808594e-01 2.853007164996294170e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.300000000000000266e-01 -6.985573487419273420e+01 7.492315769215830423e-01 8.695653279622395093e-01 3.050095680454331659e-02 8.695777257283527906e-01 3.047939531572612520e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.100000000000000089e-01 -6.874862899512359604e+01 8.663229893397226267e-01 8.560813268025715406e-01 3.353272851371810748e-02 8.561064402262369422e-01 3.348972961693005845e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.899999999999999911e-01 -6.768331004884979052e+01 7.370602840360795938e-01 8.338279326756794507e-01 3.978254728735761137e-02 8.338721990585327148e-01 3.970872423484195224e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.667868253331459982e+01 8.807800457178389664e-01 7.292885780334472656e-01 8.421830257346603343e-02 7.305919329325357703e-01 8.231556015741464671e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.596248090634591676e+01 4.476044443290750907e-01 3.408768971761067523e-01 1.092742786079017869e-01 3.514836629231770648e-01 1.019305723344182818e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566849077491649211e+01 1.369937533736292623e-01 1.700124740600585938e-01 4.157829084730716579e-02 1.874062220255533762e-01 3.536144012943825271e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547780773574845625e+01 6.224979058280214611e-02 1.347360610961914062e-01 2.668434418258887678e-02 1.549749374389648438e-01 2.082091910809443294e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.531589627343785764e+01 3.539934038448215581e-02 1.185223261515299387e-01 2.201340737024616578e-02 1.414356231689453125e-01 1.605691366542790280e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.517076533254390824e+01 2.285138738746534531e-02 1.085182825724283762e-01 2.020278688956346491e-02 1.336549123128255023e-01 1.411536895668379782e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.503751399692077939e+01 1.593625433396630986e-02 9.988101323445637558e-02 1.912591988666968723e-02 1.274511019388834543e-01 1.285835330597567307e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.491524272517138172e+01 1.113576499415642497e-02 9.198919932047525116e-02 1.843186121782815212e-02 1.221742630004882812e-01 1.196732346973779573e-02
