hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.100114743209145445e+02 4.545086187723262438e-04 8.066077629400397742e-02 9.598727579591355141e-01 8.548606777841986774e-05 2.911380212009833171e-03 9.598727579591355141e-01 8.548606777841986774e-05 2.911380212009833171e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.893990412407898702e+02 5.259574964422848156e-04 1.075615668260262031e-01 9.482249759723669902e-01 9.689436607903500326e-05 3.716605623658862829e-03 9.482249759723669902e-01 9.689436607903500326e-05 3.716605623658862829e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.690901678909052066e+02 6.147683230412088204e-04 1.526834129771760806e-01 9.309722890602112333e-01 1.149241081521184046e-04 4.915543703849666567e-03 9.309722890602112333e-01 1.149241081521184046e-04 4.915543703849666567e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.492568256343178064e+02 7.584077720627215935e-04 2.352499178152903936e-01 9.030281933989348087e-01 1.373180853574329974e-04 6.795539340262682360e-03 9.030281933989348087e-01 1.373180853574329974e-04 6.795539340262682360e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.302550577352467940e+02 1.076292844996159376e-03 4.342446920189152459e-01 8.504095428028706216e-01 1.724425711931477662e-04 1.013377536210406660e-02 8.504095428028706216e-01 1.724425711931477662e-04 1.013377536210406660e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.213022637403062731e+02 1.297228580180996875e-03 6.726856251272154141e-01 8.037843760792262593e-01 2.054992857927649338e-04 1.303019935878356808e-02 8.037843760792262593e-01 2.054992857927649338e-04 1.303019935878356808e-02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.195788937954726521e+02 1.364901330647960362e-03 7.528831297192245531e-01 7.908172902956847050e-01 2.188477795967030438e-04 1.379400030249156375e-02 7.908172902956847050e-01 2.188477795967030438e-04 1.379400030249156375e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.178854923179528669e+02 1.454149478360041749e-03 8.424854137747188609e-01 7.768127803189945890e-01 2.255198263895102418e-04 1.460204509122631396e-02 7.768127803189945890e-01 2.255198263895102418e-04 1.460204509122631396e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.162262904533368157e+02 1.562659892346690126e-03 9.572688398771630469e-01 7.602281833577564374e-01 2.462836391400848512e-04 1.554345568990602756e-02 7.602281833577564374e-01 2.462836391400848512e-04 1.554345568990602756e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.146051949442902469e+02 1.688341730994222939e-03 1.103103971835514674e+00 7.412611041502439324e-01 2.646812218318216926e-04 1.667832740694104310e-02 7.412611041502439324e-01 2.646812218318216926e-04 1.667832740694104310e-02
