hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.100121657553930845e+02 4.613823004310416251e-04 8.035404877754903641e-02 9.595547454054451642e-01 8.403608794793745920e-05 2.924116599582538174e-03 9.595547454054451642e-01 8.403608794793745920e-05 2.924116599582538174e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.893989509429717373e+02 5.370532367574402683e-04 1.074294003544600806e-01 9.482368747790271835e-01 1.004752756051088602e-04 3.715696989852716389e-03 9.482368747790271835e-01 1.004752756051088602e-04 3.715696989852716389e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.690908230178672511e+02 6.044502781915515833e-04 1.518992425425576553e-01 9.310516935764092672e-01 1.158243435064190094e-04 4.914844890871850058e-03 9.310516935764092672e-01 1.158243435064190094e-04 4.914844890871850058e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.492581326273694060e+02 7.767616721892656737e-04 2.364713627322543310e-01 9.029860773000093488e-01 1.348191741914813867e-04 6.815730584261233023e-03 9.029860773000093488e-01 1.348191741914813867e-04 6.815730584261233023e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.302538979998048490e+02 1.075361602841452260e-03 4.380424135924964046e-01 8.509282607973608359e-01 1.753847532149235919e-04 1.014572749165610493e-02 8.509282607973608359e-01 1.753847532149235919e-04 1.014572749165610493e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.213027095928527501e+02 1.322024197791778818e-03 6.705076321429415120e-01 8.038029359863045897e-01 2.145990730122579113e-04 1.297144360495735074e-02 8.038029359863045897e-01 2.145990730122579113e-04 1.297144360495735074e-02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.195796978932044681e+02 1.379333069050381680e-03 7.500004447273111996e-01 7.913359609571104514e-01 2.169078940572445949e-04 1.374537479712482392e-02 7.913359609571104514e-01 2.169078940572445949e-04 1.374537479712482392e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.178833715530217603e+02 1.443356635004721354e-03 8.415984193229905097e-01 7.770593602083326612e-01 2.274256767302384823e-04 1.458867088803322831e-02 7.770593602083326612e-01 2.274256767302384823e-04 1.458867088803322831e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.162231754518775801e+02 1.557411995471209886e-03 9.533111584413310746e-01 7.604317364800585732e-01 2.407253167093032430e-04 1.554393365176329894e-02 7.604317364800585732e-01 2.407253167093032430e-04 1.554393365176329894e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.146014537170424603e+02 1.661246188098633361e-03 1.098286911460971460e+00 7.419726703855955563e-01 2.562467234410349551e-04 1.661172735832837019e-02 7.419726703855955563e-01 2.562467234410349551e-04 1.661172735832837019e-02
