hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.159296899650345267e+02 2.333346564745630847e-02 5.575265715521046106e-01 2.419273412928920810e-08 1.402313381294554256e-08 8.621589207457935692e-13 2.419273412928920810e-08 1.402313381294554256e-08 8.621589207457935692e-13
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.162654884550511554e+02 4.173156230126816714e-04 2.972397109901737944e-02 2.440618631669405278e-02 2.986553800902425298e-04 4.481762808331834005e-03 2.440618631669405278e-02 2.986553800902425298e-04 4.481762808331834005e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.170195360453033118e+02 2.750229093174367048e-02 1.338501301007069877e+00 4.813148673435167085e-02 2.971947590053297520e-04 4.388064464388165622e-03 4.813148673435167085e-02 2.971947590053297520e-04 4.388064464388165622e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.178442818765413733e+02 1.194149615296961203e-01 1.564456597322378073e+01 6.835666419066711852e-02 3.728968671939168300e-04 3.995358190798801307e-03 6.835666419066711852e-02 3.728968671939168300e-04 3.995358190798801307e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.184080252919406462e+02 1.057288498234425639e-01 2.589037714294602566e+01 7.452839263249474988e-02 3.792956552464361365e-04 6.555440702393550492e-03 7.452839263249474988e-02 3.792956552464361365e-04 6.555440702393550492e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.186667949213434383e+02 1.318977366643754867e-01 2.004757254526495558e+01 7.829227238117880683e-02 3.532550470924669889e-04 3.942083274993082864e-03 7.829227238117880683e-02 3.532550470924669889e-04 3.942083274993082864e-03
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.186902803026377171e+02 1.778485798574432619e-01 3.682519910801172358e+01 8.028835120601007791e-02 3.649733408668068843e-04 4.071197255941263332e-03 8.028835120601007791e-02 3.649733408668068843e-04 4.071197255941263332e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.110874102109902140e+02 4.199533858424572830e-01 2.033995034539204312e+02 5.466478313752849011e-02 1.099216496598360172e-03 6.978521461162725745e-03 5.466478313752849011e-02 1.099216496598360172e-03 6.978521461162725745e-03
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.100525441237346058e+02 3.389381930267569478e-03 2.117071816769218628e+00 6.517733897237750762e-01 5.444161390882140770e-04 2.263570281471011941e-02 6.517733897237750762e-01 5.444161390882140770e-04 2.263570281471011941e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.115054260248745095e+02 2.822219638803765036e-03 1.578376168958714576e+00 6.904752592056639937e-01 4.340374590371172013e-04 1.969800674035385862e-02 6.904752592056639937e-01 4.340374590371172013e-04 1.969800674035385862e-02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.130254887954131391e+02 2.668569397693436318e-03 1.287802124715601071e+00 7.190837751612100259e-01 3.907253650393187295e-04 1.792456061430281605e-02 7.190837751612100259e-01 3.907253650393187295e-04 1.792456061430281605e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.145983923179157671e+02 2.350352020908428631e-03 1.093647862069683230e+00 7.409611960328681413e-01 3.609305338650636223e-04 1.666714551071744183e-02 7.409611960328681413e-01 3.609305338650636223e-04 1.666714551071744183e-02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.162260814453543389e+02 2.132226874256555691e-03 9.542898781916273609e-01 7.606581645714571849e-01 3.449279464162376151e-04 1.551698617436011660e-02 7.606581645714571849e-01 3.449279464162376151e-04 1.551698617436011660e-02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.178844366790630431e+02 2.063228719824176677e-03 8.379623849615136510e-01 7.766717326587180281e-01 3.237737480488348625e-04 1.468467620523161710e-02 7.766717326587180281e-01 3.237737480488348625e-04 1.468467620523161710e-02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.195779536380728416e+02 1.932990010231419326e-03 7.542160494005504257e-01 7.908950707778226175e-01 3.078870207126213577e-04 1.374928322131795111e-02 7.908950707778226175e-01 3.078870207126213577e-04 1.374928322131795111e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.213008668721488448e+02 1.831072708336014404e-03 6.795862612151616355e-01 8.037440484356479509e-01 2.808539961555339454e-04 1.302103668549443871e-02 8.037440484356479509e-01 2.808539961555339454e-04 1.302103668549443871e-02
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.302550917891086613e+02 1.496493732600950605e-03 4.405803184929526495e-01 8.506467726750865932e-01 2.424470704100540805e-04 1.016310445659214176e-02 8.506467726750865932e-01 2.424470704100540805e-04 1.016310445659214176e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.492580460125965374e+02 1.113709675178854936e-03 2.370586388112612131e-01 9.029728398725760385e-01 1.883074463337397410e-04 6.843412031191424549e-03 9.029728398725760385e-01 1.883074463337397410e-04 6.843412031191424549e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.690900968742350869e+02 8.698947579044945515e-04 1.533300905825789873e-01 9.308072748809090857e-01 1.572036288578385435e-04 4.896393660728933124e-03 9.308072748809090857e-01 1.572036288578385435e-04 4.896393660728933124e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.893971083321110882e+02 7.376766040446427987e-04 1.076640767310104857e-01 9.482867285167166926e-01 1.342098007890809490e-04 3.714499832575220151e-03 9.482867285167166926e-01 1.342098007890809490e-04 3.714499832575220151e-03
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.100115464567948038e+02 6.699925825298889146e-04 8.074004776225847391e-02 9.597320616614535282e-01 1.220004929282234371e-04 2.916618069908523576e-03 9.597320616614535282e-01 1.220004929282234371e-04 2.916618069908523576e-03
