hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.161506984164627170e+02 1.001941013174931575e-02 1.161828352928216734e+00 2.322728926408863803e-02 2.397973658629624384e-04 4.822815315323086480e-03 2.322728926408863803e-02 2.397973658629624384e-04 4.822815315323086480e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.170287406850861203e+02 4.222249333398827610e-03 8.394771784352883515e-01 4.590828448590948685e-02 1.999238449843912578e-04 4.341437097806798324e-03 4.590828448590948685e-02 1.999238449843912578e-04 4.341437097806798324e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.181153761164775062e+02 7.531202987363903867e-02 9.123555601782957325e+00 6.925465150097526168e-02 2.177319106787993313e-04 4.203231411075683890e-03 6.925465150097526168e-02 2.177319106787993313e-04 4.203231411075683890e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.186891776277353188e+02 5.209028678896625297e-02 5.206473496330294992e+00 7.480365531108229549e-02 1.986831206925460266e-04 4.087569452622825603e-03 7.480365531108229549e-02 1.986831206925460266e-04 4.087569452622825603e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.189384566161132284e+02 7.786888878454790996e-02 8.627081615940031867e+00 7.880331143166946495e-02 2.399622169991671744e-04 3.988597914841284300e-03 7.880331143166946495e-02 2.399622169991671744e-04 3.988597914841284300e-03
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.190165285451537898e+02 8.705271303075576284e-02 1.019010568389153804e+01 8.021353159618319073e-02 2.575216615613436602e-04 3.853164445647208006e-03 8.021353159618319073e-02 2.575216615613436602e-04 3.853164445647208006e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.190516107573154159e+02 1.233258805262053004e-01 1.851578329789118982e+01 8.174038932331437191e-02 3.023692124092060328e-04 3.910491165926177626e-03 8.174038932331437191e-02 3.023692124092060328e-04 3.910491165926177626e-03
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.194842921282295549e+02 6.668899073178248538e-02 7.113682843589360871e+00 8.384685654127831123e-02 2.465796728138442144e-04 3.787251718552266458e-03 8.384685654127831123e-02 2.465796728138442144e-04 3.787251718552266458e-03
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.194949727872096332e+02 1.175238427202623531e-01 1.696139303232140350e+01 8.538567442600625279e-02 2.740079047594317567e-04 3.813211740456106530e-03 8.538567442600625279e-02 2.740079047594317567e-04 3.813211740456106530e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.194635549273804997e+02 1.407731757948079421e-01 2.549578090913558981e+01 8.641886855041783222e-02 3.110825439038463467e-04 3.867740279389377672e-03 8.641886855041783222e-02 3.110825439038463467e-04 3.867740279389377672e-03
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.197780855600629479e+02 1.133599375078738480e-01 1.687893053876995708e+01 8.819843823937631444e-02 2.954863946970893800e-04 3.695237179938681230e-03 8.819843823937631444e-02 2.954863946970893800e-04 3.695237179938681230e-03
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.199274964059089257e+02 1.218896302155412087e-01 2.170274282014760914e+01 8.966939231318826753e-02 2.936211646833629613e-04 3.887314046715098590e-03 8.966939231318826753e-02 2.936211646833629613e-04 3.887314046715098590e-03
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.200286279900952024e+02 1.531114767577614888e-01 2.963479809104372364e+01 9.094795218331452880e-02 3.079671921324107580e-04 3.718342208943324362e-03 9.094795218331452880e-02 3.079671921324107580e-04 3.718342208943324362e-03
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.202904858909317056e+02 1.427354501604723713e-01 2.488004824446125696e+01 9.263842251054134336e-02 3.241096369634345760e-04 3.598893770932769590e-03 9.263842251054134336e-02 3.241096369634345760e-04 3.598893770932769590e-03
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.206222962673717234e+02 1.184799011980482708e-01 1.929073337034056124e+01 9.441823121937703567e-02 2.799761568369224410e-04 3.583675577235336061e-03 9.441823121937703567e-02 2.799761568369224410e-04 3.583675577235336061e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.214335958064235683e+02 1.526538685756418379e-01 3.186080819976746170e+01 1.007374416948777773e-01 3.444582012829590649e-04 3.453203742571330122e-03 1.007374416948777773e-01 3.444582012829590649e-04 3.453203742571330122e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.238840707585360974e+02 1.344319540897724874e-01 3.109378853200788129e+01 1.116017184602770551e-01 3.116298249271401140e-04 3.130895802618231284e-03 1.116017184602770551e-01 3.116298249271401140e-04 3.130895802618231284e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.260574057042847471e+02 1.914304617192226221e-01 5.833158560712493568e+01 1.193895557889045889e-01 4.009016997468267825e-04 2.985433525274116748e-03 1.193895557889045889e-01 4.009016997468267825e-04 2.985433525274116748e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.288085484550193485e+02 1.787072613929285292e-01 6.349659614135948971e+01 1.262666893724864736e-01 3.472307149852828603e-04 2.794785708129726015e-03 1.262666893724864736e-01 3.472307149852828603e-04 2.794785708129726015e-03
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.315435495252617102e+02 1.956548038595279093e-01 8.340105343711530850e+01 1.316583743923944450e-01 3.764407574073461724e-04 2.732038032433416197e-03 1.316583743923944450e-01 3.764407574073461724e-04 2.732038032433416197e-03
