hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.125914640437949856e+02 3.205934432003981326e-03 1.531402895181359636e-01 2.227241137246183458e-02 3.739866947810855627e-04 1.589165334771775427e-03 2.227241137246183458e-02 3.739866947810855627e-04 1.589165334771775427e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.142604526373233966e+02 1.777989930370117017e-02 2.806392072434404028e+00 3.958825761770263379e-02 3.394930545295182811e-04 1.500076293782939309e-03 3.958825761770263379e-02 3.394930545295182811e-04 1.500076293782939309e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.170372867845168230e+02 3.387731051595386372e-02 7.621814728837981612e+00 5.810466442896915912e-02 3.505616522899048090e-04 1.495984632513491135e-03 5.810466442896915912e-02 3.505616522899048090e-04 1.495984632513491135e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.182180829106554256e+02 3.649715857032829330e-02 7.022434369396222564e+00 6.657308400530369263e-02 3.544498887791121093e-04 1.544390992240389331e-03 6.657308400530369263e-02 3.544498887791121093e-04 1.544390992240389331e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.186219455290553242e+02 3.677403370106380881e-02 8.012719684527040087e+00 6.940262499614430203e-02 3.521620823279062048e-04 1.562780938208855165e-03 6.940262499614430203e-02 3.521620823279062048e-04 1.562780938208855165e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.190100857112437325e+02 3.864988055689207863e-02 7.510762384009073145e+00 7.130492032375837508e-02 3.607792485335189429e-04 1.544655995622468614e-03 7.130492032375837508e-02 3.607792485335189429e-04 1.544655995622468614e-03
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.194338509056057092e+02 3.136088575379334525e-02 7.195237469957389997e+00 7.300938156544138635e-02 3.397089078814217685e-04 1.520248820171666345e-03 7.300938156544138635e-02 3.397089078814217685e-04 1.520248820171666345e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.198074684583298222e+02 4.354055013284786890e-02 8.978397145774991372e+00 7.476138686974624636e-02 3.393054586421533677e-04 1.525879558270965865e-03 7.476138686974624636e-02 3.393054586421533677e-04 1.525879558270965865e-03
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.202151320178329570e+02 4.379830417475080728e-02 9.557138485323646293e+00 7.659270714153661175e-02 3.387793877899457069e-04 1.531042528308900570e-03 7.659270714153661175e-02 3.387793877899457069e-04 1.531042528308900570e-03
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.205370037250403357e+02 6.854140661846316873e-02 1.306550996132973630e+01 7.777986377237626481e-02 3.448126994414510513e-04 1.508747401055132850e-03 7.777986377237626481e-02 3.448126994414510513e-04 1.508747401055132850e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.210515748226540609e+02 7.155344456215485816e-02 1.318623250571708105e+01 7.980687983964283860e-02 3.439363508840421807e-04 1.483290606247334624e-03 7.980687983964283860e-02 3.439363508840421807e-04 1.483290606247334624e-03
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.215832564458613660e+02 4.295798359866845328e-02 9.368059360820144121e+00 8.192902227565194984e-02 3.343820681696625533e-04 1.465977359278806394e-03 8.192902227565194984e-02 3.343820681696625533e-04 1.465977359278806394e-03
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.217877139346946933e+02 1.247788669937826278e-01 2.503130879944367848e+01 8.304270500793929644e-02 3.408866950945253836e-04 1.452178227669556317e-03 8.304270500793929644e-02 3.408866950945253836e-04 1.452178227669556317e-03
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.220718618584622845e+02 1.423237017747137068e-01 3.008770855854871229e+01 8.350995565577998270e-02 3.555466429636358248e-04 1.425266183265849881e-03 8.350995565577998270e-02 3.555466429636358248e-04 1.425266183265849881e-03
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.226534370164192751e+02 1.251134969939560193e-01 2.632681139766920708e+01 8.665497249649696532e-02 3.562220429373290993e-04 1.456242372391766682e-03 8.665497249649696532e-02 3.562220429373290993e-04 1.456242372391766682e-03
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.230227734024177835e+02 1.434149617863759163e-01 3.069937626368073325e+01 8.843297617713166692e-02 3.747335421252078217e-04 1.450300442622872669e-03 8.843297617713166692e-02 3.747335421252078217e-04 1.450300442622872669e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.253344851045505948e+02 1.507993973046949099e-01 3.687823250363362604e+01 9.379260508644837735e-02 3.666520752095820236e-04 1.372196509286796769e-03 9.379260508644837735e-02 3.666520752095820236e-04 1.372196509286796769e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.302550711610409735e+02 1.894833207257788366e-01 6.381658610177794344e+01 1.037118339264923306e-01 3.641554420216768146e-04 1.286832260612466410e-03 1.037118339264923306e-01 3.641554420216768146e-04 1.286832260612466410e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.353895285293504003e+02 3.002637152968944956e-01 1.320065088820908556e+02 1.091967087008678949e-01 3.904318570411144038e-04 1.199785613560214658e-03 1.091967087008678949e-01 3.904318570411144038e-04 1.199785613560214658e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.406965900539064478e+02 3.450639475397763167e-01 1.883553064782630884e+02 1.129385828129080144e-01 4.467484111602682256e-04 1.214359956253530277e-03 1.129385828129080144e-01 4.467484111602682256e-04 1.214359956253530277e-03
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.473193112917484768e+02 3.859284109923654116e-01 2.354696373303046357e+02 1.206510134948985541e-01 4.434182063559413971e-04 1.122992153235706850e-03 1.206510134948985541e-01 4.434182063559413971e-04 1.122992153235706850e-03
