hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.348400656304650056e+02 3.367811707360400357e-03 1.790658961596114096e-01 9.593512490178754959e-01 2.708243938167230144e-04 1.221367357496499530e-03 9.593512490178754959e-01 2.708243938167230144e-04 1.221367357496499530e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.859784318144993449e+02 3.939999771631581132e-03 2.430744255712918855e-01 9.478596598520683258e-01 3.088503757670991307e-04 1.584849482014306877e-03 9.478596598520683258e-01 3.088503757670991307e-04 1.584849482014306877e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.378332308343017303e+02 4.391080465718694842e-03 3.460252336174635124e-01 9.305869708189601353e-01 3.459683603435640071e-04 2.053513152605064736e-03 9.305869708189601353e-01 3.459683603435640071e-04 2.053513152605064736e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.908296568303934464e+02 5.746569810178371422e-03 5.479483384046316408e-01 9.031094720432217837e-01 4.372134954146654983e-04 2.809297182077480359e-03 9.031094720432217837e-01 4.372134954146654983e-04 2.809297182077480359e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.457761963298540877e+02 8.117380143384480065e-03 1.043570571596386998e+00 8.505713718767105025e-01 5.683062114394697500e-04 4.315386526392808730e-03 8.505713718767105025e-01 5.683062114394697500e-04 4.315386526392808730e-03
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.245610096388087413e+02 1.015321719186362132e-02 1.664988914198831882e+00 8.042915265899195365e-01 6.440475740526098317e-04 5.307399373947536969e-03 8.042915265899195365e-01 6.440475740526098317e-04 5.307399373947536969e-03
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.204644104562171378e+02 1.089142759871246889e-02 1.819173860313358482e+00 7.910407333392552864e-01 6.844175106602279606e-04 5.644615003854103197e-03 7.910407333392552864e-01 6.844175106602279606e-04 5.644615003854103197e-03
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.164463667446008230e+02 1.131023524372854437e-02 2.067646742649072777e+00 7.768226579427093270e-01 7.185205581823580264e-04 6.035057393192425589e-03 7.768226579427093270e-01 7.185205581823580264e-04 6.035057393192425589e-03
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.125163210424766476e+02 1.249080256414942386e-02 2.352522055214207430e+00 7.592048690198263117e-01 7.353501012360704825e-04 6.268281355817537440e-03 7.592048690198263117e-01 7.353501012360704825e-04 6.268281355817537440e-03
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.086909418589459051e+02 1.299632853210079195e-02 2.827031990489009772e+00 7.429880621427450427e-01 7.813370648440778107e-04 6.753115612415924902e-03 7.429880621427450427e-01 7.813370648440778107e-04 6.753115612415924902e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.049236594502291382e+02 1.419745276157020723e-02 3.210833004336290486e+00 7.204179659110774292e-01 8.438806305065787820e-04 7.336621075984607263e-03 7.204179659110774292e-01 8.438806305065787820e-04 7.336621075984607263e-03
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.012967950897611331e+02 1.527220309434328127e-02 3.968895560865345562e+00 6.939073738921033296e-01 9.093006639179070181e-04 7.818406988700912774e-03 6.939073738921033296e-01 9.093006639179070181e-04 7.818406988700912774e-03
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.978127299831112396e+02 1.775478912600602505e-02 4.981483658203631038e+00 6.612195198903350057e-01 9.600017495012654533e-04 8.211839026359597088e-03 6.612195198903350057e-01 9.600017495012654533e-04 8.211839026359597088e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.945837724256800811e+02 2.004625884275480427e-02 6.802156238527684806e+00 6.086648344628735607e-01 1.161561991944553163e-03 9.402683048460726972e-03 6.086648344628735607e-01 1.161561991944553163e-03 9.402683048460726972e-03
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.917991582688198946e+02 3.032529464257367052e-02 1.327150213088981090e+01 4.890890651863075145e-01 1.664082857696153788e-03 1.151860438194546310e-02 4.890890651863075145e-01 1.664082857696153788e-03 1.151860438194546310e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.185528623850909753e+02 5.534823851010833851e-02 1.520736054621683664e+01 6.147812856757024769e-02 4.912010069956260043e-04 1.469122052468616914e-03 6.147812856757024769e-02 4.912010069956260043e-04 1.469122052468616914e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.183343018843186201e+02 5.464962211090694522e-02 1.205050162550238824e+01 6.216255931082040331e-02 4.903331221274933628e-04 1.489463336100801602e-03 6.216255931082040331e-02 4.903331221274933628e-04 1.489463336100801602e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.179008848486087118e+02 9.728980727966270170e-02 1.713023027972148782e+01 6.291421852943027138e-02 4.945572585258483679e-04 1.467812297544934851e-03 6.291421852943027138e-02 4.945572585258483679e-04 1.467812297544934851e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.172221004181961916e+02 2.105715669308310875e-02 2.690264632334700146e+00 6.084175379986907911e-02 5.134782198288826826e-04 1.416491614809319097e-03 6.084175379986907911e-02 5.134782198288826826e-04 1.416491614809319097e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.144478641239857097e+02 1.515227684546610436e-02 1.042319142011356448e+00 4.468783896977693987e-02 6.050250968646379759e-04 1.628951503464993230e-03 4.468783896977693987e-02 6.050250968646379759e-04 1.628951503464993230e-03
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.126296402797976270e+02 1.494766534887041363e-03 1.613137716124288593e-02 2.453328194350032354e-02 6.669276156989120945e-04 1.820498684729194173e-03 2.453328194350032354e-02 6.669276156989120945e-04 1.820498684729194173e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.120000000117677246e+02 2.205690624951239454e-08 7.800224621133881714e-12 2.950929302904558345e-04 3.060720741353536049e-09 1.511695142471509801e-13 2.950929302904558345e-04 3.060720741353536049e-09 1.511695142471509801e-13
