hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.124872327855265439e+02 6.732816638253450933e-03 2.200215466317942514e+00 7.735742310079650741e-01 3.869075075070278584e-04 5.987709533471698153e-03 7.735742310079650741e-01 3.869075075070278584e-04 5.987709533471698153e-03
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.164337429643342148e+02 6.557254176548951013e-03 2.059330012838001878e+00 7.854846537880899593e-01 3.829433856808227917e-04 5.685253349852958590e-03 7.854846537880899593e-01 3.829433856808227917e-04 5.685253349852958590e-03
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.204430179722359071e+02 6.316470537096181143e-03 1.893877623724116610e+00 7.976033002491602630e-01 3.866923397898972318e-04 5.532541133222140979e-03 7.976033002491602630e-01 3.866923397898972318e-04 5.532541133222140979e-03
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.245403460579104831e+02 5.947711870026591192e-03 1.729882487865865404e+00 8.089549579548211966e-01 3.637088803664427451e-04 5.268096015802699317e-03 8.089549579548211966e-01 3.637088803664427451e-04 5.268096015802699317e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.457778815537731134e+02 4.786280343002258936e-03 1.131225085978206701e+00 8.517534951880905147e-01 3.033860439771048881e-04 4.230774975336781471e-03 8.517534951880905147e-01 3.033860439771048881e-04 4.230774975336781471e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.908309510590975151e+02 3.491935542908361761e-03 5.813374894020508776e-01 9.027853995820864785e-01 2.442423170913049653e-04 2.858351404279950523e-03 9.027853995820864785e-01 2.442423170913049653e-04 2.858351404279950523e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.378454555566443105e+02 2.761940501294211925e-03 3.825482458787252682e-01 9.311638498540144582e-01 2.129049230919913879e-04 2.090860812240140105e-03 9.311638498540144582e-01 2.129049230919913879e-04 2.090860812240140105e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.859848365551426923e+02 2.321014258684462022e-03 2.614044438741326970e-01 9.481209995815385039e-01 1.866119514510878306e-04 1.550986478932004156e-03 9.481209995815385039e-01 1.866119514510878306e-04 1.550986478932004156e-03
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.348449718815207916e+02 1.941471546589892006e-03 1.903835379833729857e-01 9.597859086093665226e-01 1.623334832141661553e-04 1.218606057063123440e-03 9.597859086093665226e-01 1.623334832141661553e-04 1.218606057063123440e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.089023431964398014e+02 1.287815241900167329e-01 1.698271540492913445e+01 7.340770244677842496e-06 7.325447799121348961e-06 5.593656409266094413e-08 7.340770244677842496e-06 7.325447799121348961e-06 5.593656409266094413e-08
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.125918893992264884e+02 3.393126243847056911e-03 3.978203675050311916e-01 2.206416063395609528e-02 3.490525499308054611e-04 1.698562699852746100e-03 2.206416063395609528e-02 3.490525499308054611e-04 1.698562699852746100e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.142338419401057763e+02 1.879678882569814705e-02 3.429416744528943184e+00 3.887913223650590194e-02 3.250878956382304095e-04 1.524205551421894305e-03 3.887913223650590194e-02 3.250878956382304095e-04 1.524205551421894305e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.167376236987249740e+02 3.912786229367123947e-02 1.146546637802360991e+01 5.272118596287717063e-02 3.088237494604794699e-04 1.483699873928556257e-03 5.272118596287717063e-02 3.088237494604794699e-04 1.483699873928556257e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.176352936761181809e+02 5.685238625636511445e-02 3.466819862624234361e+01 5.763666983888049433e-02 3.421880506882394105e-04 2.228477764360676724e-03 5.763666983888049433e-02 3.421880506882394105e-04 2.228477764360676724e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.894216357978078804e+02 2.284819645279445241e-02 1.862977488435788231e+01 4.091677027715320270e-01 9.371698628248492863e-04 9.266676984762509117e-03 4.091677027715320270e-01 9.371698628248492863e-04 9.266676984762509117e-03
