# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645050374902311e+01 3.291794167641600239e-08 -7.798671370389917573e-08 6.249720487082194992e-02 -7.798671370389917573e-08 6.249720487082194992e-02 -2.362645051177377553e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303865827516e+01 1.438892064350903368e-08 -5.487522632972206620e-08 6.249792114190521469e-02 -5.487522632972206620e-08 6.249792114190521469e-02 -2.220803304253838917e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545568154802e+01 8.442249368949751281e-09 -3.336206326650731792e-08 6.249814732687702240e-02 -3.336206326650731792e-08 6.249814732687702240e-02 -2.085035545820080216e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927528629375e+01 5.744556100834387279e-09 -2.310438553218622142e-08 6.249817917767855335e-02 -2.310438553218622142e-08 6.249817917767855335e-02 -1.958366927713651151e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371755610530e+01 4.423510098431901915e-09 -2.183486541873129660e-08 6.249806971060246907e-02 -2.183486541873129660e-08 6.249806971060246907e-02 -1.845250371901098063e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.805029243162466912e+01 3.711655314455010707e-09 -1.848371839738207081e-08 6.249812373903535639e-02 -1.848371839738207081e-08 6.249812373903535639e-02 -1.805029243279562223e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786174935911134298e+01 3.184476712595976252e-09 -1.469871279107740050e-08 6.249818643458643352e-02 -1.469871279107740050e-08 6.249818643458643352e-02 -1.786174936011107306e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.768210811541026573e+01 2.819411987008044567e-09 -1.031831034310568681e-08 6.249823010351365782e-02 -1.031831034310568681e-08 6.249823010351365782e-02 -1.768210811627916712e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170355456675054e+01 2.425918251023694836e-09 -9.213131609285870106e-09 6.249830035455128385e-02 -9.213131609285870106e-09 6.249830035455128385e-02 -1.751170355530061329e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680513744612850502e+01 2.213691361504880892e-09 -4.856998754222447345e-09 6.249817660132735847e-02 -4.856998754222447345e-09 6.249817660132735847e-02 -1.680513744664447273e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.633828588985894825e+01 2.109130130915534767e-09 -1.293499255548017723e-09 6.249809436060861645e-02 -1.293499255548017723e-09 6.249809436060861645e-02 -1.633828589021748812e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.608118739816034548e+01 1.815946131003659438e-09 -4.397950656134353946e-10 6.249804552657503565e-02 -4.397950656134353946e-10 6.249804552657503565e-02 -1.608118739840770672e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999980745713e+01 1.553606841224678906e-09 2.117318629493793778e-09 6.249806010026648373e-02 2.117318629493793778e-09 6.249806010026648373e-02 -1.600000000000001421e+01
