# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999886045110e+01 9.116621701456263072e-09 4.021089017314238845e-15 6.248807901478881099e-02 9.691065503228530511e-06 2.500048178390387177e-01 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999999167e-02 -1.602775917650116710e+01 2.656055035252298958e-04 3.469730574908268944e-02 8.682120759236247598e-02 9.606772654930480286e-06 2.450752883879085964e-01 -1.608118739840774225e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.999999999999999833e-01 -1.628569168884583007e+01 4.355641491416662944e-03 1.799040537552077379e-01 2.212117363738198561e-01 1.519397916345225761e-05 1.423341564229637923e-01 -1.633828589021752720e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.673502427933729919e+01 1.392594711323066198e-02 3.129056535778464987e-01 2.462173990596014939e-01 3.776777698728837317e-06 7.082643766847065980e-02 -1.680513744664450826e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.999999999999999667e-01 -1.751170344974513071e+01 7.119321377553587494e-08 5.177801696295232237e-01 2.908626403223469326e-01 1.238945821504983885e-06 6.253283058062408806e-02 -1.751170355530061329e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.747244719901731358e+01 1.138468946261477349e-01 4.557375692156896418e-01 2.353233551722487826e-01 1.580468186142368187e-06 6.263838379871476680e-02 -1.768210811627924883e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786174929875522110e+01 5.206255334491817633e-08 5.754768740175906228e-01 2.773027925200184374e-01 1.237555783626591168e-06 6.252210954800900555e-02 -1.786174936011107306e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.778013404956449506e+01 2.004865410347593246e-01 5.059957648527967367e-01 2.281460870814023822e-01 1.281134042720450791e-06 6.255302666253947930e-02 -1.805029243279559026e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.999999999999998890e-01 -1.812037175564056568e+01 3.344784545694218236e-01 5.574204429394106208e-01 2.185741878914541081e-01 1.262576336981648628e-06 6.253496965131312424e-02 -1.845250371901108721e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366923418045502e+01 7.383168308128330375e-08 7.547328535495799740e-01 1.984643406175322089e-01 1.704821224403316520e-06 6.251266713288880505e-02 -1.958366927713653283e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035541763661016e+01 9.628146512502416044e-08 8.239668124459288423e-01 1.528420350447979859e-01 2.213005092381604515e-06 6.251041069053581145e-02 -2.085035545820079506e+01
