# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.999999999999973355e+00 1.599999999999956657e+01 0.000000000000000000e+00 6.248243436216951996e-02 9.999998089675468105e-01 4.775811788586562020e-08 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -8.021723109944213448e+00 1.600026858712202227e+01 2.712261088694449887e-02 6.784224507880487476e-02 9.985333215845647592e-01 3.241339339669171461e-04 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -8.123773517853155823e+00 1.604294060098942509e+01 7.306313970789109213e-02 9.109412776719486016e-02 9.709925101498586564e-01 6.763065407897329157e-03 -1.633828589021754141e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000444e-01 -1.673612225514089857e+01 1.400287294339275582e-02 3.134183780854358226e-01 2.465658440010071173e-01 9.040054204900106923e-04 6.250010845458903175e-02 -1.680513744664449760e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751168642632314842e+01 1.459621271179946205e-04 5.177812340342738961e-01 2.908623699159308407e-01 6.990044288841942496e-04 6.249997647595201267e-02 -1.751170355530059197e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.768209177493984896e+01 1.404623494742756338e-04 5.471068701268202439e-01 2.846703090517294088e-01 6.787713297108585470e-04 6.249997886165096356e-02 -1.768210811627924883e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786173349599138760e+01 1.376072048819526432e-04 5.754779036151513871e-01 2.773024153434631711e-01 6.647691785249858687e-04 6.249998076394876201e-02 -1.786174936011107306e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.778011885568402661e+01 2.006193556862419791e-01 5.059966846737582458e-01 2.281459386595544037e-01 6.599738470451940817e-04 6.250006577820277354e-02 -1.805029243279559026e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.812035718949744023e+01 3.346091961869156473e-01 5.574215378205324978e-01 2.185739621694944845e-01 6.379431956824194606e-04 6.250006442078548385e-02 -1.845250371901101971e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000888e-01 -1.958365583411838884e+01 1.270848903262467467e-04 7.547337642825026061e-01 1.984637003484125140e-01 5.808413397372578753e-04 6.249999199619638013e-02 -1.958366927713652927e+01
0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000666e-01 -2.085034271614325263e+01 1.276818327234267121e-04 8.239675832438968506e-01 1.528413819422207998e-01 5.483826998429734310e-04 6.249999581784126262e-02 -2.085035545820078440e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220802071311951309e+01 1.307730960898499878e-04 8.700244452743006729e-01 1.178240035731098062e-01 5.251567650272556675e-04 6.249999799609572831e-02 -2.220803304253848154e+01
