hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.185511138611930448e+01 2.864829490929160331e-04 3.306502651583740487e-02 9.595480518200771858e-01 1.597499629613411104e-04 9.866768388502106940e-03 9.595480518200771858e-01 1.597499629613411104e-04 9.866768388502106940e-03 3.199999955831411924e+01 1.914688749455504477e-06 1.430187138881603133e-06 4.585144042968750000e+00 9.200750689286430611e-03 3.270366764689484995e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574788831338258888e+01 3.279650873248050424e-04 4.455476655268569841e-02 9.484670998940010200e-01 1.806880058085675775e-04 1.254589662801516500e-02 9.484670998940010200e-01 1.806880058085675775e-04 1.254589662801516500e-02 3.200000194920034602e+01 2.302214587722979714e-06 2.055117619035066410e-06 5.186370849609375000e+00 9.244083814953488534e-03 3.284842427230129402e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973037295574414429e+01 3.938438708918861166e-04 6.444948699410996129e-02 9.304447093491386989e-01 2.091795219697504464e-04 1.655782525138672218e-02 9.304447093491386989e-01 2.091795219697504464e-04 1.655782525138672218e-02 3.200000222299648556e+01 2.890474708955406419e-06 3.330060927143307310e-06 6.046447753906250000e+00 9.362086244092312701e-03 3.316760172074039303e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385655627828283798e+01 5.249968790242233235e-04 1.063556704201524955e-01 9.021846713081924651e-01 2.429089967392262974e-04 2.312491224698055153e-02 9.021846713081924651e-01 2.429089967392262974e-04 2.312491224698055153e-02 3.199999807062116375e+01 3.725112849835271095e-06 5.717689626275299017e-06 7.212666829427083037e+00 9.323700190318190764e-03 3.399509671289060009e+01
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100300057162179712e+01 6.228958271049484874e-04 1.526381468850938616e-01 8.792220419278129473e-01 2.837370588973676662e-04 2.837874593634459597e-02 8.792220419278129473e-01 2.837370588973676662e-04 2.837874593634459597e-02 3.200000237154402072e+01 4.976006073496247582e-06 1.041470698592213748e-05 8.054382324218750000e+00 9.991762056951189810e-03 3.503854646906256676e+01
5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.933206367586183205e+01 7.485064420213839243e-04 2.055650466338928006e-01 8.598566020228903817e-01 3.358933468212800056e-04 3.314147254899230122e-02 8.598566020228903817e-01 3.358933468212800056e-04 3.314147254899230122e-02 3.199999185246712585e+01 5.973098723271021066e-06 1.432660889469128439e-05 8.716044108072916075e+00 1.123158777505408983e-02 3.652268122591905808e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.824278648271825887e+01 8.494411489677733797e-04 2.711050810078433626e-01 8.427661576849644343e-01 3.696956291164123568e-04 3.790552396893247245e-02 8.427661576849644343e-01 3.696956291164123568e-04 3.790552396893247245e-02 3.199999778966396846e+01 6.786272050832636541e-06 1.944176334714300887e-05 9.274271647135416075e+00 1.195127842058374239e-02 3.858074023284845566e+01
4.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.718401864359266540e+01 9.810627392931336489e-04 3.687030490910100378e-01 8.126522085292769981e-01 5.982789361808481688e-04 4.852718007641802084e-02 8.126522085292769981e-01 5.982789361808481688e-04 4.852718007641802084e-02 3.199998244601077957e+01 8.793704023242512373e-06 3.185684889876840605e-05 1.021936035156250000e+01 1.845594109230294655e-02 4.544748650491237640e+01
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667461343294338860e+01 1.177752095428644596e-03 5.191849417633072061e-01 7.863958739905922979e-01 8.209793505437155839e-04 5.856826129255193747e-02 7.863958739905922979e-01 8.209793505437155839e-04 5.856826129255193747e-02 3.200000946257721068e+01 1.080860034231355457e-05 4.565119305027289800e-05 1.101981608072916607e+01 2.475295256548716918e-02 5.252377724481954147e+01
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.620208764206853402e+01 1.544147934727487306e-03 9.322366075639358929e-01 7.122172312736410049e-01 1.437191285297434104e-03 8.976046214365558662e-02 7.122172312736410049e-01 1.437191285297434104e-03 8.976046214365558662e-02 3.199999666326837655e+01 1.548924925721278752e-05 9.179224084801133931e-05 1.323441569010416607e+01 4.253611079306824500e-02 7.720880253944132221e+01
