hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999998818373115e+01 7.845035186348187753e-09 2.423652933371194774e-11 2.573331197102864403e-04 2.030433907783171224e-04 1.568401191674537176e-02 9.791421890258789062e-02 1.245198060599707422e-04 6.096883873775974308e-03 3.199999998818373115e+01 7.845035200918822041e-09 2.423652933363277104e-11 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408001186814162509e+01 1.238199055042619328e-04 1.176676390248265758e-03 2.515188852945963310e-02 1.953948420263327125e-04 1.567457256401717444e-02 1.000293095906575475e-01 1.263058969994693625e-04 6.301327283431924428e-03 3.191916185186559574e+01 1.250051079036909249e-03 6.421626890458003167e-01 3.199987792968750000e+01 1.220106932961996168e-04 9.765475988388061523e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432199084432940595e+01 8.626704988082042739e-05 2.972095228756952735e-03 5.074437459309895371e-02 1.993765735539596939e-04 1.571842892088979107e-02 1.062806447347005162e-01 1.351272206939210872e-04 6.997845028510913182e-03 3.167246284953774449e+01 2.552805680128391978e-03 2.577996913336513263e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.473018999845201904e+01 1.617374969907746114e-04 1.047939956789764940e-02 7.755438486735025116e-02 2.091289586916642430e-04 1.601398213572085422e-02 1.178900400797525949e-01 1.419709611389735019e-04 8.130603197868267046e-03 3.124114580899889759e+01 4.025125461519994154e-03 5.913241296849709450e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.488705944905959200e+01 1.469095358714486677e-04 8.534967212337429832e-03 8.516852060953775116e-02 1.944854223788805613e-04 1.611720497253877823e-02 1.218738555908203125e-01 1.474624091604165722e-04 8.517645198783913713e-03 3.108830029378615123e+01 4.107631860356294497e-03 7.197621469687831564e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.494279488925806731e+01 1.492102839569491707e-04 9.623995956701917112e-03 8.866024017333984375e-02 2.057500937399102435e-04 1.622899623089324450e-02 1.239188512166341100e-01 1.546275705992687980e-04 8.733752731637246455e-03 3.101354806308620482e+01 4.482116606865880863e-03 7.692094118205571540e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.500036701581535681e+01 1.625924139851076195e-04 1.082547211271445847e-02 9.152460098266601562e-02 2.037890794537867403e-04 1.626522814247740104e-02 1.255021095275878906e-01 1.513214678450019936e-04 8.891201231638962837e-03 3.095021595380363522e+01 4.571861050053566307e-03 8.172401139809545967e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.505982720707950762e+01 1.788527538494788136e-04 1.216433514625174864e-02 9.407440821329751679e-02 2.080760927293525352e-04 1.630367245401329046e-02 1.269342104593912668e-01 1.537291224103099071e-04 9.041372949746396756e-03 3.089235284184514185e+01 4.797771293651241498e-03 8.667060180173217887e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.512155040941854622e+01 1.866942923171997955e-04 1.375252979273493270e-02 9.673404693603515625e-02 2.042619953974214857e-04 1.641348640168871498e-02 1.286017100016275949e-01 1.555584942207712451e-04 9.232562422969041449e-03 3.083088817797322889e+01 4.832868590733493952e-03 9.215442736539985802e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.518450950637794961e+01 1.983162981809180299e-04 1.550158142780437218e-02 9.978850682576496933e-02 2.152592576545143759e-04 1.643182294959741677e-02 1.303480466206868305e-01 1.636117834466878167e-04 9.398955786284406144e-03 3.075765302037535776e+01 5.234328407967418426e-03 9.734342252533043194e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
