hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -9.184943181717869720e+01 1.050766563714211014e-03 1.719272070179997947e-01 9.593021074930826453e-01 6.265394024224372376e-04 9.888698907136332650e-03 9.593021074930826453e-01 6.265394024224372376e-04 9.888698907136332650e-03 4.593752495889640741e+00 3.578954417930865772e-02 3.282563353876422241e+01 3.199987792968750000e+01 9.090583573260312817e-05 9.765475988388061523e-04
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -8.574201903143064385e+01 1.015915479084351447e-03 2.103693697953849528e-01 9.478842417399088172e-01 6.433651395356736148e-04 1.262332228321207117e-02 9.478842417399088172e-01 6.433651395356736148e-04 1.262332228321207117e-02 5.210345854347310457e+00 3.276711666085943553e-02 3.305800360855608488e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -7.971817105514884361e+01 1.325740517905156643e-03 3.615349114324690749e-01 9.304864406585693359e-01 6.604864189952857918e-04 1.691606264309560362e-02 9.304889837900797156e-01 6.605023819880468652e-04 1.691132993785357530e-02 6.032439548801203699e+00 2.916720511192806911e-02 3.373770449238818969e+01 3.199993896484375000e+01 4.545291786630233658e-05 4.882775247097015381e-04
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -7.383372438506418689e+01 1.767362147887157134e-03 5.909694304076473781e-01 9.018402099609375000e-01 6.953065370903755652e-04 2.373181260190904140e-02 9.018440246582031250e-01 6.951266560121531404e-04 2.372493209259118885e-02 7.203060322564181384e+00 2.614334552475384987e-02 3.457759880321927426e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 -7.097730677268178567e+01 2.284174276358504584e-03 7.887671317348049493e-01 8.792943954467773438e-01 8.133353631352824688e-04 2.868783061088227629e-02 8.793071111043293531e-01 8.130330775863683261e-04 2.866546883635439150e-02 8.026144052955219266e+00 2.807272104704216717e-02 3.529208363549442140e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 5.200000000000000178e-01 -6.930502741586821003e+01 1.917942458594353418e-03 7.446546083322367338e-01 8.633238474527994422e-01 7.858816754307933194e-04 3.182653901320817158e-02 8.633378346761066968e-01 7.855518161135437161e-04 3.180238781068409765e-02 8.573609772639045445e+00 2.578507879474416578e-02 3.526245049370291440e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -6.818054795487424258e+01 3.587610853437788599e-02 2.127369512019571918e+00 8.469136555989582593e-01 1.192325187938919791e-03 3.651261816008223582e-02 8.469397226969400672e-01 1.192080203458984562e-03 3.646846431810343847e-02 9.079310975707588938e+00 2.892319724217494448e-02 3.717792743396544353e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.799999999999999822e-01 -6.715356825005319763e+01 1.691813766951395749e-03 8.609548757386399354e-01 8.214365641276041297e-01 9.891676120848324691e-04 4.370992193515930296e-02 8.215401967366535718e-01 9.866660239477294085e-04 4.353965596682327077e-02 9.919037000053195996e+00 3.028479945183423089e-02 4.203089069178500381e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.665579443361156109e+01 1.707997629560056374e-03 1.045977529257835048e+00 7.653172810872395093e-01 1.446127495737549061e-03 6.901795137026864313e-02 7.660325368245441968e-01 1.433173387245859120e-03 6.792264462718675122e-02 1.163505061850739253e+01 4.342062600939424616e-02 6.368303834099103966e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -6.623787200065709158e+01 1.728881947539310290e-03 1.014049492547038245e+00 6.100740432739257812e-01 2.410416582297574169e-03 1.193967045319368481e-01 6.135714848836262281e-01 2.372199572922420192e-03 1.151170757462346428e-01 1.627729216667272283e+01 7.099270404072510754e-02 1.052058565140603150e+02 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.595180030230852708e+01 1.340910761166888912e-03 6.098036523463462588e-01 3.665170669555664062e-01 2.248393928927222910e-03 1.165900255621939580e-01 3.762585322062174109e-01 2.192705430184053398e-03 1.093543028739279444e-01 2.339610877398822097e+01 6.487519762909509102e-02 9.804043083722984875e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.578651444962214612e+01 8.869261340774610598e-04 2.822747646758161921e-01 2.217626571655273438e-01 1.365589415634660105e-03 6.629304458238038933e-02 2.362616856892903461e-01 1.322104583384191810e-03 5.965213657075058018e-02 2.754167802384089470e+01 3.847285143811110530e-02 5.304560104671458021e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.566508497489573415e+01 6.374929316646831467e-04 1.602695295569117884e-01 1.679995854695637836e-01 7.966096748595320699e-04 4.090119554883939190e-02 1.852267583211262836e-01 7.610172798890976927e-04 3.481610426863173541e-02 2.904173638277335456e+01 2.192965679431369344e-02 3.115354744270813470e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.556534755881008891e+01 5.268282325550555263e-04 1.067897496282120412e-01 1.476233800252278461e-01 5.838074325420849293e-04 3.158540309707152938e-02 1.662810643513997211e-01 5.460225833169733483e-04 2.572867306531003220e-02 2.959723110373196420e+01 1.568441783367752890e-02 2.292976600714619906e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.547664630575593492e+01 4.688679881793094122e-04 7.884138012930194672e-02 1.343647638956705637e-01 4.369320569969783823e-04 2.660242666257140592e-02 1.545019149780273438e-01 4.029425061527991360e-04 2.078547470743311726e-02 2.995091490113354737e+01 1.146065477167955080e-02 1.838768886182136697e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.539401782035392330e+01 3.466022875752958242e-04 4.593373429802104224e-02 1.262318293253580637e-01 3.839851341638377989e-04 2.400417380694205849e-02 1.479514439900715961e-01 3.438659703456098003e-04 1.804901876302109423e-02 3.016248298962476326e+01 9.823091590437453210e-03 1.577348637213679794e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.531585136062065544e+01 3.092334237045127852e-04 3.547675530156800539e-02 1.190509796142578125e-01 3.309236655090922819e-04 2.206609091202456699e-02 1.418457031250000000e-01 2.863730809254466051e-04 1.611902316411336147e-02 3.034433890944879408e+01 8.253818499279027415e-03 1.378435263245647846e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000044e-01 -6.524226667952689240e+01 2.800154128475082363e-04 2.841163099929974040e-02 1.134064992268880162e-01 3.024322988488486021e-04 2.092709065335737750e-02 1.373259226481119699e-01 2.585498062155750475e-04 1.492971568910030078e-02 3.048422061832898322e+01 7.353562257894474992e-03 1.240559785786790670e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -6.517079997643543265e+01 2.582155346159645693e-04 2.362059477586678571e-02 1.082050005594889230e-01 2.829520707470659720e-04 1.999407214071248495e-02 1.334454218546549387e-01 2.314301696191857472e-04 1.389471367282466355e-02 3.060858694339508546e+01 6.708246940530696034e-03 1.123622869935444513e+01 3.199991861979166430e+01 8.134046219746873775e-05 6.510350439283584586e-04
0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 -6.510254568543201970e+01 2.494286499357898095e-04 2.082090305202741881e-02 1.037518183390299387e-01 2.642360631628519517e-04 1.965260018177003923e-02 1.303238868713378906e-01 2.224975160542179344e-04 1.343272450117183325e-02 3.071234793152578391e+01 6.065753025180553940e-03 1.045069448371053866e+01 3.199975585937500000e+01 1.183854351024134753e-04 1.953065395355224609e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -6.503759904555086280e+01 2.129401494487780913e-04 1.553022247806904940e-02 9.938144683837890625e-02 2.587915447577608967e-04 1.906786010082820587e-02 1.270348230997721262e-01 2.142985622681249636e-04 1.280668579652734229e-02 3.081145463637117388e+01 5.792167843085071349e-03 9.588318742966148278e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -6.497553663998530737e+01 1.786929425393695401e-04 1.204442397876403538e-02 9.544086456298828125e-02 2.510807783530993008e-04 1.871421139761271848e-02 1.244147618611653600e-01 2.036742022045276326e-04 1.234413705717290512e-02 3.089874342709467925e+01 5.475386179279116347e-03 8.881737135138338957e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -6.491555244935693736e+01 1.653097717856508088e-04 1.003643558230355240e-02 9.180895487467446991e-02 2.553257234596389156e-04 1.830189163794986723e-02 1.218687693277994699e-01 2.022407907126244067e-04 1.187877889565748524e-02 3.097654732240380682e+01 5.397045558246273481e-03 8.186223585928422253e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -6.474893875192776704e+01 1.197407968269724351e-04 5.953811295688157812e-03 8.178234100341796875e-02 2.346513195961690283e-04 1.759557439224105485e-02 1.154483159383137975e-01 1.845163845101695742e-04 1.095561203924767801e-02 3.117871780466214560e+01 4.509646085579763729e-03 6.502973529962146060e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -6.432517067432981150e+01 4.817626061487345987e-05 9.182894323979126985e-04 5.154927571614582871e-02 2.152662031795141834e-04 1.642410578723582995e-02 1.003532409667968750e-01 1.557845586841532322e-04 9.010660641555052336e-03 3.166533994516314721e+01 2.754520777538251551e-03 2.691826281457998071e+00 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -6.408030206997840139e+01 1.126708324368807321e-05 5.234111431178342004e-05 2.498976389567057060e-02 2.071872292055486179e-04 1.577334552459635358e-02 9.175141652425129746e-02 1.418668788506124425e-04 7.979511389951059186e-03 3.192036758104611138e+01 1.326128217122386462e-03 6.460932356770446860e-01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000001535030947e+01 3.259031622773205014e-07 4.544686059153748091e-08 -5.693435668945312500e-04 2.001768470863759402e-04 1.559976110638672253e-02 8.913962046305337616e-02 1.434496396614591378e-04 7.654213322186680969e-03 3.200000001535031657e+01 3.259031622809955127e-07 4.544686059153586626e-08 3.200000000000000000e+01 nan 0.000000000000000000e+00
