hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574735498014382529e+01 2.361457083345271243e-04 4.475932957040035937e-02 9.482356667432882968e-01 1.268790961137888733e-04 1.256024091818908756e-02 9.482356667432882968e-01 1.268790961137888733e-04 1.256024091818908756e-02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.973043693660872577e+01 2.836920281991666824e-04 6.453241621376690218e-02 9.309375458981478113e-01 1.462592825369027924e-04 1.661351647872698345e-02 9.309375458981478113e-01 1.462592825369027924e-04 1.661351647872698345e-02
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.677068249105485620e+01 3.154624404736472171e-04 8.100937108380548701e-02 9.183385662874614663e-01 1.696429448575494461e-04 1.940313555563174044e-02 9.183385662874614663e-01 1.696429448575494461e-04 1.940313555563174044e-02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.385680560701044328e+01 3.882471405312763789e-04 1.064909907445411169e-01 9.021661501893224466e-01 1.807248145216336799e-04 2.321138525214469506e-02 9.021661501893224466e-01 1.807248145216336799e-04 2.321138525214469506e-02
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.100340550861182010e+01 4.314126232787592746e-04 1.518360645708380086e-01 8.791732490623282992e-01 2.008193523600590208e-04 2.849869763082794188e-02 8.791732490623282992e-01 2.008193523600590208e-04 2.849869763082794188e-02
5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.988532062513701248e+01 4.917962565731583005e-04 1.835416211033842337e-01 8.673474109591114978e-01 2.198744177356044382e-04 3.132076798059225259e-02 8.673474109591114978e-01 2.198744177356044382e-04 3.132076798059225259e-02
5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.878478415196457263e+01 5.647953286440385127e-04 2.341989247479299430e-01 8.519151282894494859e-01 2.533520037494989036e-04 3.530545096972627361e-02 8.519151282894494859e-01 2.533520037494989036e-04 3.530545096972627361e-02
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.771077052573994592e+01 6.273534257070228918e-04 2.971833310117105720e-01 8.293596441589303758e-01 3.275243344200783166e-04 4.257211889660703769e-02 8.293596441589303758e-01 3.275243344200783166e-04 4.257211889660703769e-02
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.667362606461313135e+01 7.920358591453820771e-04 5.177719773995058672e-01 7.862866802705803515e-01 5.797684429516659433e-04 5.888703681952060093e-02 7.862866802705803515e-01 5.797684429516659433e-04 5.888703681952060093e-02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.583140670008401685e+01 1.590327129693366827e-03 1.879672006853996047e+00 4.525875479080085917e-01 1.801122950949865563e-03 1.365279311755432656e-01 4.525875479080085917e-01 1.801122950949865563e-03 1.365279311755432656e-01
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.550719050128765275e+01 1.749836495241833276e-03 2.067054946672890914e+00 1.529585742243728674e-01 7.096398740019980262e-04 4.149415677323747831e-02 1.529585742243728674e-01 7.096398740019980262e-04 4.149415677323747831e-02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.535220955387804054e+01 1.623512854515870522e-03 1.656692387372197262e+00 1.123975535069960396e-01 3.536385561014900839e-04 2.086839131576376932e-02 1.123975535069960396e-01 3.536385561014900839e-04 2.086839131576376932e-02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.529432308841082033e+01 2.007359288595987178e-03 1.199057846581121689e+00 1.051813946542439066e-01 3.011296956320237955e-04 1.758123722813130854e-02 1.051813946542439066e-01 3.011296956320237955e-04 1.758123722813130854e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.523204916847902268e+01 1.402192354343612850e-03 1.049760318729572095e+00 1.019376563283595216e-01 2.835841229403423961e-04 1.740280601137374553e-02 1.019376563283595216e-01 2.835841229403423961e-04 1.740280601137374553e-02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.510196321266619179e+01 2.168024891049914141e-03 9.248779874647784505e-01 9.597705861496796942e-02 3.088881098115342158e-04 1.708202867479197487e-02 9.597705861496796942e-02 3.088881098115342158e-04 1.708202867479197487e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.498076120893071561e+01 4.169522780069434553e-03 9.464933288254610000e-01 9.046477796742191657e-02 2.921278479168580274e-04 1.720373322684773734e-02 9.046477796742191657e-02 2.921278479168580274e-04 1.720373322684773734e-02
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.487211223688461814e+01 2.432066599299538036e-03 6.235091297310657588e-01 8.521253066502909590e-02 2.952967766432838229e-04 1.672607921675969139e-02 8.521253066502909590e-02 2.952967766432838229e-04 1.672607921675969139e-02
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.470808584172715427e+01 6.792692271309517735e-03 6.501871542717579944e-01 7.737759684289635675e-02 2.893600274112003248e-04 1.677075386646244975e-02 7.737759684289635675e-02 2.893600274112003248e-04 1.677075386646244975e-02
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431258056026098302e+01 1.132662407429315754e-03 1.823789463789292908e-01 4.995297927032475022e-02 2.775962609899204473e-04 1.601752392959717233e-02 4.995297927032475022e-02 2.775962609899204473e-04 1.601752392959717233e-02
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407886965676524937e+01 5.048372848906369651e-04 4.544968723971008762e-02 2.436005843434184762e-02 2.836999737326607960e-04 1.565757433852990252e-02 2.436005843434184762e-02 2.836999737326607960e-04 1.565757433852990252e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.400000000459519356e+01 1.046942498637995750e-08 8.822181902491984027e-11 1.359765071097124582e-04 5.221262767735913972e-09 2.148050335472011019e-11 1.359765071097124582e-04 5.221262767735913972e-09 2.148050335472011019e-11
