hx hy hz energy energy_err energy_var mag mag_err mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.348436516361464328e+02 6.929939905454941904e-04 1.770357227080654461e-01 9.596073848846409238e-01 5.648413185853804836e-05 1.229891360920413665e-03 2.559997960891619755e+02 6.059516147751430103e-05 1.465509088459252332e-03 3.666683959960937500e+01 2.604944335092115176e-02 2.609004177218303084e+02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.859834456884577776e+02 8.077209091327891772e-04 2.379195947023904356e-01 9.481521073153548196e-01 6.155957013830078563e-05 1.563934865054691405e-03 2.559997092337398499e+02 7.273793102292670017e-05 2.105292273557377199e-03 4.157505289713541430e+01 2.536620680418431167e-02 2.614795762097670035e+02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.378437123715273174e+02 9.254579249413570933e-04 3.413215177083204210e-01 9.310647419763802279e-01 6.971569278847375688e-05 2.059397486708076323e-03 2.559995051717660317e+02 9.011507993234138579e-05 3.131948868080237751e-03 4.815444946289062500e+01 2.737966405187108876e-02 2.663978169128919262e+02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.908331136653876001e+02 1.129180900611353533e-03 5.405057857878876604e-01 9.029955008288397256e-01 8.455056867826973930e-05 2.858845456899033414e-03 2.559992068908173337e+02 1.117410300780745115e-04 4.992511205904737528e-03 5.741867065429687500e+01 2.632196319656877892e-02 2.687331011136993766e+02
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.457878736779575775e+02 1.609037911721647842e-03 1.049271318987039736e+00 8.510732721162803660e-01 1.040300905593893248e-04 4.235382725633968053e-03 2.559985493409877222e+02 1.660795717321587341e-04 1.061385163111218041e-02 7.187720743815103219e+01 2.669048109037255173e-02 2.756076026508170571e+02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.245577773142988462e+02 2.047976796872715347e-03 1.666924953515587449e+00 8.046509419592715595e-01 1.182284613279694036e-04 5.355758700757131535e-03 2.559978468566917513e+02 2.080350416264191589e-04 1.705907488462338195e-02 8.323312377929687500e+01 2.682998917674745895e-02 2.844575958490992207e+02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.204725441888083424e+02 2.219630550642580791e-03 1.865947607321893464e+00 7.915039309708769011e-01 1.217468719716941459e-04 5.671467591221640570e-03 2.559973642356955281e+02 2.171396544059235839e-04 2.020200067981182263e-02 8.612062581380207860e+01 2.605863541573244860e-02 2.865145835276279058e+02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.164545443105953382e+02 2.304884282934636323e-03 2.081385175199420345e+00 7.773674141009193628e-01 1.320459474675096819e-04 5.975844493503476920e-03 2.559967054080154298e+02 2.534059461708642637e-04 2.437195765510370010e-02 8.930768839518228219e+01 2.645866888706832967e-02 2.887610203970430689e+02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.125210779912321186e+02 2.461264474318749541e-03 2.362867206075796478e+00 7.612623593660275967e-01 1.229094984161884061e-04 6.358237924556649212e-03 2.559964378957003248e+02 2.715647997968174423e-04 2.805933005882771739e-02 9.280427042643228219e+01 2.882150382017566528e-02 2.928699540941872783e+02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.086673598806071936e+02 2.647826560745922611e-03 2.756414981148879395e+00 7.424524539881917073e-01 1.342308727515133325e-04 6.782033966754112339e-03 2.559957738928687832e+02 2.931568782237207798e-04 3.397510101504139235e-02 9.682029215494790719e+01 2.771694152577382567e-02 2.968964567180308904e+02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.049192286608122799e+02 2.791664212247091121e-03 3.227207673379896224e+00 7.208861196626108470e-01 1.515329397422231239e-04 7.195351407594590028e-03 2.559944789171856314e+02 3.220095803420119137e-04 4.110780832870189472e-02 1.012748413085937500e+02 3.043202322676832883e-02 2.990798577629029751e+02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.012964017804989680e+02 3.060600629984196880e-03 3.968801426260132992e+00 6.936082984603167967e-01 1.520757421932711665e-04 7.692234414830559711e-03 2.559948233762582106e+02 3.496540320752118680e-04 4.815707108917179069e-02 1.067766418457031250e+02 3.065660234851702928e-02 3.048235038757944722e+02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.978170301072715347e+02 3.687020736846681381e-03 4.991817225602827257e+00 6.591691318474602879e-01 1.637081546514188263e-04 8.370049374076293444e-03 2.559919886428666018e+02 4.019581187233856718e-04 6.599631086605772801e-02 1.136016540527343750e+02 3.346554429327334296e-02 3.126767697250470519e+02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.945744471910027755e+02 4.103838027676583525e-03 6.695294399356427562e+00 6.084718704903733233e-01 1.861790720897306634e-04 9.306402317456899387e-03 2.559888374382690017e+02 4.846113342393166428e-04 9.001824584992236533e-02 1.233278299967447822e+02 3.499847964808469603e-02 3.267786969268280473e+02
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.917797473022772579e+02 5.888317313842372780e-03 1.306118339117016980e+01 4.879696364697312383e-01 2.163961703396064537e-04 1.113845673073846423e-02 2.559770283254643459e+02 6.696623740801083743e-04 1.847282674946133518e-01 1.458646443684895644e+02 4.040088093767201655e-02 3.725379125769766802e+02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.185458434405813932e+02 1.139629426507798686e-02 1.793637545672863709e+01 6.204458735206955233e-02 7.458319553174872483e-05 1.572887363282920049e-03 2.559950305124077943e+02 3.215742327045380202e-04 3.839193384008263848e-02 2.514328206380208144e+02 1.445376477592173747e-02 3.276082710259490227e+01
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.183504051306890688e+02 1.629710971578712461e-02 1.705147918272165697e+01 6.330924870596973952e-02 7.753220693982722862e-05 1.597441889241088975e-03 2.559964761406060916e+02 2.601667867774797439e-04 2.715464952668279058e-02 2.513784993489583144e+02 1.491298020661167151e-02 3.341101884179644799e+01
