hx hy hz energy energy_err energy_var mag mag_err mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.348432458629017674e+02 1.557752562220409472e-03 1.793402315942832781e-01 9.597701319785365559e-01 1.260881874829187599e-04 1.238521119025325209e-03 2.559998430923310764e+02 1.539225462320270522e-04 1.644434186551119561e-03 3.658132595486110716e+01 5.804661782599315062e-02 2.628458708980936649e+02
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.859818828435340947e+02 1.793713975938963923e-03 2.394450640857550550e-01 9.482366725457810341e-01 1.476783413017738892e-04 1.572148358889215863e-03 2.559998318729488460e+02 1.812103018765905734e-04 2.339481863181509802e-03 4.158430989583332860e+01 6.042486852739308717e-02 2.637243371539645409e+02
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.378421960750995368e+02 2.126945405884776187e-03 3.401022820370986910e-01 9.313805953544976868e-01 1.679569612324828814e-04 2.076003134007945675e-03 2.559995291549087710e+02 2.142698214490412528e-04 3.630358703025459658e-03 4.803586154513888573e+01 6.013473851108045581e-02 2.665679413801357782e+02
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.908303846983402536e+02 2.668562849235666355e-03 5.470008347164097007e-01 9.027356114985005675e-01 2.019172065004983668e-04 2.865503086160216695e-03 2.559993711654452966e+02 2.888049854714983856e-04 5.836485403881286685e-03 5.751063368055555003e+01 6.196811752957002289e-02 2.700309199109489668e+02
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.457828215398367320e+02 3.747534625533465585e-03 1.042427955255160521e+00 8.506985907412092374e-01 2.522501455947577455e-04 4.227466861242876531e-03 2.559990452441149955e+02 4.085065993631780616e-04 1.165975172431136381e-02 7.200493706597221433e+01 6.459829763433357075e-02 2.764498454170462196e+02
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.245650899407056613e+02 4.832905764115501095e-03 1.656746652949103948e+00 8.042114442821785003e-01 2.929292455846481988e-04 5.383703121890356415e-03 2.559979719628138355e+02 5.129968799272937273e-04 1.899009374384460352e-02 8.327680121527777146e+01 6.737428699274521093e-02 2.845811501844429472e+02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.204741396768935147e+02 5.229176675548114286e-03 1.812725855870337854e+00 7.912873468687857681e-01 3.077558167780154990e-04 5.635628021510906069e-03 2.559986792124879287e+02 5.337590548059765669e-04 2.033827024513603851e-02 8.621424696180555713e+01 6.932447237442486421e-02 2.848594801838015087e+02
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.164539234659459908e+02 5.260920720136489162e-03 2.064884089861822591e+00 7.767883014658668595e-01 3.337822047064962442e-04 6.002902731870895549e-03 2.559966493832763774e+02 5.816976370529276059e-04 2.527758275269641197e-02 8.943956163194444287e+01 7.357191105381277740e-02 2.895122977245001152e+02
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.125261939998171101e+02 5.732141954411042878e-03 2.339894961461939538e+00 7.612874718301312349e-01 3.534364832627652497e-04 6.381100719730359305e-03 2.559971587137155780e+02 6.210482582967603036e-04 2.824147200200143731e-02 9.282177734375000000e+01 7.620016915867439122e-02 2.938036316500769658e+02
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.086666117484716096e+02 6.102288369243055385e-03 2.683900353986945042e+00 7.426245762843377562e-01 3.774594104067411629e-04 6.817151630145438027e-03 2.559955095663911493e+02 6.983349118517096984e-04 3.480130562435675146e-02 9.677935112847221433e+01 7.936109531213381141e-02 2.985781586935490850e+02
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.049242913238732058e+02 6.522700322553297639e-03 3.198873903502378546e+00 7.194500924401698860e-01 3.966808570118346032e-04 7.203271346256392288e-03 2.559950291455986644e+02 7.522082262621293449e-04 4.090225066706259377e-02 1.015858832465277715e+02 8.139376772840796470e-02 3.002173962033825205e+02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.012873110704278474e+02 7.394455379600625537e-03 3.858156393595987055e+00 6.933488417498381295e-01 4.357426508533595731e-04 7.757043448126588712e-03 2.559936569713480594e+02 8.458978235707439054e-04 5.122178187405203309e-02 1.068457573784722143e+02 8.721599250337350173e-02 3.069830451512042373e+02
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.978376514698411484e+02 8.203286477070520846e-03 4.808214091058683692e+00 6.575748530907671308e-01 4.754537443687989972e-04 8.453063289347969439e-03 2.559909253788904948e+02 9.261409627413524524e-04 6.652169809003725953e-02 1.139089626736111001e+02 9.326290715217207261e-02 3.173471809552038962e+02
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.946980185272424819e+02 9.878678296394289432e-03 6.335925251153199156e+00 6.049002787822903571e-01 6.439453668425809858e-04 1.036731657687078867e-02 2.559886849751421494e+02 1.054969658655285480e-03 8.600038509116623986e-02 1.241170247395833286e+02 1.232952071860962950e-01 3.681774944464365262e+02
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.192217483032337668e+02 7.476010697930464410e-02 1.926774894210651823e+01 7.044075905606646260e-02 2.647601014292706961e-04 1.630901936986728579e-03 2.559940754759640527e+02 9.439386591466626675e-04 5.855325072551442744e-02 2.502440321180555429e+02 8.167874538128007400e-02 4.415616013091286618e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.189305826806040614e+02 8.709995491413873026e-02 1.982209232145106270e+01 6.980057538543324447e-02 2.661090381641539621e-04 1.632258531716250169e-03 2.559938799013953883e+02 8.226248078714800977e-04 4.667923615471213095e-02 2.504284396701388857e+02 8.786356132198586133e-02 4.459161306016239479e+01
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.186070452934490049e+02 6.297415583464650857e-02 1.470869138527685394e+01 6.889293768242124583e-02 2.619990239306969524e-04 1.633140008680635359e-03 2.559927976843319755e+02 8.015713324203915064e-04 4.214033776164327616e-02 2.506213650173610858e+02 6.806314032994011110e-02 3.985739509853316065e+01
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.182933875926233895e+02 8.829777960160339889e-02 1.680770284487103083e+01 6.829154231226634841e-02 2.691263123017874153e-04 1.638089338907543647e-03 2.559961680479873394e+02 6.774707153312469312e-04 3.395068633452739265e-02 2.507586805555555429e+02 8.904651005048454249e-02 4.245218159239968259e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.173266174402680235e+02 4.154799574326500239e-02 8.162077816246515738e+00 6.403158342888007337e-02 2.730848366237390262e-04 1.656662851345670762e-03 2.559978223887864033e+02 5.223611132163205910e-04 1.935682800248589297e-02 2.514935438368055429e+02 5.470087795077430842e-02 3.347939625198458202e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.144902804622523718e+02 5.319253832299637545e-03 9.355626460935759781e-01 4.668028077885389565e-02 2.926929113788880434e-04 1.776508544839714571e-03 2.559996619848032537e+02 1.668023535734637402e-04 1.983983204656700802e-03 2.537105577256944287e+02 2.968541874315165294e-02 1.738367108651149451e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.126370362295057248e+02 1.362296980657797408e-03 8.283869294210659262e-02 2.463953350539709042e-02 3.214543272077267227e-04 1.927622746015725903e-03 2.560000038327793845e+02 2.435999466095729909e-05 4.162912761437287629e-05 2.553754882812500000e+02 1.629514764908302632e-02 4.960896571477253936e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.119996743051186741e+02 3.255367449710549728e-04 2.606854360332742839e-03 6.492607767104462049e-04 5.066070958734836954e-04 6.317168597558325480e-03 2.559999998259519600e+02 1.801092424899800713e-07 4.660445460392408290e-09 2.559996744791666572e+02 3.253618487898748968e-04 2.604060702853732302e-03
