# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399999998870988094e+01 1.456765028886236578e-10 -1.869201660156250000e-04 1.571564359376982981e-02 9.817123413085937500e-02 6.078087322142285316e-03
4.210526315789473589e-02 0.000000000000000000e+00 0.000000000000000000e+00 -6.401360834529896238e+01 4.870485685620406721e-03 7.642110188802082611e-04 1.561124335502325940e-02 9.751383463541665741e-02 6.102879428201251656e-03
8.421052631578947179e-02 0.000000000000000000e+00 0.000000000000000000e+00 -6.405537669589872962e+01 1.249729049614506024e-02 2.425511678059895653e-04 1.565614420047091448e-02 9.787527720133462616e-02 6.076633144301822782e-03
1.263157894736842146e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.412596059775965784e+01 1.505468515114861613e-02 -2.438227335611979076e-04 1.561960593476720283e-02 9.786319732666015625e-02 6.042459993295778986e-03
1.684210526315789436e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.422333137647575541e+01 6.139392276376490903e-02 -5.054473876953125000e-05 1.563587529290089151e-02 9.783204396565754746e-02 6.064769021173155479e-03
2.105263157894736725e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.434927061577855056e+01 6.760591381372427211e-02 6.370544433593750000e-04 1.562580612274662786e-02 9.787877400716145371e-02 6.045957559965447516e-03
2.526315789473684292e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.450828684355970211e+01 1.232862707114296824e-01 9.536743164062500000e-07 1.561018824486382073e-02 9.795792897542317246e-02 6.014432396619262718e-03
2.947368421052631304e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.469338455445553393e+01 3.982712802761174675e-01 2.158482869466145653e-04 1.568266063976706329e-02 9.815247853597004746e-02 6.048798187495979008e-03
3.368421052631578871e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.490795931445468625e+01 4.510010589990489649e-01 3.496805826822916441e-05 1.562154170783792984e-02 9.789721171061196991e-02 6.037678869890643341e-03
3.789473684210526438e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.515300960113529527e+01 9.242227532493620945e-01 9.568532307942707882e-05 1.560692070284453933e-02 9.811878204345703125e-02 5.979634468834167833e-03
4.210526315789473450e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.542460984818316660e+01 1.823888246684202574e+00 -5.817413330078125000e-04 1.547092132993081216e-02 9.772427876790364121e-02 5.921225092202398940e-03
4.631578947368421573e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.634076902346748739e+01 7.357474511518224958e-01 1.071294148763020788e-04 1.567534451401621232e-02 9.948190053304035996e-02 5.778707457062005545e-03
5.052631578947368585e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.852586756385507272e+01 2.459593768090049815e-01 -5.884170532226562500e-04 1.567912247658872008e-02 9.941069285074868866e-02 5.796982858151345994e-03
5.473684210526315042e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.085617525415422335e+01 1.533142541010798221e-01 1.449584960937500000e-04 1.555746679271881663e-02 9.918149312337239121e-02 5.720519227502840649e-03
5.894736842105262609e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.325105801756306789e+01 1.118776846212740095e-01 -1.487731933593750000e-04 1.569191388261970133e-02 9.958012898763020371e-02 5.775733926889692511e-03
6.315789473684211286e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.569087957807968792e+01 8.838407557745811549e-02 9.845097859700520111e-04 1.560538442077409604e-02 9.912522633870442246e-02 5.780543183593383517e-03
6.736842105263157743e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.816707740182965836e+01 7.183701711474940743e-02 -4.895528157552082882e-05 1.564115046211453711e-02 9.945551554361978241e-02 5.749753286686931815e-03
7.157894736842105310e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.067304352952824331e+01 6.083471617793878572e-02 1.306533813476562500e-04 1.578228952136365854e-02 9.978326161702473496e-02 5.825607292738115874e-03
7.578947368421052877e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.320008017909918863e+01 5.114873551935429641e-02 -6.818771362304687500e-04 1.569376583847770235e-02 9.951877593994140625e-02 5.790244030322355684e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.574770470746801720e+01 4.493762564915480123e-02 1.134872436523437500e-04 1.567470732849566423e-02 9.958108266194660996e-02 5.758328183724693503e-03
