# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.600000006168651367e+01 4.185084688030705259e-09 -6.876627604166666088e-04 6.141564447018835193e-02 3.825447097003105250e-04 2.060440607019806856e-10 -1.600000000000002132e+01
6.199999999999999956e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.603092699188494308e+01 5.624938023837992244e-06 -3.448486328125000217e-04 6.259982614777982735e-02 6.139866819285016986e-02 2.433696740830327554e-01 -1.603092862117843964e+01
1.229999999999999982e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.612371893822563251e+01 3.214028315280830265e-05 -4.903157552083333261e-04 6.153069932841593453e-02 1.294747724690258894e-01 2.674220030706294660e-01 -1.612373395869600401e+01
1.849999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.628726925907446699e+01 2.056905564521733856e-05 -7.069905598958332611e-05 6.199130512127239145e-02 2.023388117794046870e-01 2.776219549352010318e-01 -1.628729592701379758e+01
2.459999999999999964e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.652462338649823437e+01 6.652620449186008361e-05 -1.316324869791666652e-03 6.187265693727466570e-02 2.849832052596708021e-01 2.931101016988302832e-01 -1.652468312580553089e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513671347805982e+01 3.434229141953406966e-07 -6.256103515624999458e-05 6.241778936004265671e-02 3.640869054292503182e-01 3.007454320636246958e-01 -1.680513744664447984e+01
3.079999999999999960e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.685241234094240070e+01 2.698083575121532529e-04 6.922403971354166739e-04 6.200965009603855160e-02 3.776722977401761328e-01 3.024720342358102054e-01 -1.685262304549418033e+01
3.689999999999999947e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.726642932204151037e+01 2.007231930303536395e-05 8.163452148437500000e-04 6.246074155981962833e-02 4.720201497315555383e-01 2.991804539672833219e-01 -1.726644481575705825e+01
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.777077837723866338e+01 1.019159140054295246e-05 -1.622517903645833261e-04 6.273921877119896517e-02 5.618182593291639604e-01 2.817813499793550558e-01 -1.777079374882594109e+01
4.309999999999999942e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.777978723795766314e+01 2.710949008234773036e-06 2.293904622395833315e-04 6.225993934372026084e-02 5.629304316329748481e-01 2.806157119199227390e-01 -1.777978785575099607e+01
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.786174660489893640e+01 6.036436325148272777e-07 -7.731119791666666305e-04 6.253335310353173859e-02 5.742338042412858945e-01 2.762048647022692371e-01 -1.786174936011093806e+01
4.919999999999999929e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.836949946881994933e+01 4.863470655725506550e-08 5.803426106770833044e-04 6.251320537774721076e-02 6.441897827776972285e-01 2.547836871398234670e-01 -1.836950013916735358e+01
5.540000000000000480e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.904328231402017835e+01 8.823503340421201993e-08 2.970377604166666414e-04 6.269077378842566328e-02 7.105918277869017752e-01 2.218649032261014453e-01 -1.904328219863920424e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366905306737848e+01 1.290753634755349500e-08 -1.810709635416666739e-04 6.235208411597542577e-02 7.559960707420273485e-01 1.988548761657869812e-01 -1.958366927713650796e+01
6.149999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.976628798671392673e+01 1.323421082982420935e-08 2.919514973958333261e-04 6.264322022493515330e-02 7.671850093043388608e-01 1.904758116802374446e-01 -1.976628839163980089e+01
6.770000000000000462e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.054958567042761786e+01 1.262545166658645625e-09 -3.611246744791666847e-04 6.250088684157364960e-02 8.113626958384664301e-01 1.621652408648386612e-01 -2.054958565798914449e+01
7.379999999999999893e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.135748228670050253e+01 1.297193580345313752e-11 1.215616861979166739e-03 6.228184747095736468e-02 8.441621274361217342e-01 1.378677503065758037e-01 -2.135748227381629860e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803303987093713e+01 2.298540658950879797e-12 1.413981119791666522e-04 6.234523045416507508e-02 8.700988133296769789e-01 1.182751160798578421e-01 -2.220803304253850641e+01
