# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999846259335e+01 1.229923824369926320e-08 1.121464054195218336e-05 2.489716712087784445e-01 1.121464054195218336e-05 2.489716712087784445e-01 -1.600000000000000711e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608115045622673733e+01 3.370289027621565327e-06 1.029021720607485035e-01 2.594590435737829659e-01 1.029021720607485035e-01 2.594590435737829659e-01 -1.608118739840773515e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633826206900764788e+01 2.895756844252388737e-06 2.221845136484087435e-01 2.827386551776733814e-01 2.221845136484087435e-01 2.827386551776733814e-01 -1.633828589021744193e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513723464092379e+01 1.888125511647569316e-07 3.648921195480363533e-01 3.009913488243293189e-01 3.648921195480363533e-01 3.009913488243293189e-01 -1.680513744664450471e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355512444132e+01 2.365595503911654597e-10 5.177802061741056949e-01 2.908626560549200102e-01 5.177802061741056949e-01 2.908626560549200102e-01 -1.751170355530063816e+01
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.768210811627333356e+01 9.024339539402967401e-12 5.471058649890654380e-01 2.846706408749165584e-01 5.471058649890654380e-01 2.846706408749165584e-01 -1.768210811627923462e+01
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.777079374882476159e+01 1.774796733188069233e-12 5.614226606081478277e-01 2.811232747472373061e-01 5.614226606081478277e-01 2.811232747472373061e-01 -1.777079374882586649e+01
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.786174936011068581e+01 4.890831376720771609e-13 5.754768915782875194e-01 2.773027984528123047e-01 5.754768915782875194e-01 2.773027984528123047e-01 -1.786174936011098424e+01
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.805029243279542328e+01 8.989712163580120274e-13 6.027158313511704613e-01 2.689360832614970942e-01 6.027158313511704613e-01 2.689360832614970942e-01 -1.805029243279564710e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901086339e+01 6.407230162217619851e-13 6.532814824381496521e-01 2.500000000000026645e-01 6.532814824381496521e-01 2.500000000000026645e-01 -1.845250371901101616e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713638717e+01 9.351842884415788338e-13 7.547328593442645950e-01 1.984643414888167534e-01 7.547328593442645950e-01 1.984643414888167534e-01 -1.958366927713655059e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820080927e+01 3.190432621204451031e-13 8.239668159224979860e-01 1.528420356906832200e-01 8.239668159224979860e-01 1.528420356906832200e-01 -2.085035545820083769e+01
