# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999846315646e+01 1.229473424642976679e-08 1.131572829649853741e-05 2.498429604294888362e-01 1.131572829649853741e-05 2.498429604294888362e-01 -1.600000000000000711e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608117148407366415e+01 1.935923207570072713e-05 1.029316102159800600e-01 2.595401011127770885e-01 1.029316102159800600e-01 2.595401011127770885e-01 -1.608118739840773515e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633828404310290239e+01 6.083863300691241735e-07 2.222005017844798092e-01 2.827592245722152509e-01 2.222005017844798092e-01 2.827592245722152509e-01 -1.633828589021744193e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513740429076108e+01 1.966085662533420995e-08 3.648922624592064734e-01 3.009914849711816665e-01 3.648922624592064734e-01 3.009914849711816665e-01 -1.680513744664450471e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355528300959e+01 1.324480333052564300e-11 5.177802062327516719e-01 2.908626560703082564e-01 5.177802062327516719e-01 2.908626560703082564e-01 -1.751170355530063816e+01
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.768210811627883672e+01 8.615955698794319750e-13 5.471058649909563698e-01 2.846706408753048589e-01 5.471058649909563698e-01 2.846706408753048589e-01 -1.768210811627923462e+01
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.777079374882570306e+01 5.717522700784002229e-13 5.614226606084937732e-01 2.811232747472927063e-01 5.614226606084937732e-01 2.811232747472927063e-01 -1.777079374882586649e+01
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.786174936011067516e+01 1.214763007832631261e-12 5.754768915783070593e-01 2.773027984528126932e-01 5.754768915783070593e-01 2.773027984528126932e-01 -1.786174936011098424e+01
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.805029243279548012e+01 1.056850583341929487e-12 6.027158313511907783e-01 2.689360832614949848e-01 6.027158313511907783e-01 2.689360832614949848e-01 -1.805029243279564710e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901069997e+01 2.208766598424116066e-12 6.532814824381121266e-01 2.500000000000166533e-01 6.532814824381121266e-01 2.500000000000166533e-01 -1.845250371901101616e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713577610e+01 6.497611473903119997e-12 7.547328593441497979e-01 1.984643414888648816e-01 7.547328593441497979e-01 1.984643414888648816e-01 -1.958366927713655059e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820004188e+01 8.456193288016849768e-12 8.239668159223798583e-01 1.528420356907492783e-01 8.239668159223798583e-01 1.528420356907492783e-01 -2.085035545820083769e+01
