# hx, hy, hz, energy, energy_err, energy_var, mag, mag_err, mag_var, abs_mag, abs_mag_err, abs_mag_var, exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177364763e+01 0.000000000000000000e+00 2.659997458584265238e-12 9.010216249838609581e-01 0.000000000000000000e+00 9.219315335371619513e-02 9.010216249838609581e-01 0.000000000000000000e+00 9.219315335371619513e-02 -2.362645051177383593e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253848154e+01 0.000000000000000000e+00 2.178543255690510853e-13 8.700238097462213993e-01 0.000000000000000000e+00 1.178246134293594455e-01 8.700238097462213993e-01 0.000000000000000000e+00 1.178246134293594455e-01 -2.220803304253854549e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820083769e+01 0.000000000000000000e+00 1.159071732410286425e-13 8.239668159225010946e-01 0.000000000000000000e+00 1.528420356906816657e-01 8.239668159225010946e-01 0.000000000000000000e+00 1.528420356906816657e-01 -2.085035545820088032e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713631611e+01 0.000000000000000000e+00 1.339384408698338102e-12 7.547328593442463873e-01 0.000000000000000000e+00 1.984643414888228041e-01 7.547328593442463873e-01 0.000000000000000000e+00 1.984643414888228041e-01 -1.958366927713646177e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901092024e+01 0.000000000000000000e+00 1.913938337263753371e-13 6.532814824381625307e-01 0.000000000000000000e+00 2.500000000000007772e-01 6.532814824381625307e-01 0.000000000000000000e+00 2.500000000000007772e-01 -1.845250371901100905e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122290863397e+01 0.000000000000000000e+00 2.201791214629339748e-12 5.892474933574883833e-01 0.000000000000000000e+00 2.732322927358981635e-01 5.892474933574883833e-01 0.000000000000000000e+00 2.732322927358981635e-01 -1.795493122290986321e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355525971090e+01 0.000000000000000000e+00 5.495182452882969173e-11 5.177802062242367054e-01 0.000000000000000000e+00 2.908626560684213214e-01 5.177802062242367054e-01 0.000000000000000000e+00 2.908626560684213214e-01 -1.751170355530067013e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771212366197915e+01 0.000000000000000000e+00 8.586461285727489609e-09 4.417363967487569210e-01 0.000000000000000000e+00 3.003790004067221076e-01 4.417363967487569210e-01 0.000000000000000000e+00 3.003790004067221076e-01 -1.712771213040598894e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513735212594284e+01 0.000000000000000000e+00 1.183852618196452534e-07 3.648922382209099924e-01 0.000000000000000000e+00 3.009914718371963782e-01 3.648922382209099924e-01 0.000000000000000000e+00 3.009914718371963782e-01 -1.680513744664457576e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311654086728822e+01 0.000000000000000000e+00 3.576713011180908523e-07 2.908856227392265792e-01 0.000000000000000000e+00 2.941175111670271125e-01 2.908856227392265792e-01 0.000000000000000000e+00 2.941175111670271125e-01 -1.654311682027936925e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633828259909796188e+01 0.000000000000000000e+00 3.914767655729662416e-06 2.221998053959298725e-01 0.000000000000000000e+00 2.827587288237821683e-01 2.221998053959298725e-01 0.000000000000000000e+00 2.827587288237821683e-01 -1.633828589021753075e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618590596306310303e+01 0.000000000000000000e+00 4.541441803227850556e-06 1.597172602445724454e-01 0.000000000000000000e+00 2.702826388386367351e-01 1.597172602445724454e-01 0.000000000000000000e+00 2.702826388386367351e-01 -1.618592319885370401e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608118152672740564e+01 0.000000000000000000e+00 1.002965392415672737e-06 1.029442301758232287e-01 0.000000000000000000e+00 2.595648286527192372e-01 1.029442301758232287e-01 0.000000000000000000e+00 2.595648286527192372e-01 -1.608118739840775291e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999998571455784e+01 0.000000000000000000e+00 1.142850466029761021e-07 4.088938763513552563e-05 0.000000000000000000e+00 2.499809332462410993e-01 4.088938763513552563e-05 0.000000000000000000e+00 2.499809332462410993e-01 -1.600000000000001066e+01
