# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999846259868e+01 1.229923796735454247e-08 1.387778780781445676e-17 6.256067404400317278e-02 1.825502307972287075e-01 2.923608727988170550e-02 -1.600000000000000711e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602576985289902822e+01 2.646136488116208798e-04 3.220244683176656797e-02 8.055132887112767537e-02 2.141955977048339843e-01 3.570857237694936848e-02 -1.608118739840772093e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.624189362604745313e+01 7.070015403047446786e-03 1.527190044533885682e-01 1.905733515656270749e-01 3.540731897281800822e-01 8.852862220257337600e-02 -1.633828589021754496e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.679888684425831258e+01 1.198673132029020455e-03 3.607428292314464047e-01 2.972374445853974700e-01 4.356532258291240800e-01 2.375791002519841155e-01 -1.680513744664451536e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751168255630718562e+01 8.838632262781996799e-06 5.177694371626796466e-01 2.908579625213966180e-01 5.589555119582308995e-01 2.465118882326663430e-01 -1.751170355530062395e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.768210624381891094e+01 9.209645997883244217e-07 5.471049103611571596e-01 2.846703455744966638e-01 5.839950768292151428e-01 2.429438787550255996e-01 -1.768210811627920975e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -1.777079303028684620e+01 3.826033908734203133e-07 5.614222861545643539e-01 2.811231880501254832e-01 5.963185092654125219e-01 2.407224069486188500e-01 -1.777079374882588070e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786174913487722549e+01 1.307397805405607444e-07 5.754767506512051822e-01 2.773027852761679179e-01 6.084763743956257409e-01 2.382327776185915458e-01 -1.786174936011096293e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.805029240965705029e+01 1.804450757381392249e-08 6.027158063803514931e-01 2.689360889976514235e-01 6.322024407040716110e-01 2.325225062261835618e-01 -1.805029243279565776e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371709512649e+01 3.735082301716258115e-09 6.532814708905189116e-01 2.500000051355180108e-01 6.767766857928779745e-01 2.187500029116066780e-01 -1.845250371901101261e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927627481147e+01 3.931903537763857927e-09 7.547328561045246742e-01 1.984643433666660184e-01 7.680860275431073969e-01 1.781298817434079917e-01 -1.958366927713650085e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545746767838e+01 4.629347133384036190e-09 8.239668138869989944e-01 1.528420368693809706e-01 8.317633473130255917e-01 1.399330813231045023e-01 -2.085035545820087677e+01
