# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999846315646e+01 1.229473303402093556e-08 -9.714451465470119729e-17 6.152714144945086588e-02 1.804714534137600856e-01 2.895719595217589176e-02 -1.600000000000000711e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602555182969841141e+01 2.651310736272702350e-04 3.192837375940722061e-02 7.986089752421346444e-02 2.132594033140371437e-01 3.540074547327472232e-02 -1.608118739840772093e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.628307802246671798e+01 4.479479996380996559e-03 1.798399417101065878e-01 2.238190344206874016e-01 3.773437650143414701e-01 1.137731220597833354e-01 -1.633828589021754496e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680400795048575802e+01 1.674954841873254956e-04 3.640455588600121639e-01 3.001704433113588921e-01 4.346254394855061376e-01 2.438003395890880887e-01 -1.680513744664451536e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170352698333232e+01 1.374777231746198817e-08 5.177801649757984848e-01 2.908626598163404631e-01 5.589589767838093470e-01 2.465238213315025517e-01 -1.751170355530062395e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.768210811501190705e+01 1.478722413912903669e-09 5.471058578967390451e-01 2.846706427382196813e-01 5.839954630016895853e-01 2.429447616765885443e-01 -1.768210811627920975e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -1.777079374822051960e+01 8.893835827750866346e-10 5.614226579736203426e-01 2.811232754410420975e-01 5.963186765279124835e-01 2.407227123512055700e-01 -1.777079374882588070e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786174935970544908e+01 6.579307891113148127e-10 5.754768901096740663e-01 2.773027988839170677e-01 6.084764500514796559e-01 2.382328596669679999e-01 -1.786174936011096293e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.805029243247731685e+01 6.096439922675801634e-10 6.027158303908777270e-01 2.689360836055162407e-01 6.322024558869403510e-01 2.325225105798030822e-01 -1.805029243279565776e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371871400930e+01 6.973133852740378312e-10 6.532814815068292980e-01 2.500000004327580516e-01 6.767766945696206404e-01 2.187500001999342358e-01 -1.845250371901101261e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927680564729e+01 1.282301474270964431e-09 7.547328578591498971e-01 1.984643425018730034e-01 7.680860292731553907e-01 1.781298808695104263e-01 -1.958366927713650085e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545789091316e+01 1.697181118862537892e-09 8.239668144371818936e-01 1.528420368444615152e-01 8.317633481630453129e-01 1.399330807908190644e-01 -2.085035545820087677e+01
