# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035544907553273e+01 2.432600416453016472e-08 8.239668150117235301e-01 1.528420358480147012e-01 8.317633489797073842e-01 1.399330793826402131e-01 -2.085035545820083769e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927319908157e+01 9.526567528540704996e-09 7.547328588306686514e-01 1.984643415235763930e-01 7.680860302344452162e-01 1.781298798809814177e-01 -1.958366927713652927e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371672025835e+01 5.516368328656316907e-09 6.532814820897322461e-01 2.499999999332430389e-01 6.767766952021124771e-01 2.187499996059075469e-01 -1.845250371901099484e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.805029243114667992e+01 4.226749867284697488e-09 6.027158311273719260e-01 2.689360831645388195e-01 6.322024566174787585e-01 2.325225101029220753e-01 -1.805029243279562579e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.786174935872700331e+01 3.729858267927605814e-09 5.754768914169203775e-01 2.773027983500193638e-01 6.084764512303952877e-01 2.382328592029656633e-01 -1.786174936011098069e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.768210811515758607e+01 3.188523113545952955e-09 5.471058648739925978e-01 2.846706407756198209e-01 5.839954684432515641e-01 2.429447609928864216e-01 -1.768210811627920975e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170355435805703e+01 2.822808172430027936e-09 5.177802061522989163e-01 2.908626559759266983e-01 5.589589981237120808e-01 2.465238362755799439e-01 -1.751170355530064882e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680513744600460768e+01 2.754437975959654031e-09 3.648922851722892768e-01 3.009915013267893125e-01 4.341378813829487315e-01 2.456621810533693995e-01 -1.680513744664449760e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.633828588979601548e+01 2.576029944044657170e-09 2.222021200483809134e-01 2.827613104058828708e-01 3.321350928351621823e-01 2.218213726672561004e-01 -1.633828589021754141e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.608118739807441244e+01 2.534827586521815374e-09 1.029520032423856812e-01 2.595846645091716143e-01 2.701837797584338841e-01 1.971845046362378784e-01 -1.608118739840774936e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999969727327e+01 2.458910716283432057e-09 6.756491199855219065e-11 2.499999999585155730e-01 2.500000002355525219e-01 1.874999998407392010e-01 -1.600000000000000711e+01
