# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999998807005319e+01 1.678668366224806111e-11 -6.612141927083332882e-05 6.121647715465061701e-02 3.937118023439805195e-04 2.344793629708687942e-10 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.700000000000000011e-02 -1.600385718371271082e+01 1.092045857740835529e-05 9.416707356770833218e-03 5.468249464924965220e-02 4.684006655069493548e-04 3.145317092737912214e-10 -1.601773042537316982e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.400000000000000022e-02 -1.601937622366099134e+01 1.750510113751127268e-04 2.490030924479166505e-02 6.839496890289914477e-02 5.210744930338641204e-04 9.787974933636656034e-10 -1.607161625297474572e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.409999999999999865e-01 -1.604452575874861608e+01 9.063385267225346426e-04 3.960469563802083287e-02 7.025687701896661530e-02 4.144657002312358797e-04 1.483732110086045079e-09 -1.616368749976384223e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.880000000000000004e-01 -1.608622491101518293e+01 3.231380436888531271e-03 5.717926025390624584e-02 7.662434374059860775e-02 2.759644526729894409e-03 1.318920002872413955e+00 -1.629712266982452817e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.349999999999999867e-01 -1.615634128482252052e+01 1.037774156410980510e-02 8.350219726562499445e-02 8.849857445806265377e-02 3.670388978542664447e-05 1.167989701985046655e-09 -1.647586278644454438e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.819999999999999729e-01 -1.627466548618517095e+01 2.903341171211023738e-02 1.221150716145833343e-01 1.091927269928985172e-01 8.618686724677872204e-05 2.289275036551626724e-09 -1.670396627523788169e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.637340021809782442e+01 4.176546663988158631e-02 1.561492919921874944e-01 1.306342341409375274e-01 2.269663633539609009e-04 2.878760113625416455e-08 -1.680513744664449405e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.290000000000000147e-01 -1.647987775240850894e+01 6.502193846363528429e-02 1.821482340494791630e-01 1.389261569817447084e-01 2.547124152006131318e-04 1.685796461495054820e-08 -1.698473262307921061e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.760000000000000009e-01 -1.688114957265883831e+01 1.069321950206774396e-01 2.965443929036458148e-01 1.890605787177466468e-01 5.422762493639985088e-05 1.115878321204422906e-08 -1.731978920395139099e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.239999999999999880e-01 -1.729492115067004576e+01 1.667465941825518605e-01 3.936279296874999889e-01 2.102181857824325373e-01 6.539272007403970177e-05 1.246024283465305263e-08 -1.771730731699848604e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -1.739570667151781436e+01 1.702021819787851997e-01 4.217264811197916630e-01 2.175742246665888502e-01 6.426977792315828131e-05 4.370686337985634223e-09 -1.777079374882581320e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.752665664528408840e+01 1.715445530188500767e-01 4.500590006510416519e-01 2.284029099303814814e-01 1.250386422113096896e-04 8.257829039459271696e-09 -1.786174936011093806e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.709999999999999742e-01 -1.785277797259160337e+01 2.471752130108495482e-01 5.295867919921875000e-01 2.321423524525016435e-01 1.219858190389972873e-04 2.032248405050853530e-08 -1.815764753545724730e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.180000000000000160e-01 -1.841842127723587907e+01 2.314093866388536036e-01 6.072967529296875444e-01 2.284412744051466659e-01 1.106986813737200224e-04 1.317387899867373717e-08 -1.864368883259957599e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.649999999999999467e-01 -1.915242586605079467e+01 2.391723829814094288e-02 7.193064371744791741e-01 2.159211559334976438e-01 1.586591855931503790e-05 5.030066874968206091e-09 -1.916963524943278330e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.957614520665422475e+01 1.858501496476562542e-02 7.499867757161458037e-01 2.000368752320193511e-01 1.250115671918138371e-05 1.551252698299566083e-09 -1.958366927713653283e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.119999999999999885e-01 -1.972742453446218036e+01 3.419848067397774499e-03 7.649648030598957815e-01 1.920767240215920379e-01 1.183016806437236079e-05 7.279610850608372846e-10 -1.972953095349129882e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.590000000000000302e-01 -2.031440702598332493e+01 7.981814560881940121e-03 7.960713704427083703e-01 1.719130733567807157e-01 4.063107111995188506e-05 2.413103256489075644e-09 -2.031781684368092300e+01
0.000000000000000000e+00 0.000000000000000000e+00 7.059999999999999609e-01 -2.092927199774881686e+01 8.751061681857679993e-04 8.281026204427083259e-01 1.498610809403989053e-01 1.931840822273167039e-05 1.358958178025441232e-10 -2.092961647773607226e+01
0.000000000000000000e+00 0.000000000000000000e+00 7.530000000000000027e-01 -2.156017799553426428e+01 2.133322674699163722e-03 8.527862548828124556e-01 1.314986353026082189e-01 1.504140928230254164e-05 5.932455939969742988e-11 -2.156081741395713891e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220468398240671704e+01 3.908431428986971351e-02 8.691172281901041741e-01 1.183435871690097646e-01 1.752994192159521640e-05 3.343009015170012163e-10 -2.220803304253845312e+01
