hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828299587e+01 0.000000000000000000e+00 2.537360342237390487e-07 5.137798291278460397e-05 0.000000000000000000e+00 2.497244156303686236e-01 5.137798291278460397e-05 0.000000000000000000e+00 2.497244156303686236e-01 -1.600000000000002132e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608089584666728911e+01 0.000000000000000000e+00 3.925275286020477039e-05 1.025665260511354204e-01 0.000000000000000000e+00 2.585956032709780250e-01 1.025665260511354204e-01 0.000000000000000000e+00 2.585956032709780250e-01 -1.608118739840771738e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618586658105295584e+01 0.000000000000000000e+00 8.176229582115000002e-05 1.596825382525859094e-01 0.000000000000000000e+00 2.702376306217342261e-01 1.596825382525859094e-01 0.000000000000000000e+00 2.702376306217342261e-01 -1.618592319885371822e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633806231574623524e+01 0.000000000000000000e+00 3.005031162103064798e-05 2.220386639848692945e-01 0.000000000000000000e+00 2.825487751606584608e-01 2.220386639848692945e-01 0.000000000000000000e+00 2.825487751606584608e-01 -1.633828589021750588e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654306557817643153e+01 0.000000000000000000e+00 1.570107064985015770e-05 2.908541847587688967e-01 0.000000000000000000e+00 2.940866055078162900e-01 2.908541847587688967e-01 0.000000000000000000e+00 2.940866055078162900e-01 -1.654311682027944030e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680512044138828287e+01 0.000000000000000000e+00 2.143722002269314095e-05 3.648838340307116734e-01 0.000000000000000000e+00 3.009862365315966182e-01 3.648838340307116734e-01 0.000000000000000000e+00 3.009862365315966182e-01 -1.680513744664447984e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771144958668401e+01 0.000000000000000000e+00 8.599112303206279013e-07 4.417361066034354300e-01 0.000000000000000000e+00 3.003788738670803982e-01 4.417361066034354300e-01 0.000000000000000000e+00 3.003788738670803982e-01 -1.712771213040599250e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170343628660220e+01 0.000000000000000000e+00 1.596133480200207947e-07 5.177801618616134638e-01 0.000000000000000000e+00 2.908626440746142072e-01 5.177801618616134638e-01 0.000000000000000000e+00 2.908626440746142072e-01 -1.751170355530063105e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122166001854e+01 0.000000000000000000e+00 1.755568150760871951e-09 5.892474929552043994e-01 0.000000000000000000e+00 2.732322926837197352e-01 5.892474929552043994e-01 0.000000000000000000e+00 2.732322926837197352e-01 -1.795493122290997690e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371887923535e+01 0.000000000000000000e+00 2.066599043104004133e-10 6.532814824016563993e-01 0.000000000000000000e+00 2.499999999995721478e-01 6.532814824016563993e-01 0.000000000000000000e+00 2.499999999995721478e-01 -1.845250371901096287e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713525030e+01 0.000000000000000000e+00 4.935697667270421199e-12 7.547328593440539857e-01 0.000000000000000000e+00 1.984643414888518920e-01 7.547328593440539857e-01 0.000000000000000000e+00 1.984643414888518920e-01 -1.958366927713648664e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545819792446e+01 0.000000000000000000e+00 1.236333221188076207e-11 8.239668159221122945e-01 0.000000000000000000e+00 1.528420356907787547e-01 8.239668159221122945e-01 0.000000000000000000e+00 1.528420356907787547e-01 -2.085035545820081282e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253765731e+01 0.000000000000000000e+00 4.504476884196027808e-12 8.700238097461328035e-01 0.000000000000000000e+00 1.178246134293877423e-01 8.700238097461328035e-01 0.000000000000000000e+00 1.178246134293877423e-01 -2.220803304253851351e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177343447e+01 0.000000000000000000e+00 2.377167482789063251e-12 9.010216249837983415e-01 0.000000000000000000e+00 9.219315335375569131e-02 9.010216249837983415e-01 0.000000000000000000e+00 9.219315335375569131e-02 -2.362645051177381106e+01
