hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177342737e+01 0.000000000000000000e+00 2.671878329834365368e-12 9.010216249837976754e-01 0.000000000000000000e+00 9.219315335375710685e-02 9.010216249837976754e-01 0.000000000000000000e+00 9.219315335375710685e-02 -2.362645051177383593e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253839627e+01 0.000000000000000000e+00 6.076851105434217086e-13 8.700238097462127396e-01 0.000000000000000000e+00 1.178246134293619851e-01 8.700238097462127396e-01 0.000000000000000000e+00 1.178246134293619851e-01 -2.220803304253854549e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820080927e+01 0.000000000000000000e+00 2.349452367105704089e-13 8.239668159224970978e-01 0.000000000000000000e+00 1.528420356906824984e-01 8.239668159224970978e-01 0.000000000000000000e+00 1.528420356906824984e-01 -2.085035545820088032e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713649730e+01 0.000000000000000000e+00 1.082602606435121614e-13 7.547328593442832467e-01 0.000000000000000000e+00 1.984643414888088153e-01 7.547328593442832467e-01 0.000000000000000000e+00 1.984643414888088153e-01 -1.958366927713646177e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901099840e+01 0.000000000000000000e+00 5.223898714831684317e-14 6.532814824381842911e-01 0.000000000000000000e+00 2.500000000000004441e-01 6.532814824381842911e-01 0.000000000000000000e+00 2.500000000000004441e-01 -1.845250371901100905e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122290991295e+01 0.000000000000000000e+00 3.292593214228651824e-14 5.892474933579079366e-01 0.000000000000000000e+00 2.732322927359459586e-01 5.892474933579079366e-01 0.000000000000000000e+00 2.732322927359459586e-01 -1.795493122290986321e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355530064171e+01 0.000000000000000000e+00 2.098441701404689515e-14 5.177802062397314220e-01 0.000000000000000000e+00 2.908626560726443877e-01 5.177802062397314220e-01 0.000000000000000000e+00 2.908626560726443877e-01 -1.751170355530067013e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771213040599605e+01 0.000000000000000000e+00 1.334954947870991132e-14 4.417363996759823275e-01 0.000000000000000000e+00 3.003790016934111406e-01 4.417363996759823275e-01 0.000000000000000000e+00 3.003790016934111406e-01 -1.712771213040598894e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513744664449760e+01 0.000000000000000000e+00 8.380765715649544801e-15 3.648922851373508358e-01 0.000000000000000000e+00 3.009915014164299407e-01 3.648922851373508358e-01 0.000000000000000000e+00 3.009915014164299407e-01 -1.680513744664457576e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311682027942609e+01 0.000000000000000000e+00 5.117323779432316962e-15 2.908857858730970469e-01 0.000000000000000000e+00 2.941176470588228176e-01 2.908857858730970469e-01 0.000000000000000000e+00 2.941176470588228176e-01 -1.654311682027936925e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633828589021752364e+01 0.000000000000000000e+00 2.964481558980410807e-15 2.222021199758040799e-01 0.000000000000000000e+00 2.827613104524173138e-01 2.222021199758040799e-01 0.000000000000000000e+00 2.827613104524173138e-01 -1.633828589021753075e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618592319885371822e+01 0.000000000000000000e+00 1.552231325849723042e-15 1.597333871368550318e-01 0.000000000000000000e+00 2.703104850709248663e-01 1.597333871368550318e-01 0.000000000000000000e+00 2.703104850709248663e-01 -1.618592319885370401e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608118739840772804e+01 0.000000000000000000e+00 6.584924957883030046e-16 1.029520031725808249e-01 0.000000000000000000e+00 2.595846645367406724e-01 1.029520031725808249e-01 0.000000000000000000e+00 2.595846645367406724e-01 -1.608118739840775291e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997931469764e+01 0.000000000000000000e+00 1.654825275031359080e-07 5.041709394653529975e-05 0.000000000000000000e+00 2.500043544966376041e-01 5.041709394653529975e-05 0.000000000000000000e+00 2.500043544966376041e-01 -1.600000000000001066e+01
