hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828299942e+01 0.000000000000000000e+00 2.537359885948216337e-07 1.807621248999880317e-19 0.000000000000000000e+00 6.474083995897916832e-02 1.807621248999880317e-19 0.000000000000000000e+00 6.474083995897916832e-02 -1.600000000000002132e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.600911884378287908e+01 0.000000000000000000e+00 2.045068484276873686e-04 1.139002967862445641e-02 0.000000000000000000e+00 5.697541225435846790e-02 1.139002967862445641e-02 0.000000000000000000e+00 5.697541225435846790e-02 -1.604014962025006952e+01
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 -1.602375446403641490e+01 0.000000000000000000e+00 1.131391023725642365e-03 1.975947679631340909e-02 0.000000000000000000e+00 6.588855762016068707e-02 1.975947679631340909e-02 0.000000000000000000e+00 6.588855762016068707e-02 -1.609075498230006573e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.602880021789684406e+01 0.000000000000000000e+00 2.223414627979312663e-01 1.796947644119982479e-02 0.000000000000000000e+00 6.647981382127092498e-02 1.796947644119982479e-02 0.000000000000000000e+00 6.647981382127092498e-02 -1.616237479681548805e+01
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 -1.608207180010893822e+01 0.000000000000000000e+00 1.326014180676319577e-02 4.079535744911113454e-02 0.000000000000000000e+00 8.165730563349155036e-02 4.079535744911113454e-02 0.000000000000000000e+00 8.165730563349155036e-02 -1.625576071228445585e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.612259666215735976e+01 0.000000000000000000e+00 2.964126763599623030e-02 5.064168484149608046e-02 0.000000000000000000e+00 8.451084526577157252e-02 5.064168484149608046e-02 0.000000000000000000e+00 8.451084526577157252e-02 -1.637184639770741157e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.616912623593922760e+01 0.000000000000000000e+00 5.228002638203341212e-02 5.977590647478231434e-02 0.000000000000000000e+00 8.565311810445641605e-02 5.977590647478231434e-02 0.000000000000000000e+00 8.565311810445641605e-02 -1.651171777200136859e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.626376875494856833e+01 0.000000000000000000e+00 1.123361594827934073e-01 8.118098958574998525e-02 0.000000000000000000e+00 1.015372761971356230e-01 8.118098958574998525e-02 0.000000000000000000e+00 1.015372761971356230e-01 -1.667657178043500821e+01
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 -1.629103060646923140e+01 0.000000000000000000e+00 1.353254616898564855e+00 7.917777628622904573e-02 0.000000000000000000e+00 1.113014109346071034e-01 7.917777628622904573e-02 0.000000000000000000e+00 1.113014109346071034e-01 -1.686766236548076137e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.645906160890588410e+01 0.000000000000000000e+00 3.180150038517186584e-01 1.119558115031602519e-01 0.000000000000000000e+00 1.117088354727411581e-01 1.119558115031602519e-01 0.000000000000000000e+00 1.117088354727411581e-01 -1.708623364055884153e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.697372970231481304e+01 0.000000000000000000e+00 9.077064538833152785e-01 1.976658905227029472e-01 0.000000000000000000e+00 1.663991210943572829e-01 1.976658905227029472e-01 0.000000000000000000e+00 1.663991210943572829e-01 -1.761027489328892415e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.818207213729661120e+01 0.000000000000000000e+00 1.928480355214941266e-01 4.232605076580699954e-01 0.000000000000000000e+00 2.900437397438987430e-01 4.232605076580699954e-01 0.000000000000000000e+00 2.900437397438987430e-01 -1.825542426081208092e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.902108873122743660e+01 0.000000000000000000e+00 1.967669083920122602e-03 5.172039057338924106e-01 0.000000000000000000e+00 2.906056243865416389e-01 5.172039057338924106e-01 0.000000000000000000e+00 2.906056243865416389e-01 -1.902340711060134737e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.990984883763170643e+01 0.000000000000000000e+00 1.617841177283475595e-05 5.892444906125534621e-01 0.000000000000000000e+00 2.732314740855240065e-01 5.892444906125534621e-01 0.000000000000000000e+00 2.732314740855240065e-01 -1.990986244581984366e+01
