hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828299942e+01 0.000000000000000000e+00 2.537359885948216337e-07 1.807621248999880317e-19 0.000000000000000000e+00 6.474083995897916832e-02 1.807621248999880317e-19 0.000000000000000000e+00 6.474083995897916832e-02 -1.600000000000002132e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.599999998467481888e+01 0.000000000000000000e+00 1.657366704792862244e-01 4.483800225544298320e-11 0.000000000000000000e+00 6.474083923898293902e-02 4.483800225544298320e-11 0.000000000000000000e+00 6.474083923898293902e-02 -1.604014962025006952e+01
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 -1.599999998992242389e+01 0.000000000000000000e+00 3.729073115489520140e-01 4.456622528940818141e-11 0.000000000000000000e+00 6.474083885139549077e-02 4.456622528940818141e-11 0.000000000000000000e+00 6.474083885139549077e-02 -1.609075498230006573e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.599999999250895755e+01 0.000000000000000000e+00 6.629462458424102422e-01 4.461892826542726435e-11 0.000000000000000000e+00 6.474083857971912881e-02 4.461892826542726435e-11 0.000000000000000000e+00 6.474083857971912881e-02 -1.616237479681548805e+01
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 -1.599999999405142148e+01 0.000000000000000000e+00 1.035853459990168091e+00 4.482899345570416074e-11 0.000000000000000000e+00 6.474083836475756637e-02 4.482899345570416074e-11 0.000000000000000000e+00 6.474083836475756637e-02 -1.625576071228445585e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.599999999507788573e+01 0.000000000000000000e+00 1.491628949337297838e+00 4.514676969103550778e-11 0.000000000000000000e+00 6.474083818116599387e-02 4.514676969103550778e-11 0.000000000000000000e+00 6.474083818116599387e-02 -1.637184639770741157e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.599999999581190480e+01 0.000000000000000000e+00 2.030272711620015436e+00 4.555561108658246992e-11 0.000000000000000000e+00 6.474083801518500103e-02 4.555561108658246992e-11 0.000000000000000000e+00 6.474083801518500103e-02 -1.651171777200136859e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.599999999636437131e+01 0.000000000000000000e+00 2.651784745387887554e+00 4.605167105404942917e-11 0.000000000000000000e+00 6.474083785792777990e-02 4.605167105404942917e-11 0.000000000000000000e+00 6.474083785792777990e-02 -1.667657178043500821e+01
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 -1.599999999679654294e+01 0.000000000000000000e+00 3.356165049451790949e+00 4.663758616330385356e-11 0.000000000000000000e+00 6.474083770274846605e-02 4.663758616330385356e-11 0.000000000000000000e+00 6.474083770274846605e-02 -1.686766236548076137e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.599999999714506593e+01 0.000000000000000000e+00 4.143413622627720727e+00 4.732030366850454437e-11 0.000000000000000000e+00 6.474083754401199764e-02 4.732030366850454437e-11 0.000000000000000000e+00 6.474083754401199764e-02 -1.708623364055884153e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.599999999747055668e+01 0.000000000000000000e+00 5.966515587197291914e+00 5.266203775986719595e-11 0.000000000000000000e+00 6.474083735900877656e-02 5.266203775986719595e-11 0.000000000000000000e+00 6.474083735900877656e-02 -1.761027489328892415e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.599999999775453929e+01 0.000000000000000000e+00 8.121090622561625949e+00 5.782063738958142754e-11 0.000000000000000000e+00 6.474083713152692376e-02 5.782063738958142754e-11 0.000000000000000000e+00 6.474083713152692376e-02 -1.825542426081208092e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.599999999800945716e+01 0.000000000000000000e+00 1.060713871700951572e+01 6.310457967400072897e-11 0.000000000000000000e+00 6.474083683805637035e-02 6.310457967400072897e-11 0.000000000000000000e+00 6.474083683805637035e-02 -1.902340711060134737e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.599999999824564156e+01 0.000000000000000000e+00 1.342465985085754987e+01 6.885578388215334028e-11 0.000000000000000000e+00 6.474083644268399662e-02 6.885578388215334028e-11 0.000000000000000000e+00 6.474083644268399662e-02 -1.990986244581985787e+01
