hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.990984862901991193e+01 0.000000000000000000e+00 1.642379303593543823e-05 5.892444445813829201e-01 0.000000000000000000e+00 2.732314614898047056e-01 5.892444445813829201e-01 0.000000000000000000e+00 2.732314614898047056e-01 -1.990986244581984366e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.902340711059044764e+01 0.000000000000000000e+00 9.708707348264933556e-12 5.177802062369298852e-01 0.000000000000000000e+00 2.908626560713445386e-01 5.177802062369298852e-01 0.000000000000000000e+00 2.908626560713445386e-01 -1.902340711060130829e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.825542426081186420e+01 0.000000000000000000e+00 3.732229083844934866e-13 4.417363996759557376e-01 0.000000000000000000e+00 3.003790016933983176e-01 4.417363996759557376e-01 0.000000000000000000e+00 3.003790016933983176e-01 -1.825542426081199565e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.761027489328894546e+01 0.000000000000000000e+00 1.206762611798412095e-13 3.648922851373372911e-01 0.000000000000000000e+00 3.009915014164210589e-01 3.648922851373372911e-01 0.000000000000000000e+00 3.009915014164210589e-01 -1.761027489328902718e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.708623364055882377e+01 0.000000000000000000e+00 4.257801438948720827e-14 2.908857858730893864e-01 0.000000000000000000e+00 2.941176470588154901e-01 2.908857858730893864e-01 0.000000000000000000e+00 2.941176470588154901e-01 -1.708623364055886995e+01
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 -1.686766236548073650e+01 0.000000000000000000e+00 2.258742115633303245e-14 2.557851614056339540e-01 0.000000000000000000e+00 2.887830884780887009e-01 2.557851614056339540e-01 0.000000000000000000e+00 2.887830884780887009e-01 -1.686766236548076847e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.667657178043504729e+01 0.000000000000000000e+00 1.203207572946920749e-14 2.222021199758002219e-01 0.000000000000000000e+00 2.827613104524124843e-01 2.222021199758002219e-01 0.000000000000000000e+00 2.827613104524124843e-01 -1.667657178043508637e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.651171777200135438e+01 0.000000000000000000e+00 6.269722222269981215e-15 1.901955374188746828e-01 0.000000000000000000e+00 2.764761300730856908e-01 1.901955374188746828e-01 0.000000000000000000e+00 2.764761300730856908e-01 -1.651171777200136503e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.637184639770742933e+01 0.000000000000000000e+00 3.109810920182918870e-15 1.597333871368529223e-01 0.000000000000000000e+00 2.703104850709209805e-01 1.597333871368529223e-01 0.000000000000000000e+00 2.703104850709209805e-01 -1.637184639770745775e+01
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 -1.625576071228446295e+01 0.000000000000000000e+00 1.419148275960755581e-15 1.307079139461405637e-01 0.000000000000000000e+00 2.645914396887123488e-01 1.307079139461405637e-01 0.000000000000000000e+00 2.645914396887123488e-01 -1.625576071228444164e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.616237479681544897e+01 0.000000000000000000e+00 5.669691775077353444e-16 1.029520031725798257e-01 0.000000000000000000e+00 2.595846645367376748e-01 1.029520031725798257e-01 0.000000000000000000e+00 2.595846645367376748e-01 -1.616237479681544542e+01
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 -1.609075498230000534e+01 0.000000000000000000e+00 1.825311177773322365e-16 7.625454303222661823e-02 0.000000000000000000e+00 2.554956553244871476e-01 7.625454303222661823e-02 0.000000000000000000e+00 2.554956553244871476e-01 -1.609075498230000534e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.604014962025005531e+01 0.000000000000000000e+00 4.038262445672862581e-17 5.037357002018962027e-02 0.000000000000000000e+00 2.524747525247418856e-01 5.037357002018962027e-02 0.000000000000000000e+00 2.524747525247418856e-01 -1.604014962025008018e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999952770402e+01 0.000000000000000000e+00 1.511340355800228074e-08 -5.274615288785140553e-10 0.000000000000000000e+00 2.500012144971759387e-01 -5.274615288785140553e-10 0.000000000000000000e+00 2.500012144971759387e-01 -1.600000000000001066e+01
