hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828298876e+01 0.000000000000000000e+00 2.537360704568725043e-07 -5.204170427930421283e-17 0.000000000000000000e+00 6.035778130971466982e-02 1.781156505891321462e-01 0.000000000000000000e+00 2.863259632492484719e-02 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602664677546050243e+01 0.000000000000000000e+00 2.887283910831274481e-04 3.329927207881874796e-02 0.000000000000000000e+00 8.330150459015622788e-02 2.179791488931714372e-01 0.000000000000000000e+00 3.689543675894400854e-02 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.606541762167297804e+01 0.000000000000000000e+00 1.628755079018430864e-03 5.449957087609012818e-02 0.000000000000000000e+00 9.101083583763543150e-02 2.312776835877943249e-01 0.000000000000000000e+00 4.049167213757749045e-02 -1.618592319885367914e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.616414096543352841e+01 0.000000000000000000e+00 7.749201220186265754e-03 1.028953956662172070e-01 0.000000000000000000e+00 1.292497514334040865e-01 2.854207826674710624e-01 0.000000000000000000e+00 5.837219070419970984e-02 -1.633828589021752720e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.634606959542951898e+01 0.000000000000000000e+00 2.093801059022177072e-02 1.753501630054105920e-01 0.000000000000000000e+00 1.759344997827569368e-01 3.480985724346487009e-01 0.000000000000000000e+00 8.550956331774062225e-02 -1.654311682027941544e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.671314056388040825e+01 0.000000000000000000e+00 2.279510742424150499e-02 3.134375028157681542e-01 0.000000000000000000e+00 2.591640343196242036e-01 4.312441872046944846e-01 0.000000000000000000e+00 1.714355534931713554e-01 -1.680513744664445852e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.710569752317645253e+01 0.000000000000000000e+00 7.742214697485218754e-03 4.305464941450125593e-01 0.000000000000000000e+00 2.936443052302001866e-01 4.929935779749432534e-01 0.000000000000000000e+00 2.359719209262251260e-01 -1.712771213040600671e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.750955670415267562e+01 0.000000000000000000e+00 1.056442106036872310e-03 5.168208117807717716e-01 0.000000000000000000e+00 2.904775663224629656e-01 5.585720446256140503e-01 0.000000000000000000e+00 2.455785887749596663e-01 -1.751170355530066303e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795479427380179516e+01 0.000000000000000000e+00 9.240061578745482353e-05 5.891945384298925559e-01 0.000000000000000000e+00 2.732204418680542757e-01 6.204164603334104688e-01 0.000000000000000000e+00 2.354540617310304507e-01 -1.795493122290994137e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845249985735224385e+01 0.000000000000000000e+00 3.611366040682965107e-06 6.532801258463476479e-01 0.000000000000000000e+00 2.500000520813552285e-01 6.767759209382111507e-01 0.000000000000000000e+00 2.187493277454113927e-01 -1.845250371901102326e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366923529726122e+01 0.000000000000000000e+00 1.417563150686015624e-07 7.547328412413158993e-01 0.000000000000000000e+00 1.984643554824215561e-01 7.680860226236310151e-01 0.000000000000000000e+00 1.781298789808219984e-01 -1.958366927713651506e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035543073198028e+01 0.000000000000000000e+00 1.408655097882213102e-07 8.239668048253701027e-01 0.000000000000000000e+00 1.528420464958335501e-01 8.317633443703085216e-01 0.000000000000000000e+00 1.399330809118824182e-01 -2.085035545820100822e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803301770439120e+01 0.000000000000000000e+00 1.154214910849225764e-07 8.700238030165017289e-01 0.000000000000000000e+00 1.178246206898597853e-01 8.747660402722982065e-01 0.000000000000000000e+00 1.095504132914800477e-01 -2.220803304253857036e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645049048168744e+01 0.000000000000000000e+00 1.591382258313975935e-07 9.010216208580759112e-01 0.000000000000000000e+00 9.219315775008357638e-02 9.040331201346720746e-01 0.000000000000000000e+00 8.675723670336711602e-02 -2.362645051177383593e+01
