hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997089612158e+01 0.000000000000000000e+00 2.328310337036462466e-07 4.923849937501686145e-05 0.000000000000000000e+00 2.498618844489138846e-01 4.923849937501686145e-05 0.000000000000000000e+00 2.498618844489138846e-01 -1.600000000000002132e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608076512420035087e+01 0.000000000000000000e+00 5.347464886841956277e-05 1.023942846637554971e-01 0.000000000000000000e+00 2.581584504300052929e-01 1.023942846637554971e-01 0.000000000000000000e+00 2.581584504300052929e-01 -1.608118739840771738e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618580089746527051e+01 0.000000000000000000e+00 1.758122713351953229e-04 1.596235104870069033e-01 0.000000000000000000e+00 2.701526088863233088e-01 1.596235104870069033e-01 0.000000000000000000e+00 2.701526088863233088e-01 -1.618592319885371822e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633819093464154193e+01 0.000000000000000000e+00 3.872724994407925167e-05 2.221210884601220736e-01 0.000000000000000000e+00 2.826674096960046789e-01 2.221210884601220736e-01 0.000000000000000000e+00 2.826674096960046789e-01 -1.633828589021750588e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311577153021773e+01 0.000000000000000000e+00 1.404976030298862205e-06 2.908851718138255604e-01 0.000000000000000000e+00 2.941171379516015483e-01 2.908851718138255604e-01 0.000000000000000000e+00 2.941171379516015483e-01 -1.654311682027944030e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680512788549734182e+01 0.000000000000000000e+00 1.229185099747228356e-05 3.648875242280406050e-01 0.000000000000000000e+00 3.009885557096811382e-01 3.648875242280406050e-01 0.000000000000000000e+00 3.009885557096811382e-01 -1.680513744664447984e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771192349731209e+01 0.000000000000000000e+00 2.659119005708509597e-07 4.417363106172267351e-01 0.000000000000000000e+00 3.003789629144764661e-01 4.417363106172267351e-01 0.000000000000000000e+00 3.003789629144764661e-01 -1.712771213040599250e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170351588320884e+01 0.000000000000000000e+00 5.185798527844028229e-08 5.177801915425614965e-01 0.000000000000000000e+00 2.908626520838865637e-01 5.177801915425614965e-01 0.000000000000000000e+00 2.908626520838865637e-01 -1.751170355530063105e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122205930092e+01 0.000000000000000000e+00 1.189407297076266120e-09 5.892474930838611513e-01 0.000000000000000000e+00 2.732322927002962532e-01 5.892474930838611513e-01 0.000000000000000000e+00 2.732322927002962532e-01 -1.795493122290997690e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371896233332e+01 0.000000000000000000e+00 1.029622402939329694e-10 6.532814824248804886e-01 0.000000000000000000e+00 2.500000000002320366e-01 6.532814824248804886e-01 0.000000000000000000e+00 2.500000000002320366e-01 -1.845250371901096287e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713646533e+01 0.000000000000000000e+00 3.761217333161361734e-13 7.547328593442780287e-01 0.000000000000000000e+00 1.984643414888115909e-01 7.547328593442780287e-01 0.000000000000000000e+00 1.984643414888115909e-01 -1.958366927713648664e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545817189373e+01 0.000000000000000000e+00 2.442221768957564446e-10 8.239668158626127781e-01 0.000000000000000000e+00 1.528420357325912526e-01 8.239668158626127781e-01 0.000000000000000000e+00 1.528420357325912526e-01 -2.085035545820081282e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253742994e+01 0.000000000000000000e+00 7.782701851612567809e-12 8.700238097461097109e-01 0.000000000000000000e+00 1.178246134294074210e-01 8.700238097461097109e-01 0.000000000000000000e+00 1.178246134294074210e-01 -2.220803304253851351e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177381461e+01 0.000000000000000000e+00 9.267693994005739868e-14 9.010216249838318703e-01 0.000000000000000000e+00 9.219315335374436704e-02 9.010216249838318703e-01 0.000000000000000000e+00 9.219315335374436704e-02 -2.362645051177381106e+01
