hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997089612336e+01 0.000000000000000000e+00 2.328310004870835986e-07 4.923844859626509327e-05 0.000000000000000000e+00 2.498618837202625786e-01 4.923844859626509327e-05 0.000000000000000000e+00 2.498618837202625786e-01 -1.600000000000002132e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608115615662799058e+01 0.000000000000000000e+00 4.449122664524585657e-05 1.029111610959082129e-01 0.000000000000000000e+00 2.594993351640529911e-01 1.029111610959082129e-01 0.000000000000000000e+00 2.594993351640529911e-01 -1.608118739840771738e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618590437610063404e+01 0.000000000000000000e+00 2.707183867432998799e-05 1.597164947973781501e-01 0.000000000000000000e+00 2.702862913967285508e-01 1.597164947973781501e-01 0.000000000000000000e+00 2.702862913967285508e-01 -1.618592319885371822e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633828210065859565e+01 0.000000000000000000e+00 5.486301606870944259e-06 2.221994578993116698e-01 0.000000000000000000e+00 2.827584639599075578e-01 2.221994578993116698e-01 0.000000000000000000e+00 2.827584639599075578e-01 -1.633828589021750588e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311665362697426e+01 0.000000000000000000e+00 2.394832460362913319e-07 2.908856886897777105e-01 0.000000000000000000e+00 2.941175677970886415e-01 2.908856886897777105e-01 0.000000000000000000e+00 2.941175677970886415e-01 -1.654311682027944030e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513744564532175e+01 0.000000000000000000e+00 1.527706800056568922e-09 3.648922846396265296e-01 0.000000000000000000e+00 3.009915011175882116e-01 3.648922846396265296e-01 0.000000000000000000e+00 3.009915011175882116e-01 -1.680513744664447984e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771213040395324e+01 0.000000000000000000e+00 3.388954921484385491e-12 4.417363996751266786e-01 0.000000000000000000e+00 3.003790016930522611e-01 4.417363996751266786e-01 0.000000000000000000e+00 3.003790016930522611e-01 -1.712771213040599250e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355530007328e+01 0.000000000000000000e+00 1.147165811583890862e-12 5.177802062395358007e-01 0.000000000000000000e+00 2.908626560725924293e-01 5.177802062395358007e-01 0.000000000000000000e+00 2.908626560725924293e-01 -1.751170355530063105e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122290964649e+01 0.000000000000000000e+00 6.950072827718066728e-13 5.892474933578299989e-01 0.000000000000000000e+00 2.732322927359364106e-01 5.892474933578299989e-01 0.000000000000000000e+00 2.732322927359364106e-01 -1.795493122290997690e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901085273e+01 0.000000000000000000e+00 4.791544526804157439e-13 6.532814824381498742e-01 0.000000000000000000e+00 2.500000000000001110e-01 6.532814824381498742e-01 0.000000000000000000e+00 2.500000000000001110e-01 -1.845250371901096287e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713641559e+01 0.000000000000000000e+00 4.327436662141665882e-13 7.547328593442690359e-01 0.000000000000000000e+00 1.984643414888113411e-01 7.547328593442690359e-01 0.000000000000000000e+00 1.984643414888113411e-01 -1.958366927713648664e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820078084e+01 0.000000000000000000e+00 3.818344121359651253e-13 8.239668159224933230e-01 0.000000000000000000e+00 1.528420356906836641e-01 8.239668159224933230e-01 0.000000000000000000e+00 1.528420356906836641e-01 -2.085035545820081282e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253844246e+01 0.000000000000000000e+00 3.477473188138311153e-13 8.700238097462178466e-01 0.000000000000000000e+00 1.178246134293602365e-01 8.700238097462178466e-01 0.000000000000000000e+00 1.178246134293602365e-01 -2.220803304253851351e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177378974e+01 0.000000000000000000e+00 3.326448473517592131e-13 9.010216249838300939e-01 0.000000000000000000e+00 9.219315335374506093e-02 9.010216249838300939e-01 0.000000000000000000e+00 9.219315335374506093e-02 -2.362645051177381106e+01
