hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177361211e+01 0.000000000000000000e+00 3.237880917476209164e-12 9.010216249838678415e-01 0.000000000000000000e+00 9.219315335370961706e-02 9.010216249838678415e-01 0.000000000000000000e+00 9.219315335370961706e-02 -2.362645051177383593e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253828969e+01 0.000000000000000000e+00 2.768822738525071735e-12 8.700238097462575926e-01 0.000000000000000000e+00 1.178246134293262498e-01 8.700238097462575926e-01 0.000000000000000000e+00 1.178246134293262498e-01 -2.220803304253854549e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820065650e+01 0.000000000000000000e+00 2.257850492511581981e-12 8.239668159225339572e-01 0.000000000000000000e+00 1.528420356906539102e-01 8.239668159225339572e-01 0.000000000000000000e+00 1.528420356906539102e-01 -2.085035545820088032e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713635164e+01 0.000000000000000000e+00 1.726816336144569260e-12 7.547328593443105582e-01 0.000000000000000000e+00 1.984643414887903301e-01 7.547328593443105582e-01 0.000000000000000000e+00 1.984643414887903301e-01 -1.958366927713646177e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901087760e+01 0.000000000000000000e+00 1.202135548825495438e-12 6.532814824381986130e-01 0.000000000000000000e+00 2.499999999999952260e-01 6.532814824381986130e-01 0.000000000000000000e+00 2.499999999999952260e-01 -1.845250371901100905e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122290982058e+01 0.000000000000000000e+00 8.412296655353998909e-13 5.892474933579153751e-01 0.000000000000000000e+00 2.732322927359523979e-01 5.892474933579153751e-01 0.000000000000000000e+00 2.732322927359523979e-01 -1.795493122290986321e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355530057066e+01 0.000000000000000000e+00 5.818047482865148697e-13 5.177802062397396377e-01 0.000000000000000000e+00 2.908626560726973453e-01 5.177802062397396377e-01 0.000000000000000000e+00 2.908626560726973453e-01 -1.751170355530067013e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771213040595342e+01 0.000000000000000000e+00 3.946496597580945288e-13 4.417363996760133582e-01 0.000000000000000000e+00 3.003790016936525586e-01 4.417363996760133582e-01 0.000000000000000000e+00 3.003790016936525586e-01 -1.712771213040598894e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513744664445497e+01 0.000000000000000000e+00 2.804041760116661064e-13 3.648922851374372112e-01 0.000000000000000000e+00 3.009915014172505066e-01 3.648922851374372112e-01 0.000000000000000000e+00 3.009915014172505066e-01 -1.680513744664457576e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311682027937991e+01 0.000000000000000000e+00 2.947612281081215071e-13 2.908857858732527557e-01 0.000000000000000000e+00 2.941176470608471982e-01 2.908857858732527557e-01 0.000000000000000000e+00 2.941176470608471982e-01 -1.654311682027936925e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633828589021745259e+01 0.000000000000000000e+00 4.853979076412110956e-13 2.222021199759742494e-01 0.000000000000000000e+00 2.827613104560064983e-01 2.222021199759742494e-01 0.000000000000000000e+00 2.827613104560064983e-01 -1.633828589021753075e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618592319885362940e+01 0.000000000000000000e+00 6.551549184226552909e-13 1.597333871369511493e-01 0.000000000000000000e+00 2.703104850756095634e-01 1.597333871369511493e-01 0.000000000000000000e+00 2.703104850756095634e-01 -1.618592319885370401e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608118739840764277e+01 0.000000000000000000e+00 5.596133646603722009e-13 1.029520031725822404e-01 0.000000000000000000e+00 2.595846645419237486e-01 1.029520031725822404e-01 0.000000000000000000e+00 2.595846645419237486e-01 -1.608118739840775291e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999998202275009e+01 0.000000000000000000e+00 1.438181354141286862e-07 4.701473299987295109e-05 0.000000000000000000e+00 2.500039421968190956e-01 4.701473299987295109e-05 0.000000000000000000e+00 2.500039421968190956e-01 -1.600000000000001066e+01
