hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997089612691e+01 0.000000000000000000e+00 2.328310197499816508e-07 2.014614925485149963e-19 0.000000000000000000e+00 6.349956533271403081e-02 2.014614925485149963e-19 0.000000000000000000e+00 6.349956533271403081e-02 -1.600000000000002132e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.599999998590097050e+01 0.000000000000000000e+00 1.625590016974516605e-01 4.303169420436330784e-11 0.000000000000000000e+00 6.349956619377751521e-02 4.303169420436330784e-11 0.000000000000000000e+00 6.349956619377751521e-02 -1.604014962025006952e+01
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 -1.599999999072056056e+01 0.000000000000000000e+00 3.657575770163553619e-01 4.287335364410542549e-11 0.000000000000000000e+00 6.349956659792614644e-02 4.287335364410542549e-11 0.000000000000000000e+00 6.349956659792614644e-02 -1.609075498230006573e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.599999999309961751e+01 0.000000000000000000e+00 6.502356183334598860e-01 4.300379167478150701e-11 0.000000000000000000e+00 6.349956681946458681e-02 4.300379167478150701e-11 0.000000000000000000e+00 6.349956681946458681e-02 -1.616237479681548805e+01
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 -1.599999999451971178e+01 0.000000000000000000e+00 1.015993113354181965e+00 4.328239702067060910e-11 0.000000000000000000e+00 6.349956693105976435e-02 4.328239702067060910e-11 0.000000000000000000e+00 6.349956693105976435e-02 -1.625576071228445585e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.599999999546548679e+01 0.000000000000000000e+00 1.463030057387967986e+00 4.366906640316507109e-11 0.000000000000000000e+00 6.349956696131861533e-02 4.366906640316507109e-11 0.000000000000000000e+00 6.349956696131861533e-02 -1.637184639770741157e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.599999999614232671e+01 0.000000000000000000e+00 1.991346447601160641e+00 4.415205485503230779e-11 0.000000000000000000e+00 6.349956692339972508e-02 4.415205485503230779e-11 0.000000000000000000e+00 6.349956692339972508e-02 -1.651171777200136859e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.599999999665218375e+01 0.000000000000000000e+00 2.600942281583598081e+00 4.473084422872030507e-11 0.000000000000000000e+00 6.349956682351869108e-02 4.473084422872030507e-11 0.000000000000000000e+00 6.349956682351869108e-02 -1.667657178043500821e+01
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 -1.599999999705143594e+01 0.000000000000000000e+00 3.291817556842886461e+00 4.541088978008926310e-11 0.000000000000000000e+00 6.349956666416010920e-02 4.541088978008926310e-11 0.000000000000000000e+00 6.349956666416010920e-02 -1.686766236548076137e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.599999999737381629e+01 0.000000000000000000e+00 4.063972270571483136e+00 4.620191050279401625e-11 0.000000000000000000e+00 6.349956644560883490e-02 4.620191050279401625e-11 0.000000000000000000e+00 6.349956644560883490e-02 -1.708623364055884153e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.599999999767750936e+01 0.000000000000000000e+00 5.852120025786947899e+00 5.160468089563256947e-11 0.000000000000000000e+00 6.349956609342793934e-02 5.160468089563256947e-11 0.000000000000000000e+00 6.349956609342793934e-02 -1.761027489328892415e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.599999999794394689e+01 0.000000000000000000e+00 7.965385518910110818e+00 5.692643591605793281e-11 0.000000000000000000e+00 6.349956558962355224e-02 5.692643591605793281e-11 0.000000000000000000e+00 6.349956558962355224e-02 -1.825542426081208092e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.599999999818505536e+01 0.000000000000000000e+00 1.040376872369850680e+01 6.249749442044567383e-11 0.000000000000000000e+00 6.349956491442107498e-02 6.249749442044567383e-11 0.000000000000000000e+00 6.349956491442107498e-02 -1.902340711060134737e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.599999999841098841e+01 0.000000000000000000e+00 1.316726960600594865e+01 6.869000605189086318e-11 0.000000000000000000e+00 6.349956404903062124e-02 6.869000605189086318e-11 0.000000000000000000e+00 6.349956404903062124e-02 -1.990986244581985787e+01
