hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997089611803e+01 0.000000000000000000e+00 2.328310250970990266e-07 1.734723475976807094e-17 0.000000000000000000e+00 6.152714054378266573e-02 1.804714551356605134e-01 0.000000000000000000e+00 2.895719442499993662e-02 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602747418863184237e+01 0.000000000000000000e+00 3.031085208557318753e-04 3.433420740451735564e-02 0.000000000000000000e+00 8.589193464457753335e-02 2.217805062893290491e-01 0.000000000000000000e+00 3.788417947272282316e-02 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.606614583724459067e+01 0.000000000000000000e+00 1.647764332503794376e-03 5.510811579209731054e-02 0.000000000000000000e+00 9.203115173742358601e-02 2.327517573767115822e-01 0.000000000000000000e+00 4.089467560163118076e-02 -1.618592319885367914e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.617361039129287903e+01 0.000000000000000000e+00 8.016563209448055241e-03 1.089171886479051998e-01 0.000000000000000000e+00 1.367664616388288845e-01 2.946712301677329449e-01 0.000000000000000000e+00 6.179828173322721163e-02 -1.633828589021752720e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.639278257343167766e+01 0.000000000000000000e+00 1.846408565011774944e-02 2.002120306944679407e-01 0.000000000000000000e+00 2.001251964862524324e-01 3.720285073799988740e-01 0.000000000000000000e+00 1.018048434176651723e-01 -1.654311682027941544e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.673593430724751485e+01 0.000000000000000000e+00 1.824102869538720903e-02 3.257276839043191652e-01 0.000000000000000000e+00 2.695528430214120807e-01 4.335992156828711863e-01 0.000000000000000000e+00 1.876430872422830687e-01 -1.680513744664445852e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.711158707459467010e+01 0.000000000000000000e+00 5.575386499647554117e-03 4.334184679255386752e-01 0.000000000000000000e+00 2.953260520122838462e-01 4.938283016620363397e-01 0.000000000000000000e+00 2.393112288287938538e-01 -1.712771213040600671e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751023767479867743e+01 0.000000000000000000e+00 7.082415812568467698e-04 5.171099321118008962e-01 0.000000000000000000e+00 2.905865776178998550e-01 5.586997609473582926e-01 0.000000000000000000e+00 2.458438366239361073e-01 -1.751170355530066303e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795487008650336236e+01 0.000000000000000000e+00 4.075149243462758333e-05 5.892232744784334786e-01 0.000000000000000000e+00 2.732268411449543244e-01 6.204321662534719728e-01 0.000000000000000000e+00 2.354748354100660301e-01 -1.795493122290994137e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250262200478986e+01 0.000000000000000000e+00 1.051074802370797199e-06 6.532810612237627268e-01 0.000000000000000000e+00 2.500000539835622870e-01 6.767764771524320544e-01 0.000000000000000000e+00 2.187497989103518448e-01 -1.845250371901102326e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366924986531998e+01 0.000000000000000000e+00 7.050395070571083151e-08 7.547328424906949440e-01 0.000000000000000000e+00 1.984643593164754638e-01 7.680860263988557035e-01 0.000000000000000000e+00 1.781298789013761874e-01 -1.958366927713651506e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035543874795394e+01 0.000000000000000000e+00 6.415543834576814831e-08 8.239668165331340832e-01 0.000000000000000000e+00 1.528420342995324144e-01 8.317633508790662766e-01 0.000000000000000000e+00 1.399330771817071661e-01 -2.085035545820100822e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803302815269831e+01 0.000000000000000000e+00 8.942564354524603838e-08 8.700238050745615626e-01 0.000000000000000000e+00 1.178246189945994227e-01 8.747660413075944996e-01 0.000000000000000000e+00 1.095504133660581830e-01 -2.220803304253857036e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645049822979004e+01 0.000000000000000000e+00 7.957297632115001362e-08 9.010216234629324639e-01 0.000000000000000000e+00 9.219315504370975689e-02 9.040331217272815634e-01 0.000000000000000000e+00 8.675723581151439934e-02 -2.362645051177383593e+01
