hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645049940504904e+01 0.000000000000000000e+00 4.981365778107226663e-08 9.010216251976554958e-01 0.000000000000000000e+00 9.219315275631040363e-02 9.040331225737375798e-01 0.000000000000000000e+00 8.675723511971225599e-02 -2.362645051177377553e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303670144402e+01 0.000000000000000000e+00 2.139318995260644137e-08 8.700238097771310075e-01 0.000000000000000000e+00 1.178246131862409340e-01 8.747660431826139726e-01 0.000000000000000000e+00 1.095504124599878532e-01 -2.220803304253838917e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545437450821e+01 0.000000000000000000e+00 1.266931798092442887e-08 8.239668158866515491e-01 0.000000000000000000e+00 1.528420355503364025e-01 8.317633495724487958e-01 0.000000000000000000e+00 1.399330795407441597e-01 -2.085035545820080216e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927434318683e+01 0.000000000000000000e+00 8.575500569899919692e-09 7.547328592445372575e-01 0.000000000000000000e+00 1.984643414029291231e-01 7.680860305517096531e-01 0.000000000000000000e+00 1.781298798976818087e-01 -1.958366927713651151e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371691748725e+01 0.000000000000000000e+00 6.425878359672615849e-09 6.532814822726711323e-01 0.000000000000000000e+00 2.499999999343348878e-01 6.767766953571486832e-01 0.000000000000000000e+00 2.187499996361700894e-01 -1.845250371901098063e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795493122124920049e+01 0.000000000000000000e+00 5.299137283201913008e-09 5.892474931794992044e-01 0.000000000000000000e+00 2.732322926697675625e-01 6.204449012199853009e-01 0.000000000000000000e+00 2.354930254382143484e-01 -1.795493122290995913e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170355397412948e+01 0.000000000000000000e+00 4.552808705325580397e-09 5.177802060576436327e-01 0.000000000000000000e+00 2.908626559965168945e-01 5.589589981117581985e-01 0.000000000000000000e+00 2.465238362115125259e-01 -1.751170355530064171e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.712771212934868359e+01 0.000000000000000000e+00 4.030151838201013806e-09 4.417363995013991462e-01 0.000000000000000000e+00 3.003790016041040789e-01 4.955100485816321121e-01 0.000000000000000000e+00 2.499798400031923440e-01 -1.712771213040604579e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680513744580657232e+01 0.000000000000000000e+00 3.632809158675847591e-09 3.648922849804069890e-01 0.000000000000000000e+00 3.009915013170588738e-01 4.341378812931628861e-01 0.000000000000000000e+00 2.456621809815651147e-01 -1.680513744664450826e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.654311681961843661e+01 0.000000000000000000e+00 3.298904961125696883e-09 2.908857857401555003e-01 0.000000000000000000e+00 2.941176469561383455e-01 3.787321876445804980e-01 0.000000000000000000e+00 2.352941173437564371e-01 -1.654311682027941188e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.633828588969618423e+01 0.000000000000000000e+00 2.993655719066562806e-09 2.222021198687518240e-01 0.000000000000000000e+00 2.827613103527062965e-01 3.321350927735719494e-01 0.000000000000000000e+00 2.218213725751642107e-01 -1.633828589021748812e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.618592319843978444e+01 0.000000000000000000e+00 2.703190233508926669e-09 1.597333870543736767e-01 0.000000000000000000e+00 2.703104849771254536e-01 2.958252402661842306e-01 0.000000000000000000e+00 2.083126671384421813e-01 -1.618592319885372888e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.608118739807398612e+01 0.000000000000000000e+00 2.426510067601254217e-09 1.029520031121812090e-01 0.000000000000000000e+00 2.595846644477901588e-01 2.701837797427294463e-01 0.000000000000000000e+00 1.971845045565328858e-01 -1.608118739840773159e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999974545517e+01 0.000000000000000000e+00 2.052677535947662228e-09 -2.159564194137431059e-11 0.000000000000000000e+00 2.499999999054063615e-01 2.500000002603465221e-01 0.000000000000000000e+00 1.874999997752330727e-01 -1.600000000000001066e+01
