hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828300297e+01 0.000000000000000000e+00 2.537359844306346056e-07 5.137799924671811121e-05 0.000000000000000000e+00 2.497244166930926434e-01 5.137799924671811121e-05 0.000000000000000000e+00 2.497244166930926434e-01 -1.600000000000002132e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608111819827929878e+01 0.000000000000000000e+00 1.023032114747354684e-04 1.028620208329998342e-01 0.000000000000000000e+00 2.593945169777530646e-01 1.028620208329998342e-01 0.000000000000000000e+00 2.593945169777530646e-01 -1.608118739840771738e+01
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618587800438185909e+01 0.000000000000000000e+00 9.140746742285893038e-06 1.596914306385413540e-01 0.000000000000000000e+00 2.702378990189255314e-01 1.596914306385413540e-01 0.000000000000000000e+00 2.702378990189255314e-01 -1.618592319885371822e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633827092409973858e+01 0.000000000000000000e+00 3.479623782324548913e-06 2.221911017596517046e-01 0.000000000000000000e+00 2.827470600452854366e-01 2.221911017596517046e-01 0.000000000000000000e+00 2.827470600452854366e-01 -1.633828589021750588e+01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.654311549214846977e+01 0.000000000000000000e+00 4.295697654563756303e-07 2.908849661369616868e-01 0.000000000000000000e+00 2.941168418204733737e-01 2.908849661369616868e-01 0.000000000000000000e+00 2.941168418204733737e-01 -1.654311682027944030e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680513742693133139e+01 0.000000000000000000e+00 9.088645485606263924e-09 3.648922746650858917e-01 0.000000000000000000e+00 3.009914937619294628e-01 3.648922746650858917e-01 0.000000000000000000e+00 3.009914937619294628e-01 -1.680513744664447984e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.712771213037041207e+01 0.000000000000000000e+00 3.452464500542313206e-11 4.417363996598495102e-01 0.000000000000000000e+00 3.003790016855429901e-01 4.417363996598495102e-01 0.000000000000000000e+00 3.003790016855429901e-01 -1.712771213040599250e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751170355529940537e+01 0.000000000000000000e+00 2.804824722321561771e-12 5.177802062392991012e-01 0.000000000000000000e+00 2.908626560725409149e-01 5.177802062392991012e-01 0.000000000000000000e+00 2.908626560725409149e-01 -1.751170355530063105e+01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.795493122290951504e+01 0.000000000000000000e+00 9.245292338620873972e-13 5.892474933577922513e-01 0.000000000000000000e+00 2.732322927359305265e-01 5.892474933577922513e-01 0.000000000000000000e+00 2.732322927359305265e-01 -1.795493122290997690e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250371901083142e+01 0.000000000000000000e+00 4.417009360474254686e-13 6.532814824381436569e-01 0.000000000000000000e+00 2.499999999999985012e-01 6.532814824381436569e-01 0.000000000000000000e+00 2.499999999999985012e-01 -1.845250371901096287e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927713641559e+01 0.000000000000000000e+00 2.988556522832979003e-13 7.547328593442691469e-01 0.000000000000000000e+00 1.984643414888098145e-01 7.547328593442691469e-01 0.000000000000000000e+00 1.984643414888098145e-01 -1.958366927713648664e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545820079506e+01 0.000000000000000000e+00 2.181072016902959884e-13 8.239668159224948774e-01 0.000000000000000000e+00 1.528420356906823319e-01 8.239668159224948774e-01 0.000000000000000000e+00 1.528420356906823319e-01 -2.085035545820081282e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253846022e+01 0.000000000000000000e+00 1.662748302954015334e-13 8.700238097462196230e-01 0.000000000000000000e+00 1.178246134293590708e-01 8.700238097462196230e-01 0.000000000000000000e+00 1.178246134293590708e-01 -2.220803304253851351e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.362645051177379685e+01 0.000000000000000000e+00 1.305735084336506150e-13 9.010216249838309821e-01 0.000000000000000000e+00 9.219315335374393683e-02 9.010216249838309821e-01 0.000000000000000000e+00 9.219315335374393683e-02 -2.362645051177381106e+01
