hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999997089612158e+01 0.000000000000000000e+00 2.328310172675807100e-07 -2.498001805406602216e-16 0.000000000000000000e+00 6.152714502137338060e-02 1.804714500827456214e-01 0.000000000000000000e+00 2.895720072640443551e-02 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602278334690507222e+01 0.000000000000000000e+00 2.276221863495011752e-04 2.846498430484990447e-02 0.000000000000000000e+00 7.117830362556619439e-02 1.994262162025691176e-01 0.000000000000000000e+00 3.221774324816770174e-02 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.607727286291320112e+01 0.000000000000000000e+00 2.051779271378202131e-03 6.440674141493032967e-02 0.000000000000000000e+00 1.075801155726071601e-01 2.542465607606108069e-01 0.000000000000000000e+00 4.708703025369789796e-02 -1.618592319885367914e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.626713741457012574e+01 0.000000000000000000e+00 5.535351598870784547e-03 1.690616420912451900e-01 0.000000000000000000e+00 2.102596313603367351e-01 3.721914822234917986e-01 0.000000000000000000e+00 1.003149707472051760e-01 -1.633828589021752720e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.652681325406015844e+01 0.000000000000000000e+00 1.701873676365079843e-03 2.778336540423625434e-01 0.000000000000000000e+00 2.780966071518737870e-01 3.954328505721945719e-01 0.000000000000000000e+00 1.989210071587533268e-01 -1.654311682027941544e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680353645952849106e+01 0.000000000000000000e+00 2.335265991055244269e-04 3.636860356882106182e-01 0.000000000000000000e+00 2.998180842635210785e-01 4.348424430884479941e-01 0.000000000000000000e+00 2.429976665069972785e-01 -1.680513744664445852e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.712768648164867002e+01 0.000000000000000000e+00 6.315188843370629838e-06 4.417201868179491120e-01 0.000000000000000000e+00 3.003676771288768532e-01 4.955105075457675867e-01 0.000000000000000000e+00 2.499537374830966274e-01 -1.712771213040600671e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170349462389453e+01 0.000000000000000000e+00 3.724693766819719932e-08 5.177801684355501921e-01 0.000000000000000000e+00 2.908626552985084102e-01 5.589589955392624265e-01 0.000000000000000000e+00 2.465237994293938695e-01 -1.751170355530066303e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795493120973877055e+01 0.000000000000000000e+00 2.046818653423937784e-08 5.892474846156360302e-01 0.000000000000000000e+00 2.732322981970722320e-01 6.204449011270698477e-01 0.000000000000000000e+00 2.354930209883467906e-01 -1.795493122290994137e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371056993188e+01 0.000000000000000000e+00 2.097676532949781928e-08 6.532814773155174448e-01 0.000000000000000000e+00 2.500000042521887123e-01 6.767766948634371671e-01 0.000000000000000000e+00 2.187499981454557318e-01 -1.845250371901102326e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366926962420251e+01 0.000000000000000000e+00 3.138801472861162080e-08 7.547328557014745254e-01 0.000000000000000000e+00 1.984643450763620698e-01 7.680860295345963706e-01 0.000000000000000000e+00 1.781298797854440896e-01 -1.958366927713651506e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545205849061e+01 0.000000000000000000e+00 3.573206450822716582e-08 8.239668137666672498e-01 0.000000000000000000e+00 1.528420380253446287e-01 8.317633487391900005e-01 0.000000000000000000e+00 1.399330799083067789e-01 -2.085035545820100822e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303762047420e+01 0.000000000000000000e+00 3.646652051175882165e-08 8.700238085439703228e-01 0.000000000000000000e+00 1.178246148270942761e-01 8.747660425669335771e-01 0.000000000000000000e+00 1.095504130322351444e-01 -2.220803304253857036e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645050781443246e+01 0.000000000000000000e+00 3.568054575901792996e-08 9.010216243116552226e-01 0.000000000000000000e+00 9.219315418245738192e-02 9.040331218523380841e-01 0.000000000000000000e+00 8.675723625358611191e-02 -2.362645051177383593e+01
