hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645048890644617e+01 0.000000000000000000e+00 1.525351752180915901e-07 9.010216182357356773e-01 0.000000000000000000e+00 9.219316152335109427e-02 9.040331191989797732e-01 0.000000000000000000e+00 8.675723744285825101e-02 -2.362645051177377553e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303353798697e+01 0.000000000000000000e+00 5.564279675880511387e-08 8.700238070847166050e-01 0.000000000000000000e+00 1.178246168521513149e-01 8.747660422881925468e-01 0.000000000000000000e+00 1.095504130057871617e-01 -2.220803304253838917e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545367121301e+01 0.000000000000000000e+00 2.448834197831820033e-08 8.239668143497107522e-01 0.000000000000000000e+00 1.528420377124606322e-01 8.317633492180986909e-01 0.000000000000000000e+00 1.399330797595623455e-01 -2.085035545820080216e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927486407860e+01 0.000000000000000000e+00 1.011272865969310225e-08 7.547328583717751727e-01 0.000000000000000000e+00 1.984643426945791322e-01 7.680860304616913270e-01 0.000000000000000000e+00 1.781298800102110169e-01 -1.958366927713651151e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371799237854e+01 0.000000000000000000e+00 3.402032229182251205e-09 6.532814818859491446e-01 0.000000000000000000e+00 2.500000006408713005e-01 6.767766954161257287e-01 0.000000000000000000e+00 2.187499997576013433e-01 -1.845250371901098063e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795493122228618788e+01 0.000000000000000000e+00 1.733288200580489673e-09 5.892474929712164800e-01 0.000000000000000000e+00 2.732322931738138672e-01 6.204449013179370587e-01 0.000000000000000000e+00 2.354930255752530344e-01 -1.795493122290995913e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170355494100406e+01 0.000000000000000000e+00 8.096535303302909431e-10 5.177802059810077129e-01 0.000000000000000000e+00 2.908626563718536007e-01 5.589589982224782982e-01 0.000000000000000000e+00 2.465238363837117808e-01 -1.751170355530064171e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.712771213021531480e+01 0.000000000000000000e+00 3.444538087363414581e-10 4.417363995142283284e-01 0.000000000000000000e+00 3.003790019074942808e-01 4.955100486820339101e-01 0.000000000000000000e+00 2.499798402184166546e-01 -1.712771213040604579e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680513744655424091e+01 0.000000000000000000e+00 1.338963950460353839e-10 3.648922850456632339e-01 0.000000000000000000e+00 3.009915015840404218e-01 4.341378813623348321e-01 0.000000000000000000e+00 2.456621812361091395e-01 -1.680513744664450826e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.654311682024269814e+01 0.000000000000000000e+00 4.812692987311927434e-11 2.908857858277643094e-01 0.000000000000000000e+00 2.941176472007155374e-01 3.787321876646959073e-01 0.000000000000000000e+00 2.352941176240649912e-01 -1.654311682027941188e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.633828589020525612e+01 0.000000000000000000e+00 1.634865061102307686e-11 2.222021199572444539e-01 0.000000000000000000e+00 2.827613105731001109e-01 3.321350927321774504e-01 0.000000000000000000e+00 2.218213728623817382e-01 -1.633828589021748812e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.618592319885046393e+01 0.000000000000000000e+00 5.797156073866073578e-12 1.597333871310788744e-01 0.000000000000000000e+00 2.703104851624966165e-01 2.958252401561510259e-01 0.000000000000000000e+00 2.083126674134194722e-01 -1.618592319885372888e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.608118739840687539e+01 0.000000000000000000e+00 3.360301888604957807e-12 1.029520032389438511e-01 0.000000000000000000e+00 2.595846608616221296e-01 2.701837758533527922e-01 0.000000000000000000e+00 1.971845030981589364e-01 -1.608118739840773159e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999999915445e+01 0.000000000000000000e+00 1.182164148149323790e-11 6.524239481997540224e-12 0.000000000000000000e+00 2.499999102921232619e-01 2.499999103115073118e-01 0.000000000000000000e+00 1.874999551363616401e-01 -1.600000000000001066e+01
